Package,Module,Smell,Class/Module,Line no,File,Details
yahoo_TensorFlowOnSpark.scripts,spark_ec2,Insufficient modularization,spark_ec2,1,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/scripts/spark_ec2.py,"Module 'spark_ec2' is insufficiently modularized with NOPM: 29, WMC: 191, NOM: 30."
yahoo_TensorFlowOnSpark.tensorflowonspark,TFNode,Multifaceted abstraction,TFNode,1,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/tensorflowonspark/TFNode.py,"Class 'TFNode' has a high LCOM value of 1, indicating it may have multiple responsibilities."
yahoo_TensorFlowOnSpark.tensorflowonspark,compat,Multifaceted abstraction,compat,1,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/tensorflowonspark/compat.py,"Class 'compat' has a high LCOM value of 1, indicating it may have multiple responsibilities."
yahoo_TensorFlowOnSpark.tensorflowonspark,marker,Broken hierarchy,EndPartition,16,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/tensorflowonspark/marker.py,Class 'EndPartition' and its superclass 'Marker' may not share a proper 'IS-A' relationship.
yahoo_TensorFlowOnSpark.tensorflowonspark,pipeline,Broken hierarchy,TFEstimator,354,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/tensorflowonspark/pipeline.py,Class 'TFEstimator' and its superclass 'TFParams' may not share a proper 'IS-A' relationship.
yahoo_TensorFlowOnSpark.tensorflowonspark,pipeline,Broken hierarchy,TFModel,438,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/tensorflowonspark/pipeline.py,Class 'TFModel' and its superclass 'TFParams' may not share a proper 'IS-A' relationship.
yahoo_TensorFlowOnSpark.tensorflowonspark,pipeline,Insufficient modularization,pipeline,1,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/tensorflowonspark/pipeline.py,"Module 'pipeline' is insufficiently modularized with NOPM: 3, WMC: 106, NOM: 5."
yahoo_TensorFlowOnSpark.tensorflowonspark,pipeline,Multifaceted abstraction,HasBatchSize,52,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/tensorflowonspark/pipeline.py,"Class 'HasBatchSize' has a high LCOM value of 1, indicating it may have multiple responsibilities."
yahoo_TensorFlowOnSpark.tensorflowonspark,pipeline,Multifaceted abstraction,HasClusterSize,65,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/tensorflowonspark/pipeline.py,"Class 'HasClusterSize' has a high LCOM value of 1, indicating it may have multiple responsibilities."
yahoo_TensorFlowOnSpark.tensorflowonspark,pipeline,Multifaceted abstraction,HasEpochs,78,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/tensorflowonspark/pipeline.py,"Class 'HasEpochs' has a high LCOM value of 1, indicating it may have multiple responsibilities."
yahoo_TensorFlowOnSpark.tensorflowonspark,pipeline,Multifaceted abstraction,HasGraceSecs,91,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/tensorflowonspark/pipeline.py,"Class 'HasGraceSecs' has a high LCOM value of 1, indicating it may have multiple responsibilities."
