Package,Module,Smell,Class/Module,Line no,File,Details
zalandoresearch_pytorch-ts.pts.distributions,zero_inflated,Multifaceted abstraction,ZeroInflatedNegativeBinomial,100,/Volumes/BrokeExt/NICHE/zalandoresearch_pytorch-ts/pts/distributions/zero_inflated.py,"Class 'ZeroInflatedNegativeBinomial' has a high LCOM value of 1, indicating it may have multiple responsibilities."
zalandoresearch_pytorch-ts.pts.model,estimator,Wide hierarchy,PyTorchEstimator,0,/Volumes/BrokeExt/NICHE/zalandoresearch_pytorch-ts/pts/model/estimator.py,Class 'PyTorchEstimator' has a wide hierarchy with 12 direct subclasses.
zalandoresearch_pytorch-ts.pts.model.causal_deepar,causal_deepar_network,Broken hierarchy,CausalDeepARTrainingNetwork,241,/Volumes/BrokeExt/NICHE/zalandoresearch_pytorch-ts/pts/model/causal_deepar/causal_deepar_network.py,Class 'CausalDeepARTrainingNetwork' and its superclass 'CausalDeepARNetwork' may not share a proper 'IS-A' relationship.
zalandoresearch_pytorch-ts.pts.model.deepar,deepar_network,Broken hierarchy,DeepARTrainingNetwork,209,/Volumes/BrokeExt/NICHE/zalandoresearch_pytorch-ts/pts/model/deepar/deepar_network.py,Class 'DeepARTrainingNetwork' and its superclass 'DeepARNetwork' may not share a proper 'IS-A' relationship.
zalandoresearch_pytorch-ts.pts.model.simple_feedforward,simple_feedforward_network,Broken hierarchy,SimpleFeedForwardTrainingNetwork,97,/Volumes/BrokeExt/NICHE/zalandoresearch_pytorch-ts/pts/model/simple_feedforward/simple_feedforward_network.py,Class 'SimpleFeedForwardTrainingNetwork' and its superclass 'SimpleFeedForwardNetworkBase' may not share a proper 'IS-A' relationship.
zalandoresearch_pytorch-ts.pts.model.transformer,transformer_network,Broken hierarchy,TransformerTrainingNetwork,216,/Volumes/BrokeExt/NICHE/zalandoresearch_pytorch-ts/pts/model/transformer/transformer_network.py,Class 'TransformerTrainingNetwork' and its superclass 'TransformerNetwork' may not share a proper 'IS-A' relationship.
zalandoresearch_pytorch-ts.pts.modules,distribution_output,Multifaceted abstraction,PoissonOutput,111,/Volumes/BrokeExt/NICHE/zalandoresearch_pytorch-ts/pts/modules/distribution_output.py,"Class 'PoissonOutput' has a high LCOM value of 1, indicating it may have multiple responsibilities."
zalandoresearch_pytorch-ts.pts.modules,distribution_output,Multifaceted abstraction,ZeroInflatedPoissonOutput,137,/Volumes/BrokeExt/NICHE/zalandoresearch_pytorch-ts/pts/modules/distribution_output.py,"Class 'ZeroInflatedPoissonOutput' has a high LCOM value of 1, indicating it may have multiple responsibilities."
zalandoresearch_pytorch-ts.pts.modules,distribution_output,Multifaceted abstraction,NegativeBinomialOutput,164,/Volumes/BrokeExt/NICHE/zalandoresearch_pytorch-ts/pts/modules/distribution_output.py,"Class 'NegativeBinomialOutput' has a high LCOM value of 1, indicating it may have multiple responsibilities."
zalandoresearch_pytorch-ts.pts.modules,distribution_output,Multifaceted abstraction,ZeroInflatedNegativeBinomialOutput,191,/Volumes/BrokeExt/NICHE/zalandoresearch_pytorch-ts/pts/modules/distribution_output.py,"Class 'ZeroInflatedNegativeBinomialOutput' has a high LCOM value of 1, indicating it may have multiple responsibilities."
zalandoresearch_pytorch-ts.pts.modules,distribution_output,Multifaceted abstraction,StudentTMixtureOutput,237,/Volumes/BrokeExt/NICHE/zalandoresearch_pytorch-ts/pts/modules/distribution_output.py,"Class 'StudentTMixtureOutput' has a high LCOM value of 1, indicating it may have multiple responsibilities."
zalandoresearch_pytorch-ts.pts.modules,distribution_output,Multifaceted abstraction,PiecewiseLinearOutput,277,/Volumes/BrokeExt/NICHE/zalandoresearch_pytorch-ts/pts/modules/distribution_output.py,"Class 'PiecewiseLinearOutput' has a high LCOM value of 1, indicating it may have multiple responsibilities."
zalandoresearch_pytorch-ts.pts.modules,distribution_output,Multifaceted abstraction,NormalMixtureOutput,318,/Volumes/BrokeExt/NICHE/zalandoresearch_pytorch-ts/pts/modules/distribution_output.py,"Class 'NormalMixtureOutput' has a high LCOM value of 1, indicating it may have multiple responsibilities."
zalandoresearch_pytorch-ts.pts.modules,distribution_output,Wide hierarchy,IndependentDistributionOutput,0,/Volumes/BrokeExt/NICHE/zalandoresearch_pytorch-ts/pts/modules/distribution_output.py,Class 'IndependentDistributionOutput' has a wide hierarchy with 8 direct subclasses.
zalandoresearch_pytorch-ts.pts.modules,gaussian_diffusion,Multifaceted abstraction,gaussian_diffusion,1,/Volumes/BrokeExt/NICHE/zalandoresearch_pytorch-ts/pts/modules/gaussian_diffusion.py,"Class 'gaussian_diffusion' has a high LCOM value of 1, indicating it may have multiple responsibilities."
zalandoresearch_pytorch-ts.test.distributions,test_zero_inflated,Multifaceted abstraction,test_zero_inflated,1,/Volumes/BrokeExt/NICHE/zalandoresearch_pytorch-ts/test/distributions/test_zero_inflated.py,"Class 'test_zero_inflated' has a high LCOM value of 1, indicating it may have multiple responsibilities."
zalandoresearch_pytorch-ts.test.feature,test_holiday,Multifaceted abstraction,test_holiday,1,/Volumes/BrokeExt/NICHE/zalandoresearch_pytorch-ts/test/feature/test_holiday.py,"Class 'test_holiday' has a high LCOM value of 1, indicating it may have multiple responsibilities."
zalandoresearch_pytorch-ts.test.model,test_forecast,Multifaceted abstraction,test_forecast,1,/Volumes/BrokeExt/NICHE/zalandoresearch_pytorch-ts/test/model/test_forecast.py,"Class 'test_forecast' has a high LCOM value of 1, indicating it may have multiple responsibilities."
