Package,Module,Smell,Class/Module,Line no,File,Details
RTIInternational_gobbli.benchmark,benchmark_util,Multifaceted abstraction,benchmark_util,1,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/benchmark_util.py,"Class 'benchmark_util' has a high LCOM value of 1, indicating it may have multiple responsibilities."
RTIInternational_gobbli.benchmark,scenario,Multifaceted abstraction,LowResourceScenario,664,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,"Class 'LowResourceScenario' has a high LCOM value of 1, indicating it may have multiple responsibilities."
RTIInternational_gobbli.benchmark,scenario,Multifaceted abstraction,DataAugmentationScenario,755,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,"Class 'DataAugmentationScenario' has a high LCOM value of 1, indicating it may have multiple responsibilities."
RTIInternational_gobbli.benchmark,scenario,Multifaceted abstraction,DocumentWindowingScenario,876,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,"Class 'DocumentWindowingScenario' has a high LCOM value of 1, indicating it may have multiple responsibilities."
RTIInternational_gobbli.benchmark,scenario,Rebellious hierarchy,ModelClassificationRun,78,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,Class 'ModelClassificationRun' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: key.
RTIInternational_gobbli.benchmark,scenario,Rebellious hierarchy,ModelEmbeddingRun,95,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,Class 'ModelEmbeddingRun' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: key.
RTIInternational_gobbli.benchmark,scenario,Rebellious hierarchy,AugmentRun,112,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,Class 'AugmentRun' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: key.
RTIInternational_gobbli.benchmark,scenario,Rebellious hierarchy,ModelClassificationScenario,266,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,Class 'ModelClassificationScenario' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: _do_run.
RTIInternational_gobbli.benchmark,scenario,Rebellious hierarchy,ModelEmbeddingScenario,275,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,Class 'ModelEmbeddingScenario' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: _do_run.
RTIInternational_gobbli.benchmark,scenario,Rebellious hierarchy,AugmentScenario,284,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,Class 'AugmentScenario' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: _do_run.
RTIInternational_gobbli.benchmark,scenario,Rebellious hierarchy,NewsgroupsClassificationScenario,364,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,Class 'NewsgroupsClassificationScenario' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: dataset.
RTIInternational_gobbli.benchmark,scenario,Rebellious hierarchy,IMDBClassificationScenario,379,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,Class 'IMDBClassificationScenario' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: dataset.
RTIInternational_gobbli.benchmark,scenario,Rebellious hierarchy,MovieSummaryClassificationScenario,394,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,Class 'MovieSummaryClassificationScenario' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: dataset.
RTIInternational_gobbli.benchmark,scenario,Rebellious hierarchy,NewsgroupsEmbeddingScenario,496,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,Class 'NewsgroupsEmbeddingScenario' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: dataset.
RTIInternational_gobbli.benchmark,scenario,Rebellious hierarchy,IMDBEmbeddingScenario,511,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,Class 'IMDBEmbeddingScenario' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: dataset.
RTIInternational_gobbli.gobbli,io,Multifaceted abstraction,PredictOutput,275,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/io.py,"Class 'PredictOutput' has a high LCOM value of 1, indicating it may have multiple responsibilities."
RTIInternational_gobbli.gobbli,io,Rebellious hierarchy,TrainInput,113,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/io.py,Class 'TrainInput' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: metadata.
RTIInternational_gobbli.gobbli,io,Rebellious hierarchy,TrainOutput,202,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/io.py,Class 'TrainOutput' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: metadata.
RTIInternational_gobbli.gobbli,io,Rebellious hierarchy,PredictInput,241,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/io.py,Class 'PredictInput' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: metadata.
RTIInternational_gobbli.gobbli,io,Rebellious hierarchy,PredictOutput,275,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/io.py,Class 'PredictOutput' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: metadata.
RTIInternational_gobbli.gobbli,io,Rebellious hierarchy,EmbedInput,327,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/io.py,Class 'EmbedInput' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: metadata.
RTIInternational_gobbli.gobbli,io,Rebellious hierarchy,EmbedOutput,364,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/io.py,Class 'EmbedOutput' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: metadata.
RTIInternational_gobbli.gobbli,io,Wide hierarchy,TaskIO,0,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/io.py,Class 'TaskIO' has a wide hierarchy with 6 direct subclasses.
RTIInternational_gobbli.gobbli,util,Insufficient modularization,util,1,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/util.py,"Module 'util' is insufficiently modularized with NOPM: 36, WMC: 80, NOM: 39."
RTIInternational_gobbli.gobbli.dataset,imdb,Multifaceted abstraction,IMDBDataset,8,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/dataset/imdb.py,"Class 'IMDBDataset' has a high LCOM value of 1, indicating it may have multiple responsibilities."
RTIInternational_gobbli.gobbli.dataset,imdb,Rebellious hierarchy,IMDBDataset,8,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/dataset/imdb.py,"Class 'IMDBDataset' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: labels, download, folders, read_source_file."
RTIInternational_gobbli.gobbli.dataset,nested_file,Rebellious hierarchy,NestedFileDataset,8,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/dataset/nested_file.py,"Class 'NestedFileDataset' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: X_train, y_train, X_test, y_test."
RTIInternational_gobbli.gobbli.dataset,newsgroups,Multifaceted abstraction,NewsgroupsDataset,8,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/dataset/newsgroups.py,"Class 'NewsgroupsDataset' has a high LCOM value of 1, indicating it may have multiple responsibilities."
RTIInternational_gobbli.gobbli.dataset,newsgroups,Rebellious hierarchy,NewsgroupsDataset,8,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/dataset/newsgroups.py,"Class 'NewsgroupsDataset' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: labels, download, folders, read_source_file."
RTIInternational_gobbli.gobbli.dataset,trivial,Rebellious hierarchy,TrivialDataset,4,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/dataset/trivial.py,"Class 'TrivialDataset' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: _is_built, _build, X_train, y_train, X_test, y_test."
RTIInternational_gobbli.gobbli.experiment,base,Multifaceted abstraction,base,1,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/experiment/base.py,"Class 'base' has a high LCOM value of 1, indicating it may have multiple responsibilities."
RTIInternational_gobbli.gobbli.experiment,classification,Multifaceted abstraction,ClassificationExperiment,168,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/experiment/classification.py,"Class 'ClassificationExperiment' has a high LCOM value of 1, indicating it may have multiple responsibilities."
RTIInternational_gobbli.gobbli.model,base,Wide hierarchy,BaseModel,0,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/model/base.py,Class 'BaseModel' has a wide hierarchy with 13 direct subclasses.
RTIInternational_gobbli.gobbli.model,mixin,Wide hierarchy,TrainMixin,0,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/model/mixin.py,Class 'TrainMixin' has a wide hierarchy with 8 direct subclasses.
RTIInternational_gobbli.gobbli.model,mixin,Wide hierarchy,PredictMixin,0,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/model/mixin.py,Class 'PredictMixin' has a wide hierarchy with 7 direct subclasses.
RTIInternational_gobbli.gobbli.model,mixin,Wide hierarchy,EmbedMixin,0,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/model/mixin.py,Class 'EmbedMixin' has a wide hierarchy with 7 direct subclasses.
RTIInternational_gobbli.gobbli.model,random,Rebellious hierarchy,RandomEmbedder,11,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/model/random.py,Class 'RandomEmbedder' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: init.
RTIInternational_gobbli.gobbli.model.bert.src,extract_features,Broken modularization,InputFeatures,89,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/model/bert/src/extract_features.py,Class 'InputFeatures' contains only data members without any method implementations.
RTIInternational_gobbli.gobbli.model.bert.src,run_classifier,Broken modularization,InputFeatures,187,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/model/bert/src/run_classifier.py,Class 'InputFeatures' contains only data members without any method implementations.
RTIInternational_gobbli.gobbli.model.bert.src,run_classifier,Multifaceted abstraction,DataProcessor,200,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/model/bert/src/run_classifier.py,"Class 'DataProcessor' has a high LCOM value of 1, indicating it may have multiple responsibilities."
RTIInternational_gobbli.gobbli.model.bert.src,run_squad,Broken modularization,InputFeatures,197,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/model/bert/src/run_squad.py,Class 'InputFeatures' contains only data members without any method implementations.
RTIInternational_gobbli.gobbli.model.bert.src,run_squad,Insufficient modularization,run_squad,1,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/model/bert/src/run_squad.py,"Module 'run_squad' is insufficiently modularized with NOPM: 9, WMC: 140, NOM: 13."
RTIInternational_gobbli.gobbli.model.bert.src,tokenization_test,Multifaceted abstraction,TokenizationTest,26,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/gobbli/model/bert/src/tokenization_test.py,"Class 'TokenizationTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
