Package,Module,Smell,Class/Module,Line no,File,Details
persephone-tools_persephone.persephone,corpus,Insufficient modularization,Corpus,96,/Volumes/BrokeExt/NICHE/persephone-tools_persephone/persephone/corpus.py,"Class 'Corpus' is insufficiently modularized with NOPM: 27, WMC: 62, NOM: 28."
persephone-tools_persephone.persephone,corpus,Multifaceted abstraction,corpus,1,/Volumes/BrokeExt/NICHE/persephone-tools_persephone/persephone/corpus.py,"Class 'corpus' has a high LCOM value of 1, indicating it may have multiple responsibilities."
persephone-tools_persephone.persephone,exceptions,Broken hierarchy,NoPrefixFileException,6,/Volumes/BrokeExt/NICHE/persephone-tools_persephone/persephone/exceptions.py,Class 'NoPrefixFileException' and its superclass 'PersephoneException' may not share a proper 'IS-A' relationship.
persephone-tools_persephone.persephone,exceptions,Broken hierarchy,DirtyRepoException,12,/Volumes/BrokeExt/NICHE/persephone-tools_persephone/persephone/exceptions.py,Class 'DirtyRepoException' and its superclass 'PersephoneException' may not share a proper 'IS-A' relationship.
persephone-tools_persephone.persephone,exceptions,Broken hierarchy,EmptyReferenceException,18,/Volumes/BrokeExt/NICHE/persephone-tools_persephone/persephone/exceptions.py,Class 'EmptyReferenceException' and its superclass 'PersephoneException' may not share a proper 'IS-A' relationship.
persephone-tools_persephone.persephone,exceptions,Broken hierarchy,LabelMismatchException,24,/Volumes/BrokeExt/NICHE/persephone-tools_persephone/persephone/exceptions.py,Class 'LabelMismatchException' and its superclass 'PersephoneException' may not share a proper 'IS-A' relationship.
persephone-tools_persephone.persephone.preprocess,labels,Multifaceted abstraction,labels,1,/Volumes/BrokeExt/NICHE/persephone-tools_persephone/persephone/preprocess/labels.py,"Class 'labels' has a high LCOM value of 1, indicating it may have multiple responsibilities."
persephone-tools_persephone.persephone.tests,test_corpus,Multifaceted abstraction,test_corpus,1,/Volumes/BrokeExt/NICHE/persephone-tools_persephone/persephone/tests/test_corpus.py,"Class 'test_corpus' has a high LCOM value of 1, indicating it may have multiple responsibilities."
persephone-tools_persephone.persephone.tests,test_rnn_ctc_model,Multifaceted abstraction,test_rnn_ctc_model,1,/Volumes/BrokeExt/NICHE/persephone-tools_persephone/persephone/tests/test_rnn_ctc_model.py,"Class 'test_rnn_ctc_model' has a high LCOM value of 1, indicating it may have multiple responsibilities."
persephone-tools_persephone.persephone.tests,test_transcription_preprocessing,Multifaceted abstraction,test_transcription_preprocessing,1,/Volumes/BrokeExt/NICHE/persephone-tools_persephone/persephone/tests/test_transcription_preprocessing.py,"Class 'test_transcription_preprocessing' has a high LCOM value of 1, indicating it may have multiple responsibilities."
persephone-tools_persephone.persephone.tests,test_utils,Multifaceted abstraction,test_utils,1,/Volumes/BrokeExt/NICHE/persephone-tools_persephone/persephone/tests/test_utils.py,"Class 'test_utils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
persephone-tools_persephone.persephone.tests,test_utterance,Multifaceted abstraction,test_utterance,1,/Volumes/BrokeExt/NICHE/persephone-tools_persephone/persephone/tests/test_utterance.py,"Class 'test_utterance' has a high LCOM value of 1, indicating it may have multiple responsibilities."
persephone-tools_persephone.persephone.tests.experiments,test_bkw,Multifaceted abstraction,test_bkw,1,/Volumes/BrokeExt/NICHE/persephone-tools_persephone/persephone/tests/experiments/test_bkw.py,"Class 'test_bkw' has a high LCOM value of 1, indicating it may have multiple responsibilities."
