Package,Module,Smell,Class/Module,Line no,File,Details
datamllab_rlcard.rlcard.agents,pettingzoo_agents,Multifaceted abstraction,NFSPAgentPettingZoo,7,/Volumes/BrokeExt/NICHE/datamllab_rlcard/rlcard/agents/pettingzoo_agents.py,"Class 'NFSPAgentPettingZoo' has a high LCOM value of 1, indicating it may have multiple responsibilities."
datamllab_rlcard.rlcard.agents,pettingzoo_agents,Multifaceted abstraction,DQNAgentPettingZoo,22,/Volumes/BrokeExt/NICHE/datamllab_rlcard/rlcard/agents/pettingzoo_agents.py,"Class 'DQNAgentPettingZoo' has a high LCOM value of 1, indicating it may have multiple responsibilities."
datamllab_rlcard.rlcard.agents.dmc_agent,pettingzoo_model,Multifaceted abstraction,DMCAgentPettingZoo,7,/Volumes/BrokeExt/NICHE/datamllab_rlcard/rlcard/agents/dmc_agent/pettingzoo_model.py,"Class 'DMCAgentPettingZoo' has a high LCOM value of 1, indicating it may have multiple responsibilities."
datamllab_rlcard.rlcard.agents.dmc_agent,utils,Multifaceted abstraction,utils,1,/Volumes/BrokeExt/NICHE/datamllab_rlcard/rlcard/agents/dmc_agent/utils.py,"Class 'utils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
datamllab_rlcard.rlcard.agents.human_agents.gin_rummy_human_agent.gui_cards,card_image,Broken modularization,BorderLessCardImage,148,/Volumes/BrokeExt/NICHE/datamllab_rlcard/rlcard/agents/human_agents/gin_rummy_human_agent/gui_cards/card_image.py,Class 'BorderLessCardImage' contains only data members without any method implementations.
datamllab_rlcard.rlcard.agents.human_agents.gin_rummy_human_agent.gui_gin_rummy,info_messaging,Multifaceted abstraction,info_messaging,1,/Volumes/BrokeExt/NICHE/datamllab_rlcard/rlcard/agents/human_agents/gin_rummy_human_agent/gui_gin_rummy/info_messaging.py,"Class 'info_messaging' has a high LCOM value of 1, indicating it may have multiple responsibilities."
datamllab_rlcard.rlcard.envs,bridge,Multifaceted abstraction,BridgeStateExtractor,146,/Volumes/BrokeExt/NICHE/datamllab_rlcard/rlcard/envs/bridge.py,"Class 'BridgeStateExtractor' has a high LCOM value of 1, indicating it may have multiple responsibilities."
datamllab_rlcard.rlcard.envs,env,Wide hierarchy,Env,0,/Volumes/BrokeExt/NICHE/datamllab_rlcard/rlcard/envs/env.py,Class 'Env' has a wide hierarchy with 9 direct subclasses.
datamllab_rlcard.rlcard.games.bridge,player,Multifaceted abstraction,BridgePlayer,12,/Volumes/BrokeExt/NICHE/datamllab_rlcard/rlcard/games/bridge/player.py,"Class 'BridgePlayer' has a high LCOM value of 1, indicating it may have multiple responsibilities."
datamllab_rlcard.rlcard.games.bridge.utils,action_event,Broken hierarchy,PassAction,69,/Volumes/BrokeExt/NICHE/datamllab_rlcard/rlcard/games/bridge/utils/action_event.py,Class 'PassAction' and its superclass 'CallActionEvent' may not share a proper 'IS-A' relationship.
