Control,Smell,Spearman_rho,p_value,Significance
loc,smell_long statement,0.73,1.64e-51,***
loc,smell_long method,0.69,1.62e-44,***
loc,smell_complex method,0.65,1.75e-38,***
loc,smell_magic number,0.62,4.94e-34,***
loc,smell_long parameter list,0.61,1.16e-31,***
loc,smell_long identifier,0.5,8.30e-21,***
loc,smell_complex conditional,0.41,7.72e-14,***
file_complexity,smell_complex method,0.37,1.65e-11,***
loc,smell_empty catch block,0.35,3.11e-10,***
file_complexity,smell_complex conditional,0.32,9.37e-09,***
file_complexity,smell_long method,0.31,2.54e-08,***
loc,smell_long lambda function,0.31,2.31e-08,***
loc,ML_Specific_Code_Smell_columns_and_datatype_not_explicitly_set,0.29,3.00e-07,***
Commits,smell_long statement,0.29,2.49e-07,***
file_complexity,smell_long parameter list,0.27,2.27e-06,***
Commits,smell_complex method,0.27,1.44e-06,***
loc,smell_long message chain,0.25,1.36e-05,***
Commits,smell_empty catch block,0.24,1.98e-05,***
Commits,smell_long identifier,0.24,1.80e-05,***
file_complexity,smell_magic number,0.23,3.68e-05,**
Commits,smell_long method,0.22,8.43e-05,**
file_complexity,smell_long statement,0.21,1.63e-04,**
Commits,smell_complex conditional,0.2,4.78e-04,*
Commits,smell_long lambda function,0.19,9.47e-04,*
file_complexity,smell_empty catch block,0.18,1.39e-03,
Commits,ML_Specific_Code_Smell_columns_and_datatype_not_explicitly_set,0.18,1.98e-03,
file_complexity,ML_Specific_Code_Smell_tensor_array_not_used,0.17,2.60e-03,
loc,ML_Specific_Code_Smell_tensor_array_not_used,0.17,3.98e-03,
Commits,ML_Specific_Code_Smell_in_place_apis_misused,0.16,4.78e-03,
loc,ML_Specific_Code_Smell_in_place_apis_misused,0.16,4.31e-03,
Commits,smell_magic number,0.16,4.88e-03,
file_complexity,smell_long lambda function,0.15,9.43e-03,
Commits,ML_Specific_Code_Smell_gradients_not_cleared_before_backward_propagation,-0.15,1.08e-02,
file_complexity,smell_long identifier,0.12,3.28e-02,
file_complexity,ML_Specific_Code_Smell_gradients_not_cleared_before_backward_propagation,0.11,5.01e-02,
Commits,smell_long message chain,0.11,6.51e-02,
Commits,smell_long parameter list,0.11,5.52e-02,
file_complexity,smell_long message chain,0.09,1.32e-01,
loc,ML_Specific_Code_Smell_dataframe_conversion_api_misused,0.05,3.89e-01,
file_complexity,ML_Specific_Code_Smell_pytorch_call_method_misused,-0.04,4.85e-01,
Commits,ML_Specific_Code_Smell_dataframe_conversion_api_misused,0.03,5.74e-01,
loc,ML_Specific_Code_Smell_pytorch_call_method_misused,0.02,7.69e-01,
loc,ML_Specific_Code_Smell_gradients_not_cleared_before_backward_propagation,-0.02,7.93e-01,
Commits,ML_Specific_Code_Smell_pytorch_call_method_misused,-0.02,7.30e-01,
file_complexity,ML_Specific_Code_Smell_in_place_apis_misused,0.01,8.64e-01,
file_complexity,ML_Specific_Code_Smell_columns_and_datatype_not_explicitly_set,0.01,9.00e-01,
Commits,ML_Specific_Code_Smell_tensor_array_not_used,-0.0,9.67e-01,
file_complexity,ML_Specific_Code_Smell_dataframe_conversion_api_misused,-0.0,9.80e-01,
