Package,Module,Smell,Class/Module,Line no,File,Details
mpariente_asteroid,hubconf,Multifaceted abstraction,hubconf,1,/Volumes/BrokeExt/NICHE/mpariente_asteroid/hubconf.py,"Class 'hubconf' has a high LCOM value of 1, indicating it may have multiple responsibilities."
mpariente_asteroid.asteroid,metrics,Multifaceted abstraction,MockWERTracker,205,/Volumes/BrokeExt/NICHE/mpariente_asteroid/asteroid/metrics.py,"Class 'MockWERTracker' has a high LCOM value of 1, indicating it may have multiple responsibilities."
mpariente_asteroid.asteroid.data,kinect_wsj,Multifaceted abstraction,KinectWsjMixDataset,33,/Volumes/BrokeExt/NICHE/mpariente_asteroid/asteroid/data/kinect_wsj.py,"Class 'KinectWsjMixDataset' has a high LCOM value of 1, indicating it may have multiple responsibilities."
mpariente_asteroid.asteroid.data,sms_wsj_dataset,Broken modularization,sms_wsj_dataset,1,/Volumes/BrokeExt/NICHE/mpariente_asteroid/asteroid/data/sms_wsj_dataset.py,Module 'sms_wsj_dataset' contains only data members without any method implementations.
mpariente_asteroid.asteroid.data,whamr_dataset,Broken modularization,whamr_dataset,1,/Volumes/BrokeExt/NICHE/mpariente_asteroid/asteroid/data/whamr_dataset.py,Module 'whamr_dataset' contains only data members without any method implementations.
mpariente_asteroid.asteroid.engine,system,Wide hierarchy,System,0,/Volumes/BrokeExt/NICHE/mpariente_asteroid/asteroid/engine/system.py,Class 'System' has a wide hierarchy with 8 direct subclasses.
mpariente_asteroid.asteroid.losses,sdr,Broken modularization,sdr,1,/Volumes/BrokeExt/NICHE/mpariente_asteroid/asteroid/losses/sdr.py,Module 'sdr' contains only data members without any method implementations.
mpariente_asteroid.asteroid.masknn,activations,Multifaceted abstraction,activations,1,/Volumes/BrokeExt/NICHE/mpariente_asteroid/asteroid/masknn/activations.py,"Class 'activations' has a high LCOM value of 0.83, indicating it may have multiple responsibilities."
mpariente_asteroid.asteroid.masknn,convolutional,Broken modularization,_BaseUBlock,764,/Volumes/BrokeExt/NICHE/mpariente_asteroid/asteroid/masknn/convolutional.py,Class '_BaseUBlock' contains only data members without any method implementations.
mpariente_asteroid.asteroid.masknn,norms,Broken hierarchy,GlobLN,46,/Volumes/BrokeExt/NICHE/mpariente_asteroid/asteroid/masknn/norms.py,Class 'GlobLN' and its superclass '_LayerNorm' may not share a proper 'IS-A' relationship.
mpariente_asteroid.asteroid.masknn,norms,Broken hierarchy,ChanLN,64,/Volumes/BrokeExt/NICHE/mpariente_asteroid/asteroid/masknn/norms.py,Class 'ChanLN' and its superclass '_LayerNorm' may not share a proper 'IS-A' relationship.
mpariente_asteroid.asteroid.masknn,norms,Broken hierarchy,CumLN,83,/Volumes/BrokeExt/NICHE/mpariente_asteroid/asteroid/masknn/norms.py,Class 'CumLN' and its superclass '_LayerNorm' may not share a proper 'IS-A' relationship.
mpariente_asteroid.asteroid.masknn,norms,Broken hierarchy,FeatsGlobLN,105,/Volumes/BrokeExt/NICHE/mpariente_asteroid/asteroid/masknn/norms.py,Class 'FeatsGlobLN' and its superclass '_LayerNorm' may not share a proper 'IS-A' relationship.
mpariente_asteroid.asteroid.models,base_models,Wide hierarchy,BaseEncoderMaskerDecoder,0,/Volumes/BrokeExt/NICHE/mpariente_asteroid/asteroid/models/base_models.py,Class 'BaseEncoderMaskerDecoder' has a wide hierarchy with 9 direct subclasses.
