Package,Module,Smell,Class/Module,Line no,File,Details
cornell-zhang_heterocl.heterocl,context,Broken modularization,context,1,/Volumes/BrokeExt/NICHE/cornell-zhang_heterocl/heterocl/context.py,Module 'context' contains only data members without any method implementations.
cornell-zhang_heterocl.heterocl,debug,Wide hierarchy,HCLError,0,/Volumes/BrokeExt/NICHE/cornell-zhang_heterocl/heterocl/debug.py,Class 'HCLError' has a wide hierarchy with 6 direct subclasses.
cornell-zhang_heterocl.heterocl,devices,Multifaceted abstraction,dev,324,/Volumes/BrokeExt/NICHE/cornell-zhang_heterocl/heterocl/devices.py,"Class 'dev' has a high LCOM value of 1, indicating it may have multiple responsibilities."
cornell-zhang_heterocl.heterocl,devices,Wide hierarchy,Memory,0,/Volumes/BrokeExt/NICHE/cornell-zhang_heterocl/heterocl/devices.py,Class 'Memory' has a wide hierarchy with 6 direct subclasses.
cornell-zhang_heterocl.heterocl,dsl,Multifaceted abstraction,dsl,1,/Volumes/BrokeExt/NICHE/cornell-zhang_heterocl/heterocl/dsl.py,"Class 'dsl' has a high LCOM value of 1, indicating it may have multiple responsibilities."
cornell-zhang_heterocl.heterocl,intrin,Multifaceted abstraction,intrin,1,/Volumes/BrokeExt/NICHE/cornell-zhang_heterocl/heterocl/intrin.py,"Class 'intrin' has a high LCOM value of 1, indicating it may have multiple responsibilities."
cornell-zhang_heterocl.heterocl,platforms,Broken modularization,AWS_F1,71,/Volumes/BrokeExt/NICHE/cornell-zhang_heterocl/heterocl/platforms.py,Class 'AWS_F1' contains only data members without any method implementations.
cornell-zhang_heterocl.heterocl,tools,Broken hierarchy,SDAccel,99,/Volumes/BrokeExt/NICHE/cornell-zhang_heterocl/heterocl/tools.py,Class 'SDAccel' and its superclass 'Vitis' may not share a proper 'IS-A' relationship.
cornell-zhang_heterocl.heterocl,tools,Broken modularization,OptionTable,112,/Volumes/BrokeExt/NICHE/cornell-zhang_heterocl/heterocl/tools.py,Class 'OptionTable' contains only data members without any method implementations.
cornell-zhang_heterocl.heterocl,types,Broken hierarchy,Int,49,/Volumes/BrokeExt/NICHE/cornell-zhang_heterocl/heterocl/types.py,Class 'Int' and its superclass 'Type' may not share a proper 'IS-A' relationship.
cornell-zhang_heterocl.heterocl,types,Broken hierarchy,UInt,56,/Volumes/BrokeExt/NICHE/cornell-zhang_heterocl/heterocl/types.py,Class 'UInt' and its superclass 'Type' may not share a proper 'IS-A' relationship.
cornell-zhang_heterocl.heterocl,types,Broken hierarchy,Fixed,90,/Volumes/BrokeExt/NICHE/cornell-zhang_heterocl/heterocl/types.py,Class 'Fixed' and its superclass 'Type' may not share a proper 'IS-A' relationship.
cornell-zhang_heterocl.heterocl,types,Broken hierarchy,UFixed,97,/Volumes/BrokeExt/NICHE/cornell-zhang_heterocl/heterocl/types.py,Class 'UFixed' and its superclass 'Type' may not share a proper 'IS-A' relationship.
cornell-zhang_heterocl.heterocl,types,Wide hierarchy,Type,0,/Volumes/BrokeExt/NICHE/cornell-zhang_heterocl/heterocl/types.py,Class 'Type' has a wide hierarchy with 6 direct subclasses.
cornell-zhang_heterocl.heterocl.ast,ast,Insufficient modularization,Expr,253,/Volumes/BrokeExt/NICHE/cornell-zhang_heterocl/heterocl/ast/ast.py,"Class 'Expr' is insufficiently modularized with NOPM: 3, WMC: 55, NOM: 42."
cornell-zhang_heterocl.heterocl.ast,ast,Insufficient modularization,ast,1,/Volumes/BrokeExt/NICHE/cornell-zhang_heterocl/heterocl/ast/ast.py,"Module 'ast' is insufficiently modularized with NOPM: 5, WMC: 308, NOM: 5."
cornell-zhang_heterocl.heterocl.ast,ast,Wide hierarchy,Operation,0,/Volumes/BrokeExt/NICHE/cornell-zhang_heterocl/heterocl/ast/ast.py,Class 'Operation' has a wide hierarchy with 31 direct subclasses.
cornell-zhang_heterocl.heterocl.ast,ast,Wide hierarchy,Expr,0,/Volumes/BrokeExt/NICHE/cornell-zhang_heterocl/heterocl/ast/ast.py,Class 'Expr' has a wide hierarchy with 19 direct subclasses.
cornell-zhang_heterocl.heterocl.ast,ast,Wide hierarchy,UnaryOp,0,/Volumes/BrokeExt/NICHE/cornell-zhang_heterocl/heterocl/ast/ast.py,Class 'UnaryOp' has a wide hierarchy with 13 direct subclasses.
