Package,Module,Smell,Class/Module,Line no,File,Details
lab-ml_labml.app.local_server_settings.server,settings,Broken modularization,settings,1,/Volumes/BrokeExt/NICHE/lab-ml_labml/app/local_server_settings/server/settings.py,Module 'settings' contains only data members without any method implementations.
lab-ml_labml.app.server.labml_app,docs,Broken modularization,docs,1,/Volumes/BrokeExt/NICHE/lab-ml_labml/app/server/labml_app/docs.py,Module 'docs' contains only data members without any method implementations.
lab-ml_labml.app.server.labml_app,enums,Broken modularization,RunEnums,1,/Volumes/BrokeExt/NICHE/lab-ml_labml/app/server/labml_app/enums.py,Class 'RunEnums' contains only data members without any method implementations.
lab-ml_labml.app.server.labml_app,enums,Broken modularization,SeriesEnums,10,/Volumes/BrokeExt/NICHE/lab-ml_labml/app/server/labml_app/enums.py,Class 'SeriesEnums' contains only data members without any method implementations.
lab-ml_labml.app.server.labml_app,enums,Broken modularization,COMPUTEREnums,19,/Volumes/BrokeExt/NICHE/lab-ml_labml/app/server/labml_app/enums.py,Class 'COMPUTEREnums' contains only data members without any method implementations.
lab-ml_labml.app.server.labml_app,flask_app,Multifaceted abstraction,flask_app,1,/Volumes/BrokeExt/NICHE/lab-ml_labml/app/server/labml_app/flask_app.py,"Class 'flask_app' has a high LCOM value of 1, indicating it may have multiple responsibilities."
lab-ml_labml.app.server.labml_app,handlers,Insufficient modularization,handlers,1,/Volumes/BrokeExt/NICHE/lab-ml_labml/app/server/labml_app/handlers.py,"Module 'handlers' is insufficiently modularized with NOPM: 22, WMC: 75, NOM: 27."
lab-ml_labml.app.server.labml_app,handlers,Multifaceted abstraction,handlers,1,/Volumes/BrokeExt/NICHE/lab-ml_labml/app/server/labml_app/handlers.py,"Class 'handlers' has a high LCOM value of 0.81, indicating it may have multiple responsibilities."
lab-ml_labml.app.server.labml_app,settings.sample,Broken modularization,settings.sample,1,/Volumes/BrokeExt/NICHE/lab-ml_labml/app/server/labml_app/settings.sample.py,Module 'settings.sample' contains only data members without any method implementations.
lab-ml_labml.app.server.labml_app.analyses,__init__,Multifaceted abstraction,AnalysisManager,12,/Volumes/BrokeExt/NICHE/lab-ml_labml/app/server/labml_app/analyses/__init__.py,"Class 'AnalysisManager' has a high LCOM value of 1, indicating it may have multiple responsibilities."
lab-ml_labml.app.server.labml_app.analyses,analysis,Multifaceted abstraction,Analysis,10,/Volumes/BrokeExt/NICHE/lab-ml_labml/app/server/labml_app/analyses/analysis.py,"Class 'Analysis' has a high LCOM value of 1, indicating it may have multiple responsibilities."
lab-ml_labml.app.server.labml_app.analyses,analysis,Wide hierarchy,Analysis,0,/Volumes/BrokeExt/NICHE/lab-ml_labml/app/server/labml_app/analyses/analysis.py,Class 'Analysis' has a wide hierarchy with 8 direct subclasses.
lab-ml_labml.app.server.labml_app.analyses,preferences,Broken hierarchy,MetricPreferenceModel,109,/Volumes/BrokeExt/NICHE/lab-ml_labml/app/server/labml_app/analyses/preferences.py,Class 'MetricPreferenceModel' and its superclass 'Preferences' may not share a proper 'IS-A' relationship.
lab-ml_labml.app.server.labml_app.analyses,preferences,Wide hierarchy,Preferences,0,/Volumes/BrokeExt/NICHE/lab-ml_labml/app/server/labml_app/analyses/preferences.py,Class 'Preferences' has a wide hierarchy with 9 direct subclasses.
lab-ml_labml.app.server.labml_app.analyses,series_collection,Wide hierarchy,SeriesCollection,0,/Volumes/BrokeExt/NICHE/lab-ml_labml/app/server/labml_app/analyses/series_collection.py,Class 'SeriesCollection' has a wide hierarchy with 9 direct subclasses.
