Package,Module,Smell,Class/Module,Line no,File,Details
danielegrattarola_spektral.spektral.data,dataset,Wide hierarchy,Dataset,0,/Volumes/BrokeExt/NICHE/danielegrattarola_spektral/spektral/data/dataset.py,Class 'Dataset' has a wide hierarchy with 16 direct subclasses.
danielegrattarola_spektral.spektral.data,loaders,Multifaceted abstraction,MixedLoader,548,/Volumes/BrokeExt/NICHE/danielegrattarola_spektral/spektral/data/loaders.py,"Class 'MixedLoader' has a high LCOM value of 1, indicating it may have multiple responsibilities."
danielegrattarola_spektral.spektral.data,utils,Multifaceted abstraction,utils,1,/Volumes/BrokeExt/NICHE/danielegrattarola_spektral/spektral/data/utils.py,"Class 'utils' has a high LCOM value of 0.82, indicating it may have multiple responsibilities."
danielegrattarola_spektral.spektral.datasets,citation,Multifaceted abstraction,citation,1,/Volumes/BrokeExt/NICHE/danielegrattarola_spektral/spektral/datasets/citation.py,"Class 'citation' has a high LCOM value of 1, indicating it may have multiple responsibilities."
danielegrattarola_spektral.spektral.datasets,qm7,Multifaceted abstraction,QM7,12,/Volumes/BrokeExt/NICHE/danielegrattarola_spektral/spektral/datasets/qm7.py,"Class 'QM7' has a high LCOM value of 1, indicating it may have multiple responsibilities."
danielegrattarola_spektral.spektral.layers,base,Multifaceted abstraction,Disjoint2Batch,12,/Volumes/BrokeExt/NICHE/danielegrattarola_spektral/spektral/layers/base.py,"Class 'Disjoint2Batch' has a high LCOM value of 1, indicating it may have multiple responsibilities."
danielegrattarola_spektral.spektral.layers.convolutional,conv,Wide hierarchy,Conv,0,/Volumes/BrokeExt/NICHE/danielegrattarola_spektral/spektral/layers/convolutional/conv.py,Class 'Conv' has a wide hierarchy with 11 direct subclasses.
danielegrattarola_spektral.spektral.layers.convolutional,message_passing,Wide hierarchy,MessagePassing,0,/Volumes/BrokeExt/NICHE/danielegrattarola_spektral/spektral/layers/convolutional/message_passing.py,Class 'MessagePassing' has a wide hierarchy with 9 direct subclasses.
danielegrattarola_spektral.spektral.layers.ops,modes,Multifaceted abstraction,modes,1,/Volumes/BrokeExt/NICHE/danielegrattarola_spektral/spektral/layers/ops/modes.py,"Class 'modes' has a high LCOM value of 1, indicating it may have multiple responsibilities."
danielegrattarola_spektral.spektral.layers.ops,ops,Multifaceted abstraction,ops,1,/Volumes/BrokeExt/NICHE/danielegrattarola_spektral/spektral/layers/ops/ops.py,"Class 'ops' has a high LCOM value of 1, indicating it may have multiple responsibilities."
danielegrattarola_spektral.spektral.layers.ops,scatter,Multifaceted abstraction,scatter,1,/Volumes/BrokeExt/NICHE/danielegrattarola_spektral/spektral/layers/ops/scatter.py,"Class 'scatter' has a high LCOM value of 1, indicating it may have multiple responsibilities."
danielegrattarola_spektral.spektral.layers.pooling,la_pool,Multifaceted abstraction,la_pool,1,/Volumes/BrokeExt/NICHE/danielegrattarola_spektral/spektral/layers/pooling/la_pool.py,"Class 'la_pool' has a high LCOM value of 1, indicating it may have multiple responsibilities."
danielegrattarola_spektral.spektral.layers.pooling,src,Wide hierarchy,SRCPool,0,/Volumes/BrokeExt/NICHE/danielegrattarola_spektral/spektral/layers/pooling/src.py,Class 'SRCPool' has a wide hierarchy with 7 direct subclasses.
danielegrattarola_spektral.spektral.utils,keras,Multifaceted abstraction,keras,1,/Volumes/BrokeExt/NICHE/danielegrattarola_spektral/spektral/utils/keras.py,"Class 'keras' has a high LCOM value of 1, indicating it may have multiple responsibilities."
danielegrattarola_spektral.tests,test_datasets,Multifaceted abstraction,test_datasets,1,/Volumes/BrokeExt/NICHE/danielegrattarola_spektral/tests/test_datasets.py,"Class 'test_datasets' has a high LCOM value of 1, indicating it may have multiple responsibilities."
danielegrattarola_spektral.tests.test_data,test_loaders,Multifaceted abstraction,test_loaders,1,/Volumes/BrokeExt/NICHE/danielegrattarola_spektral/tests/test_data/test_loaders.py,"Class 'test_loaders' has a high LCOM value of 1, indicating it may have multiple responsibilities."
danielegrattarola_spektral.tests.test_data,test_utils,Multifaceted abstraction,test_utils,1,/Volumes/BrokeExt/NICHE/danielegrattarola_spektral/tests/test_data/test_utils.py,"Class 'test_utils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
danielegrattarola_spektral.tests.test_layers,test_base,Multifaceted abstraction,test_base,1,/Volumes/BrokeExt/NICHE/danielegrattarola_spektral/tests/test_layers/test_base.py,"Class 'test_base' has a high LCOM value of 1, indicating it may have multiple responsibilities."
danielegrattarola_spektral.tests.test_layers.convolutional,test_censnet_conv,Multifaceted abstraction,test_censnet_conv,1,/Volumes/BrokeExt/NICHE/danielegrattarola_spektral/tests/test_layers/convolutional/test_censnet_conv.py,"Class 'test_censnet_conv' has a high LCOM value of 1, indicating it may have multiple responsibilities."
danielegrattarola_spektral.tests.test_layers.convolutional,test_xenet_conv,Multifaceted abstraction,test_xenet_conv,1,/Volumes/BrokeExt/NICHE/danielegrattarola_spektral/tests/test_layers/convolutional/test_xenet_conv.py,"Class 'test_xenet_conv' has a high LCOM value of 1, indicating it may have multiple responsibilities."
danielegrattarola_spektral.tests.test_transforms,test_transforms,Multifaceted abstraction,test_transforms,1,/Volumes/BrokeExt/NICHE/danielegrattarola_spektral/tests/test_transforms/test_transforms.py,"Class 'test_transforms' has a high LCOM value of 1, indicating it may have multiple responsibilities."
