Package,Module,Class,Function,LOC,CC,PC
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers,FunctionTask,__init__,54,22,12
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers,TfdsTask,__init__,11,1,6
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers,TextLineTask,__init__,13,1,5
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers,TFExampleTask,__init__,14,1,6
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers,TaskRegistry,add,4,1,3
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers,TaskRegistry,reset,3,1,1
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers_test,TasksTest,test_tfds_task,4,1,0
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers_test,TasksTest,test_immutabledict_features,8,1,0
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers_test,TasksTest,test_function_task,7,1,0
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers_test,TasksTest,test_text_line_task,12,1,0
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers_test,TasksTest,test_tf_example_task,3,1,0
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers_test,TasksTest,test_cached_task,5,1,0
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers_test,TasksTest,test_token_preprocessor,11,1,0
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers_test,TasksTest,test_optional_features,26,1,0
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers_test,TasksTest,test_no_eos,12,1,0
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers_test,TasksTest,test_task_registry_reset,14,1,0
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers_test,,_add_t5_task,12,2,4
google-research_text-to-text-transfer-transformer.t5.data,glue_utils,,get_glue_weight_mapping,2,1,0
google-research_text-to-text-transfer-transformer.t5.data,glue_utils,,get_super_glue_weight_mapping,2,1,0
google-research_text-to-text-transfer-transformer.t5.data,glue_utils,,get_super_glue_weight_mapping_sentinel,2,1,0
google-research_text-to-text-transfer-transformer.t5.data,glue_utils,,get_glue_text_preprocessor,31,6,1
google-research_text-to-text-transfer-transformer.t5.data,glue_utils,,get_glue_postprocess_fn,12,1,1
google-research_text-to-text-transfer-transformer.t5.data,glue_utils,,get_glue_metric,2,1,1
google-research_text-to-text-transfer-transformer.t5.data,glue_utils,,get_super_glue_metric,2,1,1
google-research_text-to-text-transfer-transformer.t5.data,mixtures,,_dedupe,11,5,1
google-research_text-to-text-transfer-transformer.t5.data,mixtures,,assign_weight_or_rate_num_examples,7,1,1
google-research_text-to-text-transfer-transformer.t5.data,postprocessors,,string_to_float,5,1,2
google-research_text-to-text-transfer-transformer.t5.data,postprocessors,,lower_text,2,1,1
google-research_text-to-text-transfer-transformer.t5.data,postprocessors,,string_label_to_class_id,5,1,3
google-research_text-to-text-transfer-transformer.t5.data,postprocessors,,multirc,9,2,3
google-research_text-to-text-transfer-transformer.t5.data,postprocessors,,record,8,1,3
google-research_text-to-text-transfer-transformer.t5.data,postprocessors,,qa,4,1,3
google-research_text-to-text-transfer-transformer.t5.data,postprocessors,,span_qa,7,1,3
google-research_text-to-text-transfer-transformer.t5.data,postprocessors,,wsc_simple,31,2,3
google-research_text-to-text-transfer-transformer.t5.data,postprocessors,,rank_classification,13,3,4
google-research_text-to-text-transfer-transformer.t5.data,postprocessors_test,PostprocessorsTest,test_string_to_float,5,1,0
google-research_text-to-text-transfer-transformer.t5.data,postprocessors_test,PostprocessorsTest,test_lower_text,2,1,0
google-research_text-to-text-transfer-transformer.t5.data,postprocessors_test,PostprocessorsTest,test_string_label_to_class_id,6,1,0
google-research_text-to-text-transfer-transformer.t5.data,postprocessors_test,PostprocessorsTest,test_multirc,14,1,0
google-research_text-to-text-transfer-transformer.t5.data,postprocessors_test,PostprocessorsTest,test_record,14,1,0
google-research_text-to-text-transfer-transformer.t5.data,postprocessors_test,PostprocessorsTest,test_qa,6,1,0
google-research_text-to-text-transfer-transformer.t5.data,postprocessors_test,PostprocessorsTest,test_span_qa,14,1,0
google-research_text-to-text-transfer-transformer.t5.data,postprocessors_test,PostprocessorsTest,test_wsc_simple,53,1,0
google-research_text-to-text-transfer-transformer.t5.data,postprocessors_test,PostprocessorsTest,test_rank_classification,2,1,0
google-research_text-to-text-transfer-transformer.t5.data,postprocessors_test,PostprocessorsTest,test_rank_classification_is_target,47,1,0
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,DenoiseNoiseMaskFn,__call__,1,1,3
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,DenoiseInputsFn,__call__,1,1,4
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,DenoiseTargetsFn,__call__,1,1,4
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,translate,18,3,3
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,summarize,7,1,3
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,pad_nonspaced_languages,9,1,2
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,_pad_punctuation,4,1,1
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,_string_join,3,1,1
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,trivia_qa,77,-1,1
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,squad,17,2,2
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,_span_answer,31,1,2
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,squad_span_space_tokenized,10,0,1
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,random_split_text,64,0,5
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,split_text_to_words,7,0,3
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,fill_in_the_blank,68,0,3
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,fill_in_the_blank_sized,39,0,4
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,neighboring_pairs,36,-2,3
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,glue,34,5,5
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,stsb,8,1,1
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,wsc,22,0,1
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,record,55,0,1
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,multi_translate,20,-1,3
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,definite_pronoun_resolution_simple,15,1,2
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,next_sentence_prediction,59,-1,7
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,lm,3,1,1
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,_wsc_inputs,38,0,1
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,wsc_simple,20,1,3
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,wnli_simple,123,1,2
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,rank_classification,57,7,7
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,rank_classification_formatter,54,6,6
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,parse_tsv,12,3,4
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,preprocess_tsv,40,-1,7
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,span_corruption,47,5,9
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,iid_denoising,16,1,3
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,prefix_lm,15,1,4
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,maybe_cast_seed,9,1,1
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,full_lm,8,1,3
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,single_example_select_random_chunk,59,14,10
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,select_random_chunk,15,0,9
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,reduce_concat_tokens,11,0,3
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,trim_tokens_at_front,7,4,3
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,trivia_qa_truncate_inputs,75,-2,3
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,unsupervised,16,4,4
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,split_tokens,88,8,6
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,split_tokens_to_inputs_length,6,2,3
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,split_tokens_to_targets_length,6,2,3
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,split_tokens_to_random_length,9,2,3
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,concatenate_and_split_to_fixed_length,8,2,4
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,filter_by_string_length,7,0,4
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,random_spans_helper,29,4,6
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,random_spans_tokens_length,2,1,0
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,random_spans_targets_length,2,1,0
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,single_example_denoise,37,10,2
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,denoise,13,0,8
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,iid_noise_mask,3,1,3
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,regular_noise_mask,16,1,5
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,random_spans_noise_mask,68,2,6
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,random_prefix_noise_mask,20,2,3
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,sentinel_id,5,1,2
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,noise_token_to_sentinel,6,1,4
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,noise_span_to_sentinel,9,1,4
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,nonnoise_span_to_sentinel,3,1,4
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,noise_span_to_unique_sentinel,42,5,5
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,nonnoise_span_to_unique_sentinel,8,1,5
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,drop_noise_tokens,5,1,4
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,drop_nonnoise_tokens,5,1,4
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,permute_noise_tokens,10,1,4
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,noise_token_to_gathered_token,11,1,4
google-research_text-to-text-transfer-transformer.t5.data,preprocessors,,noise_token_to_random_token,10,1,5
