Package,Module,Class,Smell,Function/Method,Line no,File,Details
RTIInternational_gobbli,conftest,,Long statement,pytest_addoption,19,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/conftest.py,A line with 363 chars in pytest_addoption exceeds the maximum length of 120 characters.
RTIInternational_gobbli,conftest,,Long statement,pytest_addoption,29,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/conftest.py,A line with 166 chars in pytest_addoption exceeds the maximum length of 120 characters.
RTIInternational_gobbli,conftest,,Long statement,pytest_addoption,35,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/conftest.py,A line with 181 chars in pytest_addoption exceeds the maximum length of 120 characters.
RTIInternational_gobbli,conftest,,Long statement,pytest_addoption,41,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/conftest.py,A line with 190 chars in pytest_addoption exceeds the maximum length of 120 characters.
RTIInternational_gobbli,conftest,,Long statement,pytest_addoption,47,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/conftest.py,A line with 175 chars in pytest_addoption exceeds the maximum length of 120 characters.
RTIInternational_gobbli,conftest,,Long statement,tmp_gobbli_dir,69,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/conftest.py,A line with 152 chars in tmp_gobbli_dir exceeds the maximum length of 120 characters.
RTIInternational_gobbli,conftest,,Long statement,gobbli_dir,79,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/conftest.py,A line with 440 chars in gobbli_dir exceeds the maximum length of 120 characters.
RTIInternational_gobbli,setup,,Long statement,,16,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/setup.py,A line with 1229 chars in setup exceeds the maximum length of 120 characters.
RTIInternational_gobbli.benchmark,benchmark_util,,Long parameter list,run_benchmark_experiment,168 - 224,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/benchmark_util.py,"run_benchmark_experiment has 9 parameters, exceeding the max of 5."
RTIInternational_gobbli.benchmark,benchmark_util,,Long statement,maybe_limit,107,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/benchmark_util.py,A line with 206 chars in maybe_limit exceeds the maximum length of 120 characters.
RTIInternational_gobbli.benchmark,benchmark_util,,Long statement,maybe_limit,120,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/benchmark_util.py,A line with 203 chars in maybe_limit exceeds the maximum length of 120 characters.
RTIInternational_gobbli.benchmark,benchmark_util,,Long statement,fasttext_preprocess,129,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/benchmark_util.py,A line with 184 chars in fasttext_preprocess exceeds the maximum length of 120 characters.
RTIInternational_gobbli.benchmark,benchmark_util,,Long statement,bert_preprocess,148,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/benchmark_util.py,A line with 196 chars in bert_preprocess exceeds the maximum length of 120 characters.
RTIInternational_gobbli.benchmark,benchmark_util,,Long statement,run_benchmark_experiment,179,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/benchmark_util.py,A line with 718 chars in run_benchmark_experiment exceeds the maximum length of 120 characters.
RTIInternational_gobbli.benchmark,benchmark_util,,Long statement,run_benchmark_experiment,205,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/benchmark_util.py,A line with 469 chars in run_benchmark_experiment exceeds the maximum length of 120 characters.
RTIInternational_gobbli.benchmark,benchmark_util,,Long statement,,161,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/benchmark_util.py,A line with 179 chars in benchmark_util exceeds the maximum length of 120 characters.
RTIInternational_gobbli.benchmark,benchmark_util,,Magic number,bert_preprocess,158,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/benchmark_util.py,Magic number 512 used in bert_preprocess.
RTIInternational_gobbli.benchmark,run_benchmarks,,Long method,run,101 - 162,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/run_benchmarks.py,Method 'run' is too long (44 lines).
RTIInternational_gobbli.benchmark,run_benchmarks,,Long parameter list,run,101 - 162,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/run_benchmarks.py,"run has 6 parameters, exceeding the max of 5."
RTIInternational_gobbli.benchmark,run_benchmarks,,Long statement,load_specs,48,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/run_benchmarks.py,A line with 181 chars in load_specs exceeds the maximum length of 120 characters.
RTIInternational_gobbli.benchmark,run_benchmarks,,Long statement,run,147,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/run_benchmarks.py,A line with 173 chars in run exceeds the maximum length of 120 characters.
RTIInternational_gobbli.benchmark,run_benchmarks,,Long statement,,34,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/run_benchmarks.py,A line with 432 chars in run_benchmarks exceeds the maximum length of 120 characters.
RTIInternational_gobbli.benchmark,run_benchmarks,,Magic number,run,123,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/run_benchmarks.py,Magic number 50 used in run.
RTIInternational_gobbli.benchmark,scenario,BaseScenario,Complex method,run,171 - 213,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,"Method 'run' has a cyclomatic complexity of 7, exceeding the max of 6."
RTIInternational_gobbli.benchmark,scenario,NewsgroupsClassificationScenario,Long identifier,,364,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,Identifier'NewsgroupsClassificationScenario' exceeds the maximum length of 30 characters.
RTIInternational_gobbli.benchmark,scenario,MovieSummaryClassificationScenario,Long identifier,,394,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,Identifier'MovieSummaryClassificationScenario' exceeds the maximum length of 30 characters.
RTIInternational_gobbli.benchmark,scenario,BaseScenario,Long method,run,171 - 213,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,Method 'run' is too long (42 lines).
RTIInternational_gobbli.benchmark,scenario,DatasetEmbeddingScenario,Long method,_do_run,428 - 492,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,Method '_do_run' is too long (57 lines).
RTIInternational_gobbli.benchmark,scenario,ClassImbalanceScenario,Long method,_do_run,562 - 661,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,Method '_do_run' is too long (86 lines).
RTIInternational_gobbli.benchmark,scenario,LowResourceScenario,Long method,_do_run,682 - 752,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,Method '_do_run' is too long (60 lines).
RTIInternational_gobbli.benchmark,scenario,DataAugmentationScenario,Long method,_do_run,782 - 873,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,Method '_do_run' is too long (76 lines).
RTIInternational_gobbli.benchmark,scenario,DocumentWindowingScenario,Long method,_do_run,899 - 993,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,Method '_do_run' is too long (84 lines).
RTIInternational_gobbli.benchmark,scenario,,Long parameter list,load_scenario,996 - 1020,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,"load_scenario has 6 parameters, exceeding the max of 5."
RTIInternational_gobbli.benchmark,scenario,,Long statement,get_model_run_params,52,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,A line with 333 chars in get_model_run_params exceeds the maximum length of 120 characters.
RTIInternational_gobbli.benchmark,scenario,,Long statement,get_model_run_params,60,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,A line with 128 chars in get_model_run_params exceeds the maximum length of 120 characters.
RTIInternational_gobbli.benchmark,scenario,BaseScenario,Long statement,get_markdown_relative_path,225,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,A line with 223 chars in get_markdown_relative_path exceeds the maximum length of 120 characters.
RTIInternational_gobbli.benchmark,scenario,DatasetClassificationScenario,Long statement,_do_run,314,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,A line with 134 chars in _do_run exceeds the maximum length of 120 characters.
RTIInternational_gobbli.benchmark,scenario,DatasetClassificationScenario,Long statement,_do_run,328,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,A line with 232 chars in _do_run exceeds the maximum length of 120 characters.
RTIInternational_gobbli.benchmark,scenario,DatasetClassificationScenario,Long statement,_do_run,345,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,A line with 137 chars in _do_run exceeds the maximum length of 120 characters.
RTIInternational_gobbli.benchmark,scenario,DatasetEmbeddingScenario,Long statement,_do_run,430,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,A line with 134 chars in _do_run exceeds the maximum length of 120 characters.
RTIInternational_gobbli.benchmark,scenario,DatasetEmbeddingScenario,Long statement,_do_run,472,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,A line with 125 chars in _do_run exceeds the maximum length of 120 characters.
RTIInternational_gobbli.benchmark,scenario,ClassImbalanceScenario,Long statement,_do_run,564,/Volumes/BrokeExt/NICHE/RTIInternational_gobbli/benchmark/scenario.py,A line with 134 chars in _do_run exceeds the maximum length of 120 characters.
