Package,Module,Smell,Class/Module,Line no,File,Details
snorkel-team_snorkel.docs,conf,Multifaceted abstraction,conf,1,/Volumes/BrokeExt/NICHE/snorkel-team_snorkel/docs/conf.py,"Class 'conf' has a high LCOM value of 1, indicating it may have multiple responsibilities."
snorkel-team_snorkel.snorkel,version,Broken modularization,version,1,/Volumes/BrokeExt/NICHE/snorkel-team_snorkel/snorkel/version.py,Module 'version' contains only data members without any method implementations.
snorkel-team_snorkel.snorkel.analysis,metrics,Multifaceted abstraction,metrics,1,/Volumes/BrokeExt/NICHE/snorkel-team_snorkel/snorkel/analysis/metrics.py,"Class 'metrics' has a high LCOM value of 1, indicating it may have multiple responsibilities."
snorkel-team_snorkel.snorkel.augmentation,tf,Broken hierarchy,TransformationFunction,16,/Volumes/BrokeExt/NICHE/snorkel-team_snorkel/snorkel/augmentation/tf.py,Class 'TransformationFunction' and its superclass 'Mapper' may not share a proper 'IS-A' relationship.
snorkel-team_snorkel.snorkel.augmentation,tf,Broken hierarchy,LambdaTransformationFunction,25,/Volumes/BrokeExt/NICHE/snorkel-team_snorkel/snorkel/augmentation/tf.py,Class 'LambdaTransformationFunction' and its superclass 'LambdaMapper' may not share a proper 'IS-A' relationship.
snorkel-team_snorkel.snorkel.augmentation,tf,Broken hierarchy,transformation_function,34,/Volumes/BrokeExt/NICHE/snorkel-team_snorkel/snorkel/augmentation/tf.py,Class 'transformation_function' and its superclass 'lambda_mapper' may not share a proper 'IS-A' relationship.
snorkel-team_snorkel.snorkel.augmentation.apply,pandas,Broken hierarchy,PandasTFApplier,9,/Volumes/BrokeExt/NICHE/snorkel-team_snorkel/snorkel/augmentation/apply/pandas.py,Class 'PandasTFApplier' and its superclass 'BaseTFApplier' may not share a proper 'IS-A' relationship.
snorkel-team_snorkel.snorkel.augmentation.policy,core,Broken hierarchy,ApplyOnePolicy,124,/Volumes/BrokeExt/NICHE/snorkel-team_snorkel/snorkel/augmentation/policy/core.py,Class 'ApplyOnePolicy' and its superclass 'ApplyAllPolicy' may not share a proper 'IS-A' relationship.
snorkel-team_snorkel.snorkel.labeling.apply,dask,Broken hierarchy,DaskLFApplier,15,/Volumes/BrokeExt/NICHE/snorkel-team_snorkel/snorkel/labeling/apply/dask.py,Class 'DaskLFApplier' and its superclass 'BaseLFApplier' may not share a proper 'IS-A' relationship.
snorkel-team_snorkel.snorkel.labeling.apply,pandas,Broken hierarchy,PandasLFApplier,51,/Volumes/BrokeExt/NICHE/snorkel-team_snorkel/snorkel/labeling/apply/pandas.py,Class 'PandasLFApplier' and its superclass 'BaseLFApplier' may not share a proper 'IS-A' relationship.
snorkel-team_snorkel.snorkel.labeling.apply,spark,Broken hierarchy,SparkLFApplier,11,/Volumes/BrokeExt/NICHE/snorkel-team_snorkel/snorkel/labeling/apply/spark.py,Class 'SparkLFApplier' and its superclass 'BaseLFApplier' may not share a proper 'IS-A' relationship.
