Package,Module,Smell,Class/Module,Line no,File,Details
mozilla_DeepSpeech,evaluate_tflite,Multifaceted abstraction,evaluate_tflite,1,/Volumes/BrokeExt/NICHE/mozilla_DeepSpeech/evaluate_tflite.py,"Class 'evaluate_tflite' has a high LCOM value of 1, indicating it may have multiple responsibilities."
mozilla_DeepSpeech.bin,import_swc,Broken modularization,Sample,76,/Volumes/BrokeExt/NICHE/mozilla_DeepSpeech/bin/import_swc.py,Class 'Sample' contains only data members without any method implementations.
mozilla_DeepSpeech.bin,import_swc,Insufficient modularization,import_swc,1,/Volumes/BrokeExt/NICHE/mozilla_DeepSpeech/bin/import_swc.py,"Module 'import_swc' is insufficiently modularized with NOPM: 20, WMC: 104, NOM: 20."
mozilla_DeepSpeech.native_client.ctcdecode,__init__,Multifaceted abstraction,Alphabet,41,/Volumes/BrokeExt/NICHE/mozilla_DeepSpeech/native_client/ctcdecode/__init__.py,"Class 'Alphabet' has a high LCOM value of 1, indicating it may have multiple responsibilities."
mozilla_DeepSpeech.native_client.ctcdecode,__init__,Multifaceted abstraction,UTF8Alphabet,91,/Volumes/BrokeExt/NICHE/mozilla_DeepSpeech/native_client/ctcdecode/__init__.py,"Class 'UTF8Alphabet' has a high LCOM value of 1, indicating it may have multiple responsibilities."
mozilla_DeepSpeech.native_client.python,__init__,Multifaceted abstraction,TokenMetadata,304,/Volumes/BrokeExt/NICHE/mozilla_DeepSpeech/native_client/python/__init__.py,"Class 'TokenMetadata' has a high LCOM value of 1, indicating it may have multiple responsibilities."
mozilla_DeepSpeech.tests,test_importers,Multifaceted abstraction,TestGetValidateLabel,16,/Volumes/BrokeExt/NICHE/mozilla_DeepSpeech/tests/test_importers.py,"Class 'TestGetValidateLabel' has a high LCOM value of 1, indicating it may have multiple responsibilities."
mozilla_DeepSpeech.training.deepspeech_training,train,Insufficient modularization,train,1,/Volumes/BrokeExt/NICHE/mozilla_DeepSpeech/training/deepspeech_training/train.py,"Module 'train' is insufficiently modularized with NOPM: 23, WMC: 106, NOM: 23."
mozilla_DeepSpeech.training.deepspeech_training.util,audio,Insufficient modularization,audio,1,/Volumes/BrokeExt/NICHE/mozilla_DeepSpeech/training/deepspeech_training/util/audio.py,"Module 'audio' is insufficiently modularized with NOPM: 37, WMC: 93, NOM: 38."
mozilla_DeepSpeech.training.deepspeech_training.util,augmentations,Multifaceted abstraction,SampleAugmentation,23,/Volumes/BrokeExt/NICHE/mozilla_DeepSpeech/training/deepspeech_training/util/augmentations.py,"Class 'SampleAugmentation' has a high LCOM value of 1, indicating it may have multiple responsibilities."
mozilla_DeepSpeech.training.deepspeech_training.util,augmentations,Wide hierarchy,SampleAugmentation,0,/Volumes/BrokeExt/NICHE/mozilla_DeepSpeech/training/deepspeech_training/util/augmentations.py,Class 'SampleAugmentation' has a wide hierarchy with 6 direct subclasses.
mozilla_DeepSpeech.training.deepspeech_training.util,augmentations,Wide hierarchy,GraphAugmentation,0,/Volumes/BrokeExt/NICHE/mozilla_DeepSpeech/training/deepspeech_training/util/augmentations.py,Class 'GraphAugmentation' has a wide hierarchy with 8 direct subclasses.
