Package,Module,Smell,Class/Module,Line no,File,Details
materialsvirtuallab_megnet.megnet,activations,Multifaceted abstraction,activations,1,/Volumes/BrokeExt/NICHE/materialsvirtuallab_megnet/megnet/activations.py,"Class 'activations' has a high LCOM value of 1, indicating it may have multiple responsibilities."
materialsvirtuallab_megnet.megnet.data,crystal,Broken hierarchy,CrystalGraph,34,/Volumes/BrokeExt/NICHE/materialsvirtuallab_megnet/megnet/data/crystal.py,Class 'CrystalGraph' and its superclass 'StructureGraphFixedRadius' may not share a proper 'IS-A' relationship.
materialsvirtuallab_megnet.megnet.data,crystal,Broken hierarchy,CrystalGraphDisordered,134,/Volumes/BrokeExt/NICHE/materialsvirtuallab_megnet/megnet/data/crystal.py,Class 'CrystalGraphDisordered' and its superclass 'StructureGraphFixedRadius' may not share a proper 'IS-A' relationship.
materialsvirtuallab_megnet.megnet.data.tests,test_crystal,Multifaceted abstraction,TestGraph,19,/Volumes/BrokeExt/NICHE/materialsvirtuallab_megnet/megnet/data/tests/test_crystal.py,"Class 'TestGraph' has a high LCOM value of 1, indicating it may have multiple responsibilities."
materialsvirtuallab_megnet.megnet.data.tests,test_graph,Multifaceted abstraction,TestGraph,13,/Volumes/BrokeExt/NICHE/materialsvirtuallab_megnet/megnet/data/tests/test_graph.py,"Class 'TestGraph' has a high LCOM value of 1, indicating it may have multiple responsibilities."
materialsvirtuallab_megnet.megnet.data.tests,test_local_env,Multifaceted abstraction,TestLocalEnv,37,/Volumes/BrokeExt/NICHE/materialsvirtuallab_megnet/megnet/data/tests/test_local_env.py,"Class 'TestLocalEnv' has a high LCOM value of 1, indicating it may have multiple responsibilities."
materialsvirtuallab_megnet.megnet.models,megnet,Multifaceted abstraction,MEGNetModel,24,/Volumes/BrokeExt/NICHE/materialsvirtuallab_megnet/megnet/models/megnet.py,"Class 'MEGNetModel' has a high LCOM value of 1, indicating it may have multiple responsibilities."
materialsvirtuallab_megnet.megnet.tests,test_config,Multifaceted abstraction,TestDataType,12,/Volumes/BrokeExt/NICHE/materialsvirtuallab_megnet/megnet/tests/test_config.py,"Class 'TestDataType' has a high LCOM value of 1, indicating it may have multiple responsibilities."
materialsvirtuallab_megnet.megnet.utils,preprocessing,Multifaceted abstraction,DummyScaler,135,/Volumes/BrokeExt/NICHE/materialsvirtuallab_megnet/megnet/utils/preprocessing.py,"Class 'DummyScaler' has a high LCOM value of 1, indicating it may have multiple responsibilities."
materialsvirtuallab_megnet.megnet.utils.tests,test_general,Multifaceted abstraction,TestGeneralUtils,14,/Volumes/BrokeExt/NICHE/materialsvirtuallab_megnet/megnet/utils/tests/test_general.py,"Class 'TestGeneralUtils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
materialsvirtuallab_megnet.megnet.utils.tests,test_layer,Multifaceted abstraction,TestCase,8,/Volumes/BrokeExt/NICHE/materialsvirtuallab_megnet/megnet/utils/tests/test_layer.py,"Class 'TestCase' has a high LCOM value of 1, indicating it may have multiple responsibilities."
materialsvirtuallab_megnet.megnet.utils.tests,test_metrics,Multifaceted abstraction,TestCase,8,/Volumes/BrokeExt/NICHE/materialsvirtuallab_megnet/megnet/utils/tests/test_metrics.py,"Class 'TestCase' has a high LCOM value of 1, indicating it may have multiple responsibilities."
materialsvirtuallab_megnet.megnet.utils.tests,test_molecule_util,Multifaceted abstraction,TestMolecule,12,/Volumes/BrokeExt/NICHE/materialsvirtuallab_megnet/megnet/utils/tests/test_molecule_util.py,"Class 'TestMolecule' has a high LCOM value of 1, indicating it may have multiple responsibilities."
materialsvirtuallab_megnet.megnet.utils.tests,test_preprocessing,Multifaceted abstraction,TestPreprocessing,6,/Volumes/BrokeExt/NICHE/materialsvirtuallab_megnet/megnet/utils/tests/test_preprocessing.py,"Class 'TestPreprocessing' has a high LCOM value of 1, indicating it may have multiple responsibilities."
