Package,Module,Smell,Class/Module,Line no,File,Details
eladhoffer_convNet.pytorch,trainer,Multifaceted abstraction,trainer,1,/Volumes/BrokeExt/NICHE/eladhoffer_convNet.pytorch/trainer.py,"Class 'trainer' has a high LCOM value of 1, indicating it may have multiple responsibilities."
eladhoffer_convNet.pytorch.models,densenet,Multifaceted abstraction,DenseNet_cifar,172,/Volumes/BrokeExt/NICHE/eladhoffer_convNet.pytorch/models/densenet.py,"Class 'DenseNet_cifar' has a high LCOM value of 1, indicating it may have multiple responsibilities."
eladhoffer_convNet.pytorch.models,densenet,Multifaceted abstraction,densenet,1,/Volumes/BrokeExt/NICHE/eladhoffer_convNet.pytorch/models/densenet.py,"Class 'densenet' has a high LCOM value of 1, indicating it may have multiple responsibilities."
eladhoffer_convNet.pytorch.models,efficientnet,Multifaceted abstraction,efficientnet,1,/Volumes/BrokeExt/NICHE/eladhoffer_convNet.pytorch/models/efficientnet.py,"Class 'efficientnet' has a high LCOM value of 1, indicating it may have multiple responsibilities."
eladhoffer_convNet.pytorch.models,mobilenet,Multifaceted abstraction,mobilenet,1,/Volumes/BrokeExt/NICHE/eladhoffer_convNet.pytorch/models/mobilenet.py,"Class 'mobilenet' has a high LCOM value of 1, indicating it may have multiple responsibilities."
eladhoffer_convNet.pytorch.models,mobilenet_v2,Multifaceted abstraction,mobilenet_v2,1,/Volumes/BrokeExt/NICHE/eladhoffer_convNet.pytorch/models/mobilenet_v2.py,"Class 'mobilenet_v2' has a high LCOM value of 1, indicating it may have multiple responsibilities."
eladhoffer_convNet.pytorch.models,resnet,Broken modularization,ResNet_imagenet,216,/Volumes/BrokeExt/NICHE/eladhoffer_convNet.pytorch/models/resnet.py,Class 'ResNet_imagenet' contains only data members without any method implementations.
eladhoffer_convNet.pytorch.models,resnet,Broken modularization,ResNet_cifar,320,/Volumes/BrokeExt/NICHE/eladhoffer_convNet.pytorch/models/resnet.py,Class 'ResNet_cifar' contains only data members without any method implementations.
eladhoffer_convNet.pytorch.models,resnet_zi,Broken modularization,ResNetZI_imagenet,160,/Volumes/BrokeExt/NICHE/eladhoffer_convNet.pytorch/models/resnet_zi.py,Class 'ResNetZI_imagenet' contains only data members without any method implementations.
eladhoffer_convNet.pytorch.models,resnet_zi,Broken modularization,ResNetZI_cifar,250,/Volumes/BrokeExt/NICHE/eladhoffer_convNet.pytorch/models/resnet_zi.py,Class 'ResNetZI_cifar' contains only data members without any method implementations.
eladhoffer_convNet.pytorch.models.modules,bwn,Multifaceted abstraction,bwn,1,/Volumes/BrokeExt/NICHE/eladhoffer_convNet.pytorch/models/modules/bwn.py,"Class 'bwn' has a high LCOM value of 1, indicating it may have multiple responsibilities."
eladhoffer_convNet.pytorch.models.modules,lp_norm,Multifaceted abstraction,lp_norm,1,/Volumes/BrokeExt/NICHE/eladhoffer_convNet.pytorch/models/modules/lp_norm.py,"Class 'lp_norm' has a high LCOM value of 1, indicating it may have multiple responsibilities."
