Package,Module,Smell,Class/Module,Line no,File,Details
podgorskiy_ALAE,dataloader,Multifaceted abstraction,dataloader,1,/Volumes/BrokeExt/NICHE/podgorskiy_ALAE/dataloader.py,"Class 'dataloader' has a high LCOM value of 1, indicating it may have multiple responsibilities."
podgorskiy_ALAE,losses,Multifaceted abstraction,losses,1,/Volumes/BrokeExt/NICHE/podgorskiy_ALAE/losses.py,"Class 'losses' has a high LCOM value of 1, indicating it may have multiple responsibilities."
podgorskiy_ALAE,net,Insufficient modularization,net,1,/Volumes/BrokeExt/NICHE/podgorskiy_ALAE/net.py,"Module 'net' is insufficiently modularized with NOPM: 5, WMC: 116, NOM: 5."
podgorskiy_ALAE,net,Multifaceted abstraction,net,1,/Volumes/BrokeExt/NICHE/podgorskiy_ALAE/net.py,"Class 'net' has a high LCOM value of 1, indicating it may have multiple responsibilities."
podgorskiy_ALAE,registry,Broken modularization,registry,1,/Volumes/BrokeExt/NICHE/podgorskiy_ALAE/registry.py,Module 'registry' contains only data members without any method implementations.
podgorskiy_ALAE.make_figures,make_recon_figure_celeba_pioneer,Multifaceted abstraction,make_recon_figure_celeba_pioneer,1,/Volumes/BrokeExt/NICHE/podgorskiy_ALAE/make_figures/make_recon_figure_celeba_pioneer.py,"Class 'make_recon_figure_celeba_pioneer' has a high LCOM value of 1, indicating it may have multiple responsibilities."
podgorskiy_ALAE.make_figures,make_recon_figure_ffhq_real,Multifaceted abstraction,make_recon_figure_ffhq_real,1,/Volumes/BrokeExt/NICHE/podgorskiy_ALAE/make_figures/make_recon_figure_ffhq_real.py,"Class 'make_recon_figure_ffhq_real' has a high LCOM value of 1, indicating it may have multiple responsibilities."
podgorskiy_ALAE.make_figures,make_recon_figure_interpolation,Multifaceted abstraction,make_recon_figure_interpolation,1,/Volumes/BrokeExt/NICHE/podgorskiy_ALAE/make_figures/make_recon_figure_interpolation.py,"Class 'make_recon_figure_interpolation' has a high LCOM value of 1, indicating it may have multiple responsibilities."
podgorskiy_ALAE.make_figures,make_recon_figure_paged,Multifaceted abstraction,make_recon_figure_paged,1,/Volumes/BrokeExt/NICHE/podgorskiy_ALAE/make_figures/make_recon_figure_paged.py,"Class 'make_recon_figure_paged' has a high LCOM value of 1, indicating it may have multiple responsibilities."
podgorskiy_ALAE.make_figures.old,make_recon_figure_bed,Multifaceted abstraction,make_recon_figure_bed,1,/Volumes/BrokeExt/NICHE/podgorskiy_ALAE/make_figures/old/make_recon_figure_bed.py,"Class 'make_recon_figure_bed' has a high LCOM value of 1, indicating it may have multiple responsibilities."
podgorskiy_ALAE.make_figures.old,make_recon_figure_celeba,Multifaceted abstraction,make_recon_figure_celeba,1,/Volumes/BrokeExt/NICHE/podgorskiy_ALAE/make_figures/old/make_recon_figure_celeba.py,"Class 'make_recon_figure_celeba' has a high LCOM value of 1, indicating it may have multiple responsibilities."
