Package,Module,Class,Smell,Function/Method,Line no,File,Details
Belval_TextRecognitionDataGenerator,setup,,Long statement,,13,/Volumes/BrokeExt/NICHE/Belval_TextRecognitionDataGenerator/setup.py,A line with 1097 chars in setup exceeds the maximum length of 120 characters.
Belval_TextRecognitionDataGenerator,tests,DataGenerator,Empty catch block,test_raise_if_handwritten_and_vertical,522,/Volumes/BrokeExt/NICHE/Belval_TextRecognitionDataGenerator/tests.py,Empty catch block found in test_raise_if_handwritten_and_vertical.
Belval_TextRecognitionDataGenerator,tests,DataGenerator,Empty catch block,test_generate_text_with_unknown_orientation,679,/Volumes/BrokeExt/NICHE/Belval_TextRecognitionDataGenerator/tests.py,Empty catch block found in test_generate_text_with_unknown_orientation.
Belval_TextRecognitionDataGenerator,tests,DataGenerator,Empty catch block,test_raise_if_invalid_orientation,991,/Volumes/BrokeExt/NICHE/Belval_TextRecognitionDataGenerator/tests.py,Empty catch block found in test_raise_if_invalid_orientation.
Belval_TextRecognitionDataGenerator,tests,Generators,Long identifier,test_generator_from_random_stops,76,/Volumes/BrokeExt/NICHE/Belval_TextRecognitionDataGenerator/tests.py,Identifier'test_generator_from_random_stops' exceeds the maximum length of 30 characters.
Belval_TextRecognitionDataGenerator,tests,Generators,Long identifier,test_generator_from_strings_stops,81,/Volumes/BrokeExt/NICHE/Belval_TextRecognitionDataGenerator/tests.py,Identifier'test_generator_from_strings_stops' exceeds the maximum length of 30 characters.
Belval_TextRecognitionDataGenerator,tests,Generators,Long identifier,test_generator_from_wikipedia_stops,86,/Volumes/BrokeExt/NICHE/Belval_TextRecognitionDataGenerator/tests.py,Identifier'test_generator_from_wikipedia_stops' exceeds the maximum length of 30 characters.
Belval_TextRecognitionDataGenerator,tests,DataGenerator,Long identifier,test_create_string_from_wikipedia,93,/Volumes/BrokeExt/NICHE/Belval_TextRecognitionDataGenerator/tests.py,Identifier'test_create_string_from_wikipedia' exceeds the maximum length of 30 characters.
Belval_TextRecognitionDataGenerator,tests,DataGenerator,Long identifier,test_generate_data_with_extension,163,/Volumes/BrokeExt/NICHE/Belval_TextRecognitionDataGenerator/tests.py,Identifier'test_generate_data_with_extension' exceeds the maximum length of 30 characters.
Belval_TextRecognitionDataGenerator,tests,DataGenerator,Long identifier,test_generate_data_with_skew_angle,204,/Volumes/BrokeExt/NICHE/Belval_TextRecognitionDataGenerator/tests.py,Identifier'test_generate_data_with_skew_angle' exceeds the maximum length of 30 characters.
Belval_TextRecognitionDataGenerator,tests,DataGenerator,Long identifier,test_generate_data_with_sine_distorsion,286,/Volumes/BrokeExt/NICHE/Belval_TextRecognitionDataGenerator/tests.py,Identifier'test_generate_data_with_sine_distorsion' exceeds the maximum length of 30 characters.
Belval_TextRecognitionDataGenerator,tests,DataGenerator,Long identifier,test_generate_data_with_cosine_distorsion,327,/Volumes/BrokeExt/NICHE/Belval_TextRecognitionDataGenerator/tests.py,Identifier'test_generate_data_with_cosine_distorsion' exceeds the maximum length of 30 characters.
Belval_TextRecognitionDataGenerator,tests,DataGenerator,Long identifier,test_generate_data_with_left_alignment,368,/Volumes/BrokeExt/NICHE/Belval_TextRecognitionDataGenerator/tests.py,Identifier'test_generate_data_with_left_alignment' exceeds the maximum length of 30 characters.
Belval_TextRecognitionDataGenerator,tests,DataGenerator,Long identifier,test_generate_data_with_center_alignment,409,/Volumes/BrokeExt/NICHE/Belval_TextRecognitionDataGenerator/tests.py,Identifier'test_generate_data_with_center_alignment' exceeds the maximum length of 30 characters.
Belval_TextRecognitionDataGenerator,tests,DataGenerator,Long identifier,test_generate_data_with_right_alignment,450,/Volumes/BrokeExt/NICHE/Belval_TextRecognitionDataGenerator/tests.py,Identifier'test_generate_data_with_right_alignment' exceeds the maximum length of 30 characters.
Belval_TextRecognitionDataGenerator,tests,DataGenerator,Long identifier,test_raise_if_handwritten_and_vertical,491,/Volumes/BrokeExt/NICHE/Belval_TextRecognitionDataGenerator/tests.py,Identifier'test_raise_if_handwritten_and_vertical' exceeds the maximum length of 30 characters.
Belval_TextRecognitionDataGenerator,tests,DataGenerator,Long identifier,test_generate_horizontal_text_with_variable_space,566,/Volumes/BrokeExt/NICHE/Belval_TextRecognitionDataGenerator/tests.py,Identifier'test_generate_horizontal_text_with_variable_space' exceeds the maximum length of 30 characters.
Belval_TextRecognitionDataGenerator,tests,DataGenerator,Long identifier,test_generate_vertical_text_with_variable_space,607,/Volumes/BrokeExt/NICHE/Belval_TextRecognitionDataGenerator/tests.py,Identifier'test_generate_vertical_text_with_variable_space' exceeds the maximum length of 30 characters.
Belval_TextRecognitionDataGenerator,tests,DataGenerator,Long identifier,test_generate_text_with_unknown_orientation,648,/Volumes/BrokeExt/NICHE/Belval_TextRecognitionDataGenerator/tests.py,Identifier'test_generate_text_with_unknown_orientation' exceeds the maximum length of 30 characters.
Belval_TextRecognitionDataGenerator,tests,DataGenerator,Long identifier,test_generate_data_with_word_split,723,/Volumes/BrokeExt/NICHE/Belval_TextRecognitionDataGenerator/tests.py,Identifier'test_generate_data_with_word_split' exceeds the maximum length of 30 characters.
Belval_TextRecognitionDataGenerator,tests,DataGenerator,Long identifier,test_generate_data_with_first_name_format,764,/Volumes/BrokeExt/NICHE/Belval_TextRecognitionDataGenerator/tests.py,Identifier'test_generate_data_with_first_name_format' exceeds the maximum length of 30 characters.
Belval_TextRecognitionDataGenerator,tests,DataGenerator,Long identifier,test_generate_data_with_second_name_format,805,/Volumes/BrokeExt/NICHE/Belval_TextRecognitionDataGenerator/tests.py,Identifier'test_generate_data_with_second_name_format' exceeds the maximum length of 30 characters.
Belval_TextRecognitionDataGenerator,tests,DataGenerator,Long identifier,test_generate_data_with_third_name_format,846,/Volumes/BrokeExt/NICHE/Belval_TextRecognitionDataGenerator/tests.py,Identifier'test_generate_data_with_third_name_format' exceeds the maximum length of 30 characters.
