Package,Module,Smell,Class/Module,Line no,File,Details
google-research_meta-dataset,setup,Multifaceted abstraction,DownloadSimCLRAugmentationCommand,15,/Volumes/BrokeExt/NICHE/google-research_meta-dataset/setup.py,"Class 'DownloadSimCLRAugmentationCommand' has a high LCOM value of 1, indicating it may have multiple responsibilities."
google-research_meta-dataset.meta_dataset,trainer,Insufficient modularization,Trainer,224,/Volumes/BrokeExt/NICHE/google-research_meta-dataset/meta_dataset/trainer.py,"Class 'Trainer' is insufficiently modularized with NOPM: 16, WMC: 149, NOM: 26."
google-research_meta-dataset.meta_dataset,trainer,Insufficient modularization,trainer,1,/Volumes/BrokeExt/NICHE/google-research_meta-dataset/meta_dataset/trainer.py,"Module 'trainer' is insufficiently modularized with NOPM: 5, WMC: 162, NOM: 5."
google-research_meta-dataset.meta_dataset,trainer,Multifaceted abstraction,trainer,1,/Volumes/BrokeExt/NICHE/google-research_meta-dataset/meta_dataset/trainer.py,"Class 'trainer' has a high LCOM value of 1, indicating it may have multiple responsibilities."
google-research_meta-dataset.meta_dataset,trainer_flute,Insufficient modularization,Trainer,201,/Volumes/BrokeExt/NICHE/google-research_meta-dataset/meta_dataset/trainer_flute.py,"Class 'Trainer' is insufficiently modularized with NOPM: 16, WMC: 186, NOM: 26."
google-research_meta-dataset.meta_dataset,trainer_flute,Insufficient modularization,trainer_flute,1,/Volumes/BrokeExt/NICHE/google-research_meta-dataset/meta_dataset/trainer_flute.py,"Module 'trainer_flute' is insufficiently modularized with NOPM: 5, WMC: 197, NOM: 5."
google-research_meta-dataset.meta_dataset,trainer_flute,Multifaceted abstraction,trainer_flute,1,/Volumes/BrokeExt/NICHE/google-research_meta-dataset/meta_dataset/trainer_flute.py,"Class 'trainer_flute' has a high LCOM value of 1, indicating it may have multiple responsibilities."
google-research_meta-dataset.meta_dataset.data,config,Broken modularization,DataConfig,30,/Volumes/BrokeExt/NICHE/google-research_meta-dataset/meta_dataset/data/config.py,Class 'DataConfig' contains only data members without any method implementations.
google-research_meta-dataset.meta_dataset.data,dataset_spec,Multifaceted abstraction,DatasetSpecification,240,/Volumes/BrokeExt/NICHE/google-research_meta-dataset/meta_dataset/data/dataset_spec.py,"Class 'DatasetSpecification' has a high LCOM value of 1, indicating it may have multiple responsibilities."
google-research_meta-dataset.meta_dataset.data,dataset_spec,Multifaceted abstraction,dataset_spec,1,/Volumes/BrokeExt/NICHE/google-research_meta-dataset/meta_dataset/data/dataset_spec.py,"Class 'dataset_spec' has a high LCOM value of 1, indicating it may have multiple responsibilities."
