Package,Module,Smell,Class/Module,Line no,File,Details
evilsocket_pwnagotchi.pwnagotchi,agent,Insufficient modularization,Agent,22,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/agent.py,"Class 'Agent' is insufficiently modularized with NOPM: 21, WMC: 106, NOM: 38."
evilsocket_pwnagotchi.pwnagotchi,agent,Insufficient modularization,agent,1,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/agent.py,"Module 'agent' is insufficiently modularized with NOPM: 0, WMC: 106, NOM: 0."
evilsocket_pwnagotchi.pwnagotchi,utils,Broken modularization,WifiInfo,332,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/utils.py,Class 'WifiInfo' contains only data members without any method implementations.
evilsocket_pwnagotchi.pwnagotchi,utils,Insufficient modularization,utils,1,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/utils.py,"Module 'utils' is insufficiently modularized with NOPM: 15, WMC: 117, NOM: 15."
evilsocket_pwnagotchi.pwnagotchi,utils,Multifaceted abstraction,DottedTomlEncoder,20,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/utils.py,"Class 'DottedTomlEncoder' has a high LCOM value of 1, indicating it may have multiple responsibilities."
evilsocket_pwnagotchi.pwnagotchi,voice,Insufficient modularization,Voice,6,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/voice.py,"Class 'Voice' is insufficiently modularized with NOPM: 32, WMC: 38, NOM: 33."
evilsocket_pwnagotchi.pwnagotchi.plugins.default,example,Insufficient modularization,Example,9,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/plugins/default/example.py,"Class 'Example' is insufficiently modularized with NOPM: 32, WMC: 33, NOM: 33."
evilsocket_pwnagotchi.pwnagotchi.plugins.default,example,Multifaceted abstraction,Example,9,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/plugins/default/example.py,"Class 'Example' has a high LCOM value of 1, indicating it may have multiple responsibilities."
evilsocket_pwnagotchi.pwnagotchi.plugins.default,led,Insufficient modularization,Led,9,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/plugins/default/led.py,"Class 'Led' is insufficiently modularized with NOPM: 23, WMC: 34, NOM: 28."
evilsocket_pwnagotchi.pwnagotchi.ui,components,Wide hierarchy,Widget,0,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/ui/components.py,Class 'Widget' has a wide hierarchy with 6 direct subclasses.
evilsocket_pwnagotchi.pwnagotchi.ui,display,Insufficient modularization,Display,10,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/ui/display.py,"Class 'Display' is insufficiently modularized with NOPM: 22, WMC: 33, NOM: 25."
evilsocket_pwnagotchi.pwnagotchi.ui,view,Insufficient modularization,View,24,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/ui/view.py,"Class 'View' is insufficiently modularized with NOPM: 40, WMC: 69, NOM: 42."
evilsocket_pwnagotchi.pwnagotchi.ui.hw,base,Multifaceted abstraction,DisplayImpl,4,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/ui/hw/base.py,"Class 'DisplayImpl' has a high LCOM value of 1, indicating it may have multiple responsibilities."
evilsocket_pwnagotchi.pwnagotchi.ui.hw,base,Wide hierarchy,DisplayImpl,0,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/ui/hw/base.py,Class 'DisplayImpl' has a wide hierarchy with 18 direct subclasses.
evilsocket_pwnagotchi.pwnagotchi.ui.hw.libs.dfrobot.v1,dfrobot,Broken modularization,dfrobot,1,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/ui/hw/libs/dfrobot/v1/dfrobot.py,Module 'dfrobot' contains only data members without any method implementations.
evilsocket_pwnagotchi.pwnagotchi.ui.hw.libs.dfrobot.v2,dfrobot,Broken modularization,dfrobot,1,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/ui/hw/libs/dfrobot/v2/dfrobot.py,Module 'dfrobot' contains only data members without any method implementations.
evilsocket_pwnagotchi.pwnagotchi.ui.hw.libs.dfrobot.v2.dfrobot_display,dfrobot_display,Insufficient modularization,DFRobot_Display,17,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/ui/hw/libs/dfrobot/v2/dfrobot_display/dfrobot_display.py,"Class 'DFRobot_Display' is insufficiently modularized with NOPM: 33, WMC: 139, NOM: 39."
evilsocket_pwnagotchi.pwnagotchi.ui.hw.libs.dfrobot.v2.dfrobot_display,dfrobot_display,Insufficient modularization,dfrobot_display,1,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/ui/hw/libs/dfrobot/v2/dfrobot_display/dfrobot_display.py,"Module 'dfrobot_display' is insufficiently modularized with NOPM: 3, WMC: 142, NOM: 3."
evilsocket_pwnagotchi.pwnagotchi.ui.hw.libs.dfrobot.v2.dfrobot_display,dfrobot_display,Multifaceted abstraction,dfrobot_display,1,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/ui/hw/libs/dfrobot/v2/dfrobot_display/dfrobot_display.py,"Class 'dfrobot_display' has a high LCOM value of 1, indicating it may have multiple responsibilities."
evilsocket_pwnagotchi.pwnagotchi.ui.hw.libs.inkyphat,inkyphatfast,Broken modularization,InkyPHATFast,5,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/ui/hw/libs/inkyphat/inkyphatfast.py,Class 'InkyPHATFast' contains only data members without any method implementations.
evilsocket_pwnagotchi.pwnagotchi.ui.hw.libs.waveshare.lcdhat,config,Broken modularization,config,1,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/ui/hw/libs/waveshare/lcdhat/config.py,Module 'config' contains only data members without any method implementations.
evilsocket_pwnagotchi.pwnagotchi.ui.hw.libs.waveshare.lcdhat144,config,Multifaceted abstraction,config,1,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/ui/hw/libs/waveshare/lcdhat144/config.py,"Class 'config' has a high LCOM value of 1, indicating it may have multiple responsibilities."
evilsocket_pwnagotchi.pwnagotchi.ui.hw.libs.waveshare.oledhat,config,Multifaceted abstraction,config,1,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/ui/hw/libs/waveshare/oledhat/config.py,"Class 'config' has a high LCOM value of 1, indicating it may have multiple responsibilities."
evilsocket_pwnagotchi.pwnagotchi.ui.hw.libs.waveshare.oledhat,epd,Multifaceted abstraction,EPD,10,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/ui/hw/libs/waveshare/oledhat/epd.py,"Class 'EPD' has a high LCOM value of 1, indicating it may have multiple responsibilities."
evilsocket_pwnagotchi.pwnagotchi.ui.hw.libs.waveshare.v2,waveshare,Multifaceted abstraction,waveshare,1,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/ui/hw/libs/waveshare/v2/waveshare.py,"Class 'waveshare' has a high LCOM value of 1, indicating it may have multiple responsibilities."
evilsocket_pwnagotchi.pwnagotchi.ui.hw.libs.waveshare.v27inch,epd2in7,Broken modularization,epd2in7,1,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/pwnagotchi/ui/hw/libs/waveshare/v27inch/epd2in7.py,Module 'epd2in7' contains only data members without any method implementations.
evilsocket_pwnagotchi.scripts,preview,Multifaceted abstraction,DummyPeer,37,/Volumes/BrokeExt/NICHE/evilsocket_pwnagotchi/scripts/preview.py,"Class 'DummyPeer' has a high LCOM value of 1, indicating it may have multiple responsibilities."
