Package,Module,Smell,Class/Module,Line no,File,Details
norse_norse.norse.torch.functional,encode,Multifaceted abstraction,encode,1,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/encode.py,"Class 'encode' has a high LCOM value of 1, indicating it may have multiple responsibilities."
norse_norse.norse.torch.functional,izhikevich,Multifaceted abstraction,izhikevich,1,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/izhikevich.py,"Class 'izhikevich' has a high LCOM value of 1, indicating it may have multiple responsibilities."
norse_norse.norse.torch.functional,lif_adex,Multifaceted abstraction,lif_adex,1,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/lif_adex.py,"Class 'lif_adex' has a high LCOM value of 1, indicating it may have multiple responsibilities."
norse_norse.norse.torch.functional,lif_ex,Multifaceted abstraction,lif_ex,1,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/lif_ex.py,"Class 'lif_ex' has a high LCOM value of 1, indicating it may have multiple responsibilities."
norse_norse.norse.torch.functional,logical,Multifaceted abstraction,logical,1,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/logical.py,"Class 'logical' has a high LCOM value of 1, indicating it may have multiple responsibilities."
norse_norse.norse.torch.functional,lsnn,Multifaceted abstraction,lsnn,1,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/lsnn.py,"Class 'lsnn' has a high LCOM value of 1, indicating it may have multiple responsibilities."
norse_norse.norse.torch.functional,regularization,Multifaceted abstraction,regularization,1,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/regularization.py,"Class 'regularization' has a high LCOM value of 1, indicating it may have multiple responsibilities."
norse_norse.norse.torch.functional,stdp,Broken modularization,STDPParameters,45,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/stdp.py,Class 'STDPParameters' contains only data members without any method implementations.
norse_norse.norse.torch.functional,superspike,Multifaceted abstraction,SuperSpike,5,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/superspike.py,"Class 'SuperSpike' has a high LCOM value of 1, indicating it may have multiple responsibilities."
norse_norse.norse.torch.functional.adjoint,lif_adjoint,Multifaceted abstraction,lif_adjoint,1,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/adjoint/lif_adjoint.py,"Class 'lif_adjoint' has a high LCOM value of 1, indicating it may have multiple responsibilities."
norse_norse.norse.torch.functional.adjoint,lif_refrac_adjoint,Multifaceted abstraction,lif_refrac_adjoint,1,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/adjoint/lif_refrac_adjoint.py,"Class 'lif_refrac_adjoint' has a high LCOM value of 1, indicating it may have multiple responsibilities."
norse_norse.norse.torch.functional.adjoint.test,test_lif_refrac_adjoint,Multifaceted abstraction,test_lif_refrac_adjoint,1,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/adjoint/test/test_lif_refrac_adjoint.py,"Class 'test_lif_refrac_adjoint' has a high LCOM value of 1, indicating it may have multiple responsibilities."
norse_norse.norse.torch.functional.test,test_encode,Multifaceted abstraction,test_encode,1,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/test/test_encode.py,"Class 'test_encode' has a high LCOM value of 1, indicating it may have multiple responsibilities."
norse_norse.norse.torch.functional.test,test_iaf,Multifaceted abstraction,test_iaf,1,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/test/test_iaf.py,"Class 'test_iaf' has a high LCOM value of 1, indicating it may have multiple responsibilities."
norse_norse.norse.torch.functional.test,test_izhikevich,Insufficient modularization,test_izhikevich,1,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/test/test_izhikevich.py,"Module 'test_izhikevich' is insufficiently modularized with NOPM: 21, WMC: 83, NOM: 21."
norse_norse.norse.torch.functional.test,test_izhikevich,Multifaceted abstraction,test_izhikevich,1,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/test/test_izhikevich.py,"Class 'test_izhikevich' has a high LCOM value of 1, indicating it may have multiple responsibilities."
norse_norse.norse.torch.functional.test,test_lif,Multifaceted abstraction,test_lif,1,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/test/test_lif.py,"Class 'test_lif' has a high LCOM value of 1, indicating it may have multiple responsibilities."
norse_norse.norse.torch.functional.test,test_lif_adex,Multifaceted abstraction,test_lif_adex,1,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/test/test_lif_adex.py,"Class 'test_lif_adex' has a high LCOM value of 1, indicating it may have multiple responsibilities."
norse_norse.norse.torch.functional.test,test_lif_ex,Multifaceted abstraction,test_lif_ex,1,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/test/test_lif_ex.py,"Class 'test_lif_ex' has a high LCOM value of 1, indicating it may have multiple responsibilities."
norse_norse.norse.torch.functional.test,test_lift,Multifaceted abstraction,test_lift,1,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/test/test_lift.py,"Class 'test_lift' has a high LCOM value of 1, indicating it may have multiple responsibilities."
norse_norse.norse.torch.functional.test,test_logical,Multifaceted abstraction,test_logical,1,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/test/test_logical.py,"Class 'test_logical' has a high LCOM value of 1, indicating it may have multiple responsibilities."
norse_norse.norse.torch.functional.test,test_lsnn,Multifaceted abstraction,test_lsnn,1,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/test/test_lsnn.py,"Class 'test_lsnn' has a high LCOM value of 1, indicating it may have multiple responsibilities."
norse_norse.norse.torch.functional.test,test_receptive_field,Multifaceted abstraction,test_receptive_field,1,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/test/test_receptive_field.py,"Class 'test_receptive_field' has a high LCOM value of 1, indicating it may have multiple responsibilities."
norse_norse.norse.torch.functional.test,test_regularization,Multifaceted abstraction,test_regularization,1,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/test/test_regularization.py,"Class 'test_regularization' has a high LCOM value of 1, indicating it may have multiple responsibilities."
norse_norse.norse.torch.functional.test,test_spikes_to_times_decoder,Multifaceted abstraction,test_spikes_to_times_decoder,1,/Volumes/BrokeExt/NICHE/norse_norse/norse/torch/functional/test/test_spikes_to_times_decoder.py,"Class 'test_spikes_to_times_decoder' has a high LCOM value of 1, indicating it may have multiple responsibilities."
