Package,Module,Class,Smell,Function/Method,Line no,File,Details
feedly_transfer-nlp,setup,,Long statement,,4,/Volumes/BrokeExt/NICHE/feedly_transfer-nlp/setup.py,A line with 950 chars in setup exceeds the maximum length of 120 characters.
feedly_transfer-nlp.data,download,,Empty catch block,progress_bar,11,/Volumes/BrokeExt/NICHE/feedly_transfer-nlp/data/download.py,Empty catch block found in progress_bar.
feedly_transfer-nlp.data,download,,Long identifier,download_file_from_google_drive,14,/Volumes/BrokeExt/NICHE/feedly_transfer-nlp/data/download.py,Identifier'download_file_from_google_drive' exceeds the maximum length of 30 characters.
feedly_transfer-nlp.data,download,,Magic number,download_file_from_google_drive,25,/Volumes/BrokeExt/NICHE/feedly_transfer-nlp/data/download.py,Magic number 32768 used in download_file_from_google_drive.
feedly_transfer-nlp.data,feedly_data,FeedlyDownloader,Complex method,get_category_entries,54 - 78,/Volumes/BrokeExt/NICHE/feedly_transfer-nlp/data/feedly_data.py,"Method 'get_category_entries' has a cyclomatic complexity of 7, exceeding the max of 6."
feedly_transfer-nlp.data,feedly_data,FeedlyDownloader,Complex method,get_board_entries,81 - 105,/Volumes/BrokeExt/NICHE/feedly_transfer-nlp/data/feedly_data.py,"Method 'get_board_entries' has a cyclomatic complexity of 7, exceeding the max of 6."
feedly_transfer-nlp.data,feedly_data,FeedlyDownloader,Long statement,build_multi_class_dataset,123,/Volumes/BrokeExt/NICHE/feedly_transfer-nlp/data/feedly_data.py,A line with 134 chars in build_multi_class_dataset exceeds the maximum length of 120 characters.
feedly_transfer-nlp.data,feedly_data,,Long statement,,1,/Volumes/BrokeExt/NICHE/feedly_transfer-nlp/data/feedly_data.py,A line with 262 chars in feedly_data exceeds the maximum length of 120 characters.
feedly_transfer-nlp.docs.source,conf,,Long statement,,20,/Volumes/BrokeExt/NICHE/feedly_transfer-nlp/docs/source/conf.py,A line with 298 chars in conf exceeds the maximum length of 120 characters.
feedly_transfer-nlp.docs.source,conf,,Long statement,,40,/Volumes/BrokeExt/NICHE/feedly_transfer-nlp/docs/source/conf.py,A line with 197 chars in conf exceeds the maximum length of 120 characters.
feedly_transfer-nlp.experiments.bert,bert,BertDataloader,Long Lambda Function,__init__,43,/Volumes/BrokeExt/NICHE/feedly_transfer-nlp/experiments/bert/bert.py,A Lambda with 104 chars in __init__ exceeds the maximum length of 80 characters.
