Package,Module,Smell,Class/Module,Line no,File,Details
DLR-RM_stable-baselines3.stable_baselines3.common,base_class,Insufficient modularization,BaseAlgorithm,67,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/common/base_class.py,"Class 'BaseAlgorithm' is insufficiently modularized with NOPM: 12, WMC: 107, NOM: 24."
DLR-RM_stable-baselines3.stable_baselines3.common,base_class,Insufficient modularization,base_class,1,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/common/base_class.py,"Module 'base_class' is insufficiently modularized with NOPM: 1, WMC: 111, NOM: 1."
DLR-RM_stable-baselines3.stable_baselines3.common,callbacks,Insufficient modularization,callbacks,1,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/common/callbacks.py,"Module 'callbacks' is insufficiently modularized with NOPM: 0, WMC: 111, NOM: 0."
DLR-RM_stable-baselines3.stable_baselines3.common,callbacks,Rebellious hierarchy,EventCallback,146,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/common/callbacks.py,Class 'EventCallback' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: _on_step.
DLR-RM_stable-baselines3.stable_baselines3.common,callbacks,Wide hierarchy,BaseCallback,0,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/common/callbacks.py,Class 'BaseCallback' has a wide hierarchy with 11 direct subclasses.
DLR-RM_stable-baselines3.stable_baselines3.common,distributions,Multifaceted abstraction,distributions,1,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/common/distributions.py,"Class 'distributions' has a high LCOM value of 1, indicating it may have multiple responsibilities."
DLR-RM_stable-baselines3.stable_baselines3.common,distributions,Rebellious hierarchy,DiagGaussianDistribution,125,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/common/distributions.py,"Class 'DiagGaussianDistribution' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: entropy, sample, mode."
DLR-RM_stable-baselines3.stable_baselines3.common,distributions,Rebellious hierarchy,CategoricalDistribution,263,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/common/distributions.py,"Class 'CategoricalDistribution' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: log_prob, entropy, sample, mode."
DLR-RM_stable-baselines3.stable_baselines3.common,distributions,Rebellious hierarchy,MultiCategoricalDistribution,314,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/common/distributions.py,"Class 'MultiCategoricalDistribution' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: log_prob, entropy, sample, mode."
DLR-RM_stable-baselines3.stable_baselines3.common,distributions,Rebellious hierarchy,BernoulliDistribution,371,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/common/distributions.py,"Class 'BernoulliDistribution' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: log_prob, entropy, sample, mode."
DLR-RM_stable-baselines3.stable_baselines3.common,logger,Insufficient modularization,logger,1,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/common/logger.py,"Module 'logger' is insufficiently modularized with NOPM: 5, WMC: 110, NOM: 5."
DLR-RM_stable-baselines3.stable_baselines3.common,noise,Rebellious hierarchy,NormalActionNoise,29,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/common/noise.py,Class 'NormalActionNoise' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: __call__.
DLR-RM_stable-baselines3.stable_baselines3.common,policies,Wide hierarchy,BasePolicy,0,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/common/policies.py,Class 'BasePolicy' has a wide hierarchy with 7 direct subclasses.
DLR-RM_stable-baselines3.stable_baselines3.common,utils,Insufficient modularization,utils,1,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/common/utils.py,"Module 'utils' is insufficiently modularized with NOPM: 24, WMC: 66, NOM: 24."
DLR-RM_stable-baselines3.stable_baselines3.common.vec_env,base_vec_env,Rebellious hierarchy,VecEnvWrapper,345,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/common/vec_env/base_vec_env.py,"Class 'VecEnvWrapper' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: reset, step_wait, close, get_attr, set_attr, env_method, env_is_wrapped."
DLR-RM_stable-baselines3.stable_baselines3.common.vec_env,base_vec_env,Wide hierarchy,VecEnvWrapper,0,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/common/vec_env/base_vec_env.py,Class 'VecEnvWrapper' has a wide hierarchy with 7 direct subclasses.
