Package,Module,Smell,Class/Module,Line no,File,Details
tensorflow_text.tensorflow_text.python.keras.layers,todense_test,Multifaceted abstraction,Final,29,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/keras/layers/todense_test.py,"Class 'Final' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.python.keras.layers,todense_test,Multifaceted abstraction,RaggedTensorsToDenseLayerTest,70,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/keras/layers/todense_test.py,"Class 'RaggedTensorsToDenseLayerTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.python.keras.layers,todense_test,Multifaceted abstraction,SparseTensorsToDenseLayerTest,170,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/keras/layers/todense_test.py,"Class 'SparseTensorsToDenseLayerTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.python.numpy,viterbi_decode_test,Multifaceted abstraction,ViterbiDecodeTest,29,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/numpy/viterbi_decode_test.py,"Class 'ViterbiDecodeTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.python.ops,bert_tokenizer_test,Multifaceted abstraction,BertTokenizerTest,204,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/bert_tokenizer_test.py,"Class 'BertTokenizerTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.python.ops,bert_tokenizer_test,Multifaceted abstraction,bert_tokenizer_test,1,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/bert_tokenizer_test.py,"Class 'bert_tokenizer_test' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.python.ops,boise_offset_converter_test,Multifaceted abstraction,OffsetsToBoiseTagsTest,30,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/boise_offset_converter_test.py,"Class 'OffsetsToBoiseTagsTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.python.ops,boise_offset_converter_test,Multifaceted abstraction,BoiseTagsToOffsetsTest,305,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/boise_offset_converter_test.py,"Class 'BoiseTagsToOffsetsTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.python.ops,byte_splitter_test,Insufficient modularization,ByteSplitterTest,43,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/byte_splitter_test.py,"Class 'ByteSplitterTest' is insufficiently modularized with NOPM: 22, WMC: 30, NOM: 22."
tensorflow_text.tensorflow_text.python.ops,fast_bert_normalizer_test,Multifaceted abstraction,FastBertNormalizeTest,64,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/fast_bert_normalizer_test.py,"Class 'FastBertNormalizeTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.python.ops,fast_wordpiece_tokenizer_test,Multifaceted abstraction,fast_wordpiece_tokenizer_test,1,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/fast_wordpiece_tokenizer_test.py,"Class 'fast_wordpiece_tokenizer_test' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.python.ops,gather_with_default_op_test,Multifaceted abstraction,GatherWithDefaultOpTest,43,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/gather_with_default_op_test.py,"Class 'GatherWithDefaultOpTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.python.ops,ngrams_op_test,Insufficient modularization,NgramsV2OpTest,186,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/ngrams_op_test.py,"Class 'NgramsV2OpTest' is insufficiently modularized with NOPM: 21, WMC: 22, NOM: 21."
tensorflow_text.tensorflow_text.python.ops,ngrams_op_test,Multifaceted abstraction,NgramsOpTest,38,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/ngrams_op_test.py,"Class 'NgramsOpTest' has a high LCOM value of 0.81, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.python.ops,ngrams_op_test,Multifaceted abstraction,NgramsV2OpTest,186,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/ngrams_op_test.py,"Class 'NgramsV2OpTest' has a high LCOM value of 0.86, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.python.ops,normalize_ops,Multifaceted abstraction,normalize_ops,1,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/normalize_ops.py,"Class 'normalize_ops' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.python.ops,normalize_ops_test,Multifaceted abstraction,NormalizeOpsTest,37,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/normalize_ops_test.py,"Class 'NormalizeOpsTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.python.ops,normalize_ops_test,Multifaceted abstraction,NormalizeWithOffsetsMapOpsTest,148,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/normalize_ops_test.py,"Class 'NormalizeWithOffsetsMapOpsTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.python.ops,pad_along_dimension_op_test,Multifaceted abstraction,PadAlongDimensionOpTest,36,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/pad_along_dimension_op_test.py,"Class 'PadAlongDimensionOpTest' has a high LCOM value of 0.82, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.python.ops,pad_model_inputs_ops_test,Multifaceted abstraction,ModelInputPackerTest,27,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/pad_model_inputs_ops_test.py,"Class 'ModelInputPackerTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.python.ops,sentencepiece_tokenizer_test,Insufficient modularization,SentencepieceTokenizerOpTest,65,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/sentencepiece_tokenizer_test.py,"Class 'SentencepieceTokenizerOpTest' is insufficiently modularized with NOPM: 28, WMC: 41, NOM: 28."
tensorflow_text.tensorflow_text.python.ops,span_overlaps_op_test,Multifaceted abstraction,SpanOverlapsOpTest,36,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/span_overlaps_op_test.py,"Class 'SpanOverlapsOpTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.python.ops,tokenization,Wide hierarchy,TokenizerWithOffsets,0,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/tokenization.py,Class 'TokenizerWithOffsets' has a wide hierarchy with 12 direct subclasses.
tensorflow_text.tensorflow_text.python.ops,tokenization,Wide hierarchy,Detokenizer,0,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/tokenization.py,Class 'Detokenizer' has a wide hierarchy with 7 direct subclasses.
tensorflow_text.tensorflow_text.python.ops,trimmer_ops,Multifaceted abstraction,trimmer_ops,1,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/trimmer_ops.py,"Class 'trimmer_ops' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.python.ops,viterbi_constrained_sequence_op_test,Multifaceted abstraction,ViterbiConstrainedSequenceOpTest,33,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/viterbi_constrained_sequence_op_test.py,"Class 'ViterbiConstrainedSequenceOpTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.python.ops,wordpiece_tokenizer_test,Multifaceted abstraction,wordpiece_tokenizer_test,1,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/wordpiece_tokenizer_test.py,"Class 'wordpiece_tokenizer_test' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.python.ops,wordshape_ops,Broken modularization,WordShape,145,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/wordshape_ops.py,Class 'WordShape' contains only data members without any method implementations.
tensorflow_text.tensorflow_text.python.ops,wordshape_ops,Multifaceted abstraction,wordshape_ops,1,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/wordshape_ops.py,"Class 'wordshape_ops' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.python.ops,wordshape_ops_test,Insufficient modularization,Utf8CharsOpTest,29,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/wordshape_ops_test.py,"Class 'Utf8CharsOpTest' is insufficiently modularized with NOPM: 37, WMC: 37, NOM: 37."
tensorflow_text.tensorflow_text.python.ops,wordshape_ops_test,Multifaceted abstraction,Utf8CharsOpTest,29,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/python/ops/wordshape_ops_test.py,"Class 'Utf8CharsOpTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.tools.wordpiece_vocab,utils,Multifaceted abstraction,utils,1,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/tools/wordpiece_vocab/utils.py,"Class 'utils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_text.tensorflow_text.tools.wordpiece_vocab,wordpiece_tokenizer_learner_test,Multifaceted abstraction,CountWordsTest,243,/Volumes/BrokeExt/NICHE/tensorflow_text/tensorflow_text/tools/wordpiece_vocab/wordpiece_tokenizer_learner_test.py,"Class 'CountWordsTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
