Package,Module,Class,Smell,Function/Method,Line no,File,Details
BachiLi_redner,setup,Build,Complex method,build_extension,53 - 92,/Volumes/BrokeExt/NICHE/BachiLi_redner/setup.py,"Method 'build_extension' has a cyclomatic complexity of 8, exceeding the max of 6."
BachiLi_redner,setup,Build,Long statement,build_extension,65,/Volumes/BrokeExt/NICHE/BachiLi_redner/setup.py,A line with 154 chars in build_extension exceeds the maximum length of 120 characters.
BachiLi_redner,setup,,Long statement,,138,/Volumes/BrokeExt/NICHE/BachiLi_redner/setup.py,A line with 2408 chars in setup exceeds the maximum length of 120 characters.
BachiLi_redner,setup,Build,Magic number,build_extension,67,/Volumes/BrokeExt/NICHE/BachiLi_redner/setup.py,Magic number 2 used in build_extension.
BachiLi_redner,setup,Build,Magic number,build_extension,67,/Volumes/BrokeExt/NICHE/BachiLi_redner/setup.py,Magic number 32 used in build_extension.
BachiLi_redner.docs.source,conf,,Long statement,,31,/Volumes/BrokeExt/NICHE/BachiLi_redner/docs/source/conf.py,A line with 122 chars in conf exceeds the maximum length of 120 characters.
BachiLi_redner.examples,joint_material_envmap_sh,,Long statement,deringing,69,/Volumes/BrokeExt/NICHE/BachiLi_redner/examples/joint_material_envmap_sh.py,A line with 144 chars in deringing exceeds the maximum length of 120 characters.
BachiLi_redner.examples,joint_material_envmap_sh,,Long statement,deringing,71,/Volumes/BrokeExt/NICHE/BachiLi_redner/examples/joint_material_envmap_sh.py,A line with 144 chars in deringing exceeds the maximum length of 120 characters.
BachiLi_redner.examples,joint_material_envmap_sh,,Long statement,deringing,73,/Volumes/BrokeExt/NICHE/BachiLi_redner/examples/joint_material_envmap_sh.py,A line with 144 chars in deringing exceeds the maximum length of 120 characters.
BachiLi_redner.examples,joint_material_envmap_sh,,Long statement,,13,/Volumes/BrokeExt/NICHE/BachiLi_redner/examples/joint_material_envmap_sh.py,A line with 218 chars in joint_material_envmap_sh exceeds the maximum length of 120 characters.
BachiLi_redner.examples,joint_material_envmap_sh,,Long statement,,22,/Volumes/BrokeExt/NICHE/BachiLi_redner/examples/joint_material_envmap_sh.py,A line with 253 chars in joint_material_envmap_sh exceeds the maximum length of 120 characters.
BachiLi_redner.examples,joint_material_envmap_sh,,Long statement,,47,/Volumes/BrokeExt/NICHE/BachiLi_redner/examples/joint_material_envmap_sh.py,A line with 447 chars in joint_material_envmap_sh exceeds the maximum length of 120 characters.
BachiLi_redner.examples,joint_material_envmap_sh,,Long statement,,106,/Volumes/BrokeExt/NICHE/BachiLi_redner/examples/joint_material_envmap_sh.py,A line with 319 chars in joint_material_envmap_sh exceeds the maximum length of 120 characters.
BachiLi_redner.examples,joint_material_envmap_sh,,Long statement,,135,/Volumes/BrokeExt/NICHE/BachiLi_redner/examples/joint_material_envmap_sh.py,A line with 133 chars in joint_material_envmap_sh exceeds the maximum length of 120 characters.
BachiLi_redner.examples,joint_material_envmap_sh,,Long statement,,167,/Volumes/BrokeExt/NICHE/BachiLi_redner/examples/joint_material_envmap_sh.py,A line with 137 chars in joint_material_envmap_sh exceeds the maximum length of 120 characters.
BachiLi_redner.examples,joint_material_envmap_sh,,Long statement,,208,/Volumes/BrokeExt/NICHE/BachiLi_redner/examples/joint_material_envmap_sh.py,A line with 148 chars in joint_material_envmap_sh exceeds the maximum length of 120 characters.
BachiLi_redner.examples,joint_material_envmap_sh,,Magic number,deringing,71,/Volumes/BrokeExt/NICHE/BachiLi_redner/examples/joint_material_envmap_sh.py,Magic number 4 used in deringing.
BachiLi_redner.examples,joint_material_envmap_sh,,Magic number,deringing,73,/Volumes/BrokeExt/NICHE/BachiLi_redner/examples/joint_material_envmap_sh.py,Magic number 9 used in deringing.
BachiLi_redner.examples,joint_material_envmap_sh,,Magic number,deringing,69,/Volumes/BrokeExt/NICHE/BachiLi_redner/examples/joint_material_envmap_sh.py,Magic number 3 used in deringing.
BachiLi_redner.examples,joint_material_envmap_sh,,Magic number,deringing,71,/Volumes/BrokeExt/NICHE/BachiLi_redner/examples/joint_material_envmap_sh.py,Magic number 4 used in deringing.
BachiLi_redner.examples,joint_material_envmap_sh,,Magic number,deringing,71,/Volumes/BrokeExt/NICHE/BachiLi_redner/examples/joint_material_envmap_sh.py,Magic number 5 used in deringing.
BachiLi_redner.examples,joint_material_envmap_sh,,Magic number,deringing,72,/Volumes/BrokeExt/NICHE/BachiLi_redner/examples/joint_material_envmap_sh.py,Magic number 4 used in deringing.
BachiLi_redner.examples,joint_material_envmap_sh,,Magic number,deringing,73,/Volumes/BrokeExt/NICHE/BachiLi_redner/examples/joint_material_envmap_sh.py,Magic number 9 used in deringing.
BachiLi_redner.examples,joint_material_envmap_sh,,Magic number,deringing,73,/Volumes/BrokeExt/NICHE/BachiLi_redner/examples/joint_material_envmap_sh.py,Magic number 7 used in deringing.
BachiLi_redner.examples,joint_material_envmap_sh,,Magic number,deringing,74,/Volumes/BrokeExt/NICHE/BachiLi_redner/examples/joint_material_envmap_sh.py,Magic number 9 used in deringing.
BachiLi_redner.examples,joint_material_envmap_sh,,Magic number,deringing,70,/Volumes/BrokeExt/NICHE/BachiLi_redner/examples/joint_material_envmap_sh.py,Magic number 3 used in deringing.
BachiLi_redner.examples,joint_material_envmap_sh,,Magic number,deringing,72,/Volumes/BrokeExt/NICHE/BachiLi_redner/examples/joint_material_envmap_sh.py,Magic number 4 used in deringing.
BachiLi_redner.examples,joint_material_envmap_sh,,Magic number,deringing,72,/Volumes/BrokeExt/NICHE/BachiLi_redner/examples/joint_material_envmap_sh.py,Magic number 5 used in deringing.
BachiLi_redner.examples,joint_material_envmap_sh,,Magic number,deringing,74,/Volumes/BrokeExt/NICHE/BachiLi_redner/examples/joint_material_envmap_sh.py,Magic number 9 used in deringing.
