Package,Module,Class,Smell,Function/Method,Line no,File,Details
tristandeleu_pytorch-maml-rl,test,,Long method,main,14 - 66,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/test.py,Method 'main' is too long (42 lines).
tristandeleu_pytorch-maml-rl,test,,Long statement,main,38,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/test.py,A line with 206 chars in main exceeds the maximum length of 120 characters.
tristandeleu_pytorch-maml-rl,test,,Long statement,main,51,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/test.py,A line with 190 chars in main exceeds the maximum length of 120 characters.
tristandeleu_pytorch-maml-rl,test,,Long statement,,95,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/test.py,A line with 170 chars in test exceeds the maximum length of 120 characters.
tristandeleu_pytorch-maml-rl,test,,Long statement,,98,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/test.py,A line with 170 chars in test exceeds the maximum length of 120 characters.
tristandeleu_pytorch-maml-rl,train,,Long method,main,16 - 88,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/train.py,Method 'main' is too long (62 lines).
tristandeleu_pytorch-maml-rl,train,,Long statement,main,47,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/train.py,A line with 214 chars in main exceeds the maximum length of 120 characters.
tristandeleu_pytorch-maml-rl,train,,Long statement,main,64,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/train.py,A line with 171 chars in main exceeds the maximum length of 120 characters.
tristandeleu_pytorch-maml-rl,train,,Long statement,main,70,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/train.py,A line with 206 chars in main exceeds the maximum length of 120 characters.
tristandeleu_pytorch-maml-rl,train,,Long statement,main,80,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/train.py,A line with 144 chars in main exceeds the maximum length of 120 characters.
tristandeleu_pytorch-maml-rl,train,,Long statement,,107,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/train.py,A line with 170 chars in train exceeds the maximum length of 120 characters.
tristandeleu_pytorch-maml-rl,train,,Long statement,,110,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/train.py,A line with 170 chars in train exceeds the maximum length of 120 characters.
tristandeleu_pytorch-maml-rl.maml_rl,baseline,LinearFeatureBaseline,Long statement,fit,73,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/maml_rl/baseline.py,A line with 230 chars in fit exceeds the maximum length of 120 characters.
tristandeleu_pytorch-maml-rl.maml_rl,baseline,LinearFeatureBaseline,Magic number,__init__,15,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/maml_rl/baseline.py,Magic number 1e-05 used in __init__.
tristandeleu_pytorch-maml-rl.maml_rl,baseline,LinearFeatureBaseline,Magic number,feature_size,29,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/maml_rl/baseline.py,Magic number 4 used in feature_size.
tristandeleu_pytorch-maml-rl.maml_rl,baseline,LinearFeatureBaseline,Magic number,feature_size,29,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/maml_rl/baseline.py,Magic number 2 used in feature_size.
tristandeleu_pytorch-maml-rl.maml_rl,baseline,LinearFeatureBaseline,Magic number,_feature,34,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/maml_rl/baseline.py,Magic number 100.0 used in _feature.
tristandeleu_pytorch-maml-rl.maml_rl,baseline,LinearFeatureBaseline,Magic number,fit,71,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/maml_rl/baseline.py,Magic number 10 used in fit.
tristandeleu_pytorch-maml-rl.maml_rl,episode,BatchEpisodes,Long statement,advantages,104,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/maml_rl/episode.py,A line with 167 chars in advantages exceeds the maximum length of 120 characters.
tristandeleu_pytorch-maml-rl.maml_rl,episode,BatchEpisodes,Magic number,__init__,8,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/maml_rl/episode.py,Magic number 0.95 used in __init__.
tristandeleu_pytorch-maml-rl.maml_rl,episode,BatchEpisodes,Magic number,observation_shape,32,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/maml_rl/episode.py,Magic number 2 used in observation_shape.
tristandeleu_pytorch-maml-rl.maml_rl,episode,BatchEpisodes,Magic number,action_shape,38,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/maml_rl/episode.py,Magic number 2 used in action_shape.
tristandeleu_pytorch-maml-rl.maml_rl.envs,__init__,,Long statement,,16,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/maml_rl/envs/__init__.py,A line with 138 chars in __init__ exceeds the maximum length of 120 characters.
tristandeleu_pytorch-maml-rl.maml_rl.envs,__init__,,Long statement,,26,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/maml_rl/envs/__init__.py,A line with 140 chars in __init__ exceeds the maximum length of 120 characters.
tristandeleu_pytorch-maml-rl.maml_rl.envs,__init__,,Long statement,,32,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/maml_rl/envs/__init__.py,A line with 140 chars in __init__ exceeds the maximum length of 120 characters.
tristandeleu_pytorch-maml-rl.maml_rl.envs,__init__,,Long statement,,38,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/maml_rl/envs/__init__.py,A line with 140 chars in __init__ exceeds the maximum length of 120 characters.
tristandeleu_pytorch-maml-rl.maml_rl.envs,__init__,,Long statement,,44,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/maml_rl/envs/__init__.py,A line with 165 chars in __init__ exceeds the maximum length of 120 characters.
tristandeleu_pytorch-maml-rl.maml_rl.envs,__init__,,Long statement,,50,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/maml_rl/envs/__init__.py,A line with 165 chars in __init__ exceeds the maximum length of 120 characters.
tristandeleu_pytorch-maml-rl.maml_rl.envs,mdp,TabularMDPEnv,Long statement,__init__,33,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/maml_rl/envs/mdp.py,A line with 129 chars in __init__ exceeds the maximum length of 120 characters.
tristandeleu_pytorch-maml-rl.maml_rl.envs,mdp,TabularMDPEnv,Long statement,sample_tasks,49,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/maml_rl/envs/mdp.py,A line with 130 chars in sample_tasks exceeds the maximum length of 120 characters.
tristandeleu_pytorch-maml-rl.maml_rl.envs,navigation,Navigation2DEnv,Magic number,__init__,22,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/maml_rl/envs/navigation.py,Magic number 0.5 used in __init__.
tristandeleu_pytorch-maml-rl.maml_rl.envs,navigation,Navigation2DEnv,Magic number,__init__,22,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/maml_rl/envs/navigation.py,Magic number 0.5 used in __init__.
tristandeleu_pytorch-maml-rl.maml_rl.envs,navigation,Navigation2DEnv,Magic number,step,62,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/maml_rl/envs/navigation.py,Magic number 0.01 used in step.
tristandeleu_pytorch-maml-rl.maml_rl.envs,navigation,Navigation2DEnv,Magic number,step,62,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/maml_rl/envs/navigation.py,Magic number 0.01 used in step.
tristandeleu_pytorch-maml-rl.maml_rl.envs.mujoco,ant,AntEnv,Long statement,_get_obs,17,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/maml_rl/envs/mujoco/ant.py,A line with 226 chars in _get_obs exceeds the maximum length of 120 characters.
tristandeleu_pytorch-maml-rl.maml_rl.envs.mujoco,ant,AntVelEnv,Long statement,step,90,/Volumes/BrokeExt/NICHE/tristandeleu_pytorch-maml-rl/maml_rl/envs/mujoco/ant.py,A line with 151 chars in step exceeds the maximum length of 120 characters.
