Package,Module,Smell,Class/Module,Line no,File,Details
kubeflow_fairing.containerregistry.client,monitor_,Multifaceted abstraction,Nop,48,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/monitor_.py,"Class 'Nop' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kubeflow_fairing.containerregistry.client,monitor_,Rebellious hierarchy,Nop,48,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/monitor_.py,"Class 'Nop' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: __enter__, __exit__."
kubeflow_fairing.containerregistry.client.v1,docker_image_,Rebellious hierarchy,FromShardedTarball,153,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_image_.py,"Class 'FromShardedTarball' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: __enter__, __exit__."
kubeflow_fairing.containerregistry.client.v1,docker_image_,Rebellious hierarchy,FromRegistry,278,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_image_.py,Class 'FromRegistry' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: __exit__.
kubeflow_fairing.containerregistry.client.v1,docker_image_,Rebellious hierarchy,Random,373,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_image_.py,"Class 'Random' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: __enter__, __exit__."
kubeflow_fairing.containerregistry.client.v2,docker_http_,Broken hierarchy,TokenRefreshException,121,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v2/docker_http_.py,Class 'TokenRefreshException' and its superclass 'BadStateException' may not share a proper 'IS-A' relationship.
kubeflow_fairing.containerregistry.client.v2,docker_http_,Multifaceted abstraction,docker_http_,1,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v2/docker_http_.py,"Class 'docker_http_' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kubeflow_fairing.containerregistry.client.v2,docker_image_,Rebellious hierarchy,FromRegistry,111,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v2/docker_image_.py,Class 'FromRegistry' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: __exit__.
kubeflow_fairing.containerregistry.client.v2_2,docker_http_,Broken hierarchy,TokenRefreshException,151,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v2_2/docker_http_.py,Class 'TokenRefreshException' and its superclass 'BadStateException' may not share a proper 'IS-A' relationship.
kubeflow_fairing.containerregistry.client.v2_2,docker_http_,Multifaceted abstraction,docker_http_,1,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v2_2/docker_http_.py,"Class 'docker_http_' has a high LCOM value of 1, indicating it may have multiple responsibilities."
