Package,Module,Smell,Class/Module,Line no,File,Details
broadinstitute_keras-rcnn.docs.source,conf,Broken modularization,conf,1,/Volumes/BrokeExt/NICHE/broadinstitute_keras-rcnn/docs/source/conf.py,Module 'conf' contains only data members without any method implementations.
broadinstitute_keras-rcnn.keras_rcnn.backend,tensorflow_backend,Multifaceted abstraction,tensorflow_backend,1,/Volumes/BrokeExt/NICHE/broadinstitute_keras-rcnn/keras_rcnn/backend/tensorflow_backend.py,"Class 'tensorflow_backend' has a high LCOM value of 0.87, indicating it may have multiple responsibilities."
broadinstitute_keras-rcnn.keras_rcnn.layers,_upsample,Multifaceted abstraction,Upsample,8,/Volumes/BrokeExt/NICHE/broadinstitute_keras-rcnn/keras_rcnn/layers/_upsample.py,"Class 'Upsample' has a high LCOM value of 1, indicating it may have multiple responsibilities."
broadinstitute_keras-rcnn.keras_rcnn.models,backbone,Multifaceted abstraction,backbone,1,/Volumes/BrokeExt/NICHE/broadinstitute_keras-rcnn/keras_rcnn/models/backbone.py,"Class 'backbone' has a high LCOM value of 1, indicating it may have multiple responsibilities."
broadinstitute_keras-rcnn.tests,conftest,Multifaceted abstraction,conftest,1,/Volumes/BrokeExt/NICHE/broadinstitute_keras-rcnn/tests/conftest.py,"Class 'conftest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
broadinstitute_keras-rcnn.tests.backend,test_common,Multifaceted abstraction,test_common,1,/Volumes/BrokeExt/NICHE/broadinstitute_keras-rcnn/tests/backend/test_common.py,"Class 'test_common' has a high LCOM value of 1, indicating it may have multiple responsibilities."
broadinstitute_keras-rcnn.tests.backend,test_tensorflow_backend,Multifaceted abstraction,test_tensorflow_backend,1,/Volumes/BrokeExt/NICHE/broadinstitute_keras-rcnn/tests/backend/test_tensorflow_backend.py,"Class 'test_tensorflow_backend' has a high LCOM value of 1, indicating it may have multiple responsibilities."
broadinstitute_keras-rcnn.tests.layers.losses,test_mask_rcnn,Multifaceted abstraction,TestMaskRCNN,46,/Volumes/BrokeExt/NICHE/broadinstitute_keras-rcnn/tests/layers/losses/test_mask_rcnn.py,"Class 'TestMaskRCNN' has a high LCOM value of 1, indicating it may have multiple responsibilities."
broadinstitute_keras-rcnn.tests.layers.object_detection,test_anchor,Multifaceted abstraction,TestAnchor,12,/Volumes/BrokeExt/NICHE/broadinstitute_keras-rcnn/tests/layers/object_detection/test_anchor.py,"Class 'TestAnchor' has a high LCOM value of 1, indicating it may have multiple responsibilities."
broadinstitute_keras-rcnn.tests.layers.object_detection,test_proposal_target,Multifaceted abstraction,test_proposal_target,1,/Volumes/BrokeExt/NICHE/broadinstitute_keras-rcnn/tests/layers/object_detection/test_proposal_target.py,"Class 'test_proposal_target' has a high LCOM value of 1, indicating it may have multiple responsibilities."
broadinstitute_keras-rcnn.tests.preprocessing,test_object_detection,Multifaceted abstraction,TestDictionaryIterator,1,/Volumes/BrokeExt/NICHE/broadinstitute_keras-rcnn/tests/preprocessing/test_object_detection.py,"Class 'TestDictionaryIterator' has a high LCOM value of 1, indicating it may have multiple responsibilities."
