Package,Module,Smell,Class/Module,Line no,File,Details
fastai_fastai.fastai,collab,Broken hierarchy,TabularCollab,13,/Volumes/BrokeExt/NICHE/fastai_fastai/fastai/collab.py,Class 'TabularCollab' and its superclass 'TabularPandas' may not share a proper 'IS-A' relationship.
fastai_fastai.fastai,layers,Broken hierarchy,ProdLayer,449,/Volumes/BrokeExt/NICHE/fastai_fastai/fastai/layers.py,Class 'ProdLayer' and its superclass 'Module' may not share a proper 'IS-A' relationship.
fastai_fastai.fastai,layers,Broken hierarchy,SwishJit,577,/Volumes/BrokeExt/NICHE/fastai_fastai/fastai/layers.py,Class 'SwishJit' and its superclass 'Module' may not share a proper 'IS-A' relationship.
fastai_fastai.fastai,layers,Broken hierarchy,MishJit,605,/Volumes/BrokeExt/NICHE/fastai_fastai/fastai/layers.py,Class 'MishJit' and its superclass 'Module' may not share a proper 'IS-A' relationship.
fastai_fastai.fastai,layers,Insufficient modularization,layers,1,/Volumes/BrokeExt/NICHE/fastai_fastai/fastai/layers.py,"Module 'layers' is insufficiently modularized with NOPM: 32, WMC: 142, NOM: 40."
fastai_fastai.fastai,learner,Broken hierarchy,CastToTensor,637,/Volumes/BrokeExt/NICHE/fastai_fastai/fastai/learner.py,Class 'CastToTensor' and its superclass 'Callback' may not share a proper 'IS-A' relationship.
fastai_fastai.fastai,learner,Insufficient modularization,Learner,100,/Volumes/BrokeExt/NICHE/fastai_fastai/fastai/learner.py,"Class 'Learner' is insufficiently modularized with NOPM: 23, WMC: 91, NOM: 44."
fastai_fastai.fastai,learner,Insufficient modularization,learner,1,/Volumes/BrokeExt/NICHE/fastai_fastai/fastai/learner.py,"Module 'learner' is insufficiently modularized with NOPM: 13, WMC: 188, NOM: 17."
fastai_fastai.fastai,learner,Multifaceted abstraction,Metric,461,/Volumes/BrokeExt/NICHE/fastai_fastai/fastai/learner.py,"Class 'Metric' has a high LCOM value of 1, indicating it may have multiple responsibilities."
fastai_fastai.fastai,learner,Multifaceted abstraction,AvgLoss,492,/Volumes/BrokeExt/NICHE/fastai_fastai/fastai/learner.py,"Class 'AvgLoss' has a high LCOM value of 1, indicating it may have multiple responsibilities."
fastai_fastai.fastai,learner,Multifaceted abstraction,ValueMetric,516,/Volumes/BrokeExt/NICHE/fastai_fastai/fastai/learner.py,"Class 'ValueMetric' has a high LCOM value of 1, indicating it may have multiple responsibilities."
fastai_fastai.fastai,learner,Multifaceted abstraction,learner,1,/Volumes/BrokeExt/NICHE/fastai_fastai/fastai/learner.py,"Class 'learner' has a high LCOM value of 0.82, indicating it may have multiple responsibilities."
fastai_fastai.fastai,learner,Wide hierarchy,Metric,0,/Volumes/BrokeExt/NICHE/fastai_fastai/fastai/learner.py,Class 'Metric' has a wide hierarchy with 8 direct subclasses.
