Package,Module,Smell,Class/Module,Line no,File,Details
tensorflow_lucid.lucid.misc,iter_nd_utils,Multifaceted abstraction,iter_nd_utils,1,/Volumes/BrokeExt/NICHE/tensorflow_lucid/lucid/misc/iter_nd_utils.py,"Class 'iter_nd_utils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_lucid.lucid.misc.gl,glrenderer,Broken hierarchy,FBO,21,/Volumes/BrokeExt/NICHE/tensorflow_lucid/lucid/misc/gl/glrenderer.py,Class 'FBO' and its superclass 'GLObject' may not share a proper 'IS-A' relationship.
tensorflow_lucid.lucid.misc.gl,glrenderer,Broken hierarchy,Texture,29,/Volumes/BrokeExt/NICHE/tensorflow_lucid/lucid/misc/gl/glrenderer.py,Class 'Texture' and its superclass 'GLObject' may not share a proper 'IS-A' relationship.
tensorflow_lucid.lucid.misc.gl,glrenderer,Multifaceted abstraction,GLObject,11,/Volumes/BrokeExt/NICHE/tensorflow_lucid/lucid/misc/gl/glrenderer.py,"Class 'GLObject' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_lucid.lucid.misc.graph_analysis,filter_overlay,Multifaceted abstraction,filter_overlay,1,/Volumes/BrokeExt/NICHE/tensorflow_lucid/lucid/misc/graph_analysis/filter_overlay.py,"Class 'filter_overlay' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_lucid.lucid.misc.io,saving,Multifaceted abstraction,saving,1,/Volumes/BrokeExt/NICHE/tensorflow_lucid/lucid/misc/io/saving.py,"Class 'saving' has a high LCOM value of 0.82, indicating it may have multiple responsibilities."
tensorflow_lucid.lucid.modelzoo,util,Multifaceted abstraction,util,1,/Volumes/BrokeExt/NICHE/tensorflow_lucid/lucid/modelzoo/util.py,"Class 'util' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorflow_lucid.lucid.modelzoo,vision_base,Broken hierarchy,FrozenGraphModel,408,/Volumes/BrokeExt/NICHE/tensorflow_lucid/lucid/modelzoo/vision_base.py,Class 'FrozenGraphModel' and its superclass 'SerializedModel' may not share a proper 'IS-A' relationship.
tensorflow_lucid.lucid.modelzoo,vision_base,Broken modularization,FrozenGraphModel,408,/Volumes/BrokeExt/NICHE/tensorflow_lucid/lucid/modelzoo/vision_base.py,Class 'FrozenGraphModel' contains only data members without any method implementations.
tensorflow_lucid.lucid.modelzoo,vision_base,Wide hierarchy,Model,0,/Volumes/BrokeExt/NICHE/tensorflow_lucid/lucid/modelzoo/vision_base.py,Class 'Model' has a wide hierarchy with 31 direct subclasses.
