Package,Module,Smell,Class/Module,Line no,File,Details
openseg-group_openseg.pytorch.lib.datasets.tools,cv2_aug_transforms,Insufficient modularization,cv2_aug_transforms,1,/Volumes/BrokeExt/NICHE/openseg-group_openseg.pytorch/lib/datasets/tools/cv2_aug_transforms.py,"Module 'cv2_aug_transforms' is insufficiently modularized with NOPM: 0, WMC: 119, NOM: 0."
openseg-group_openseg.pytorch.lib.datasets.tools,cv2_aug_transforms,Wide hierarchy,_BaseTransform,0,/Volumes/BrokeExt/NICHE/openseg-group_openseg.pytorch/lib/datasets/tools/cv2_aug_transforms.py,Class '_BaseTransform' has a wide hierarchy with 10 direct subclasses.
openseg-group_openseg.pytorch.lib.datasets.tools,pil_aug_transforms,Insufficient modularization,pil_aug_transforms,1,/Volumes/BrokeExt/NICHE/openseg-group_openseg.pytorch/lib/datasets/tools/pil_aug_transforms.py,"Module 'pil_aug_transforms' is insufficiently modularized with NOPM: 0, WMC: 152, NOM: 0."
openseg-group_openseg.pytorch.lib.extensions.dcn,test_modulated,Multifaceted abstraction,test_modulated,1,/Volumes/BrokeExt/NICHE/openseg-group_openseg.pytorch/lib/extensions/dcn/test_modulated.py,"Class 'test_modulated' has a high LCOM value of 1, indicating it may have multiple responsibilities."
openseg-group_openseg.pytorch.lib.extensions.inplace_abn,functions,Multifaceted abstraction,functions,1,/Volumes/BrokeExt/NICHE/openseg-group_openseg.pytorch/lib/extensions/inplace_abn/functions.py,"Class 'functions' has a high LCOM value of 1, indicating it may have multiple responsibilities."
openseg-group_openseg.pytorch.lib.extensions.inplace_abn_1,functions,Multifaceted abstraction,functions,1,/Volumes/BrokeExt/NICHE/openseg-group_openseg.pytorch/lib/extensions/inplace_abn_1/functions.py,"Class 'functions' has a high LCOM value of 1, indicating it may have multiple responsibilities."
openseg-group_openseg.pytorch.lib.extensions.pacnet,pac,Insufficient modularization,pac,1,/Volumes/BrokeExt/NICHE/openseg-group_openseg.pytorch/lib/extensions/pacnet/pac.py,"Module 'pac' is insufficiently modularized with NOPM: 6, WMC: 151, NOM: 7."
openseg-group_openseg.pytorch.lib.extensions.pacnet,test_pac,Insufficient modularization,PacConvTest,52,/Volumes/BrokeExt/NICHE/openseg-group_openseg.pytorch/lib/extensions/pacnet/test_pac.py,"Class 'PacConvTest' is insufficiently modularized with NOPM: 22, WMC: 22, NOM: 22."
openseg-group_openseg.pytorch.lib.extensions.pacnet,test_pac,Multifaceted abstraction,test_pac,1,/Volumes/BrokeExt/NICHE/openseg-group_openseg.pytorch/lib/extensions/pacnet/test_pac.py,"Class 'test_pac' has a high LCOM value of 1, indicating it may have multiple responsibilities."
openseg-group_openseg.pytorch.lib.extensions.parallel,_functions,Multifaceted abstraction,_functions,1,/Volumes/BrokeExt/NICHE/openseg-group_openseg.pytorch/lib/extensions/parallel/_functions.py,"Class '_functions' has a high LCOM value of 1, indicating it may have multiple responsibilities."
openseg-group_openseg.pytorch.lib.extensions.syncbn,module,Broken hierarchy,BatchNorm1d,185,/Volumes/BrokeExt/NICHE/openseg-group_openseg.pytorch/lib/extensions/syncbn/module.py,Class 'BatchNorm1d' and its superclass '_SyncBatchNorm' may not share a proper 'IS-A' relationship.
