Package,Module,Smell,Class/Module,Line no,File,Details
kubeflow_examples.code_search.src.code_search.dataflow.do_fns,function_embeddings,Multifaceted abstraction,ProcessFunctionEmbedding,82,/Volumes/BrokeExt/NICHE/kubeflow_examples/code_search/src/code_search/dataflow/do_fns/function_embeddings.py,"Class 'ProcessFunctionEmbedding' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kubeflow_examples.code_search.src.code_search.dataflow.do_fns,github_dataset,Multifaceted abstraction,SplitRepoPath,8,/Volumes/BrokeExt/NICHE/kubeflow_examples/code_search/src/code_search/dataflow/do_fns/github_dataset.py,"Class 'SplitRepoPath' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kubeflow_examples.code_search.src.code_search.dataflow.do_fns,github_dataset,Multifaceted abstraction,TokenizeFunctionDocstrings,56,/Volumes/BrokeExt/NICHE/kubeflow_examples/code_search/src/code_search/dataflow/do_fns/github_dataset.py,"Class 'TokenizeFunctionDocstrings' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kubeflow_examples.code_search.src.code_search.dataflow.transforms,bigquery,Broken modularization,BigQuerySchema,45,/Volumes/BrokeExt/NICHE/kubeflow_examples/code_search/src/code_search/dataflow/transforms/bigquery.py,Class 'BigQuerySchema' contains only data members without any method implementations.
kubeflow_examples.code_search.src.code_search.t2t,query,Multifaceted abstraction,query,1,/Volumes/BrokeExt/NICHE/kubeflow_examples/code_search/src/code_search/t2t/query.py,"Class 'query' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kubeflow_examples.demos.yelp_demo.yelp.yelp_sentiment,yelp_problem,Multifaceted abstraction,YelpSentiment,11,/Volumes/BrokeExt/NICHE/kubeflow_examples/demos/yelp_demo/yelp/yelp_sentiment/yelp_problem.py,"Class 'YelpSentiment' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kubeflow_examples.financial_time_series.tensorflow_model.helpers,preprocess,Multifaceted abstraction,preprocess,1,/Volumes/BrokeExt/NICHE/kubeflow_examples/financial_time_series/tensorflow_model/helpers/preprocess.py,"Class 'preprocess' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kubeflow_examples.financial_time_series.tensorflow_model.helpers,storage,Multifaceted abstraction,storage,1,/Volumes/BrokeExt/NICHE/kubeflow_examples/financial_time_series/tensorflow_model/helpers/storage.py,"Class 'storage' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kubeflow_examples.github_issue_summarization.Pachyderm_Example.code,seq2seq_utils,Multifaceted abstraction,seq2seq_utils,1,/Volumes/BrokeExt/NICHE/kubeflow_examples/github_issue_summarization/Pachyderm_Example/code/seq2seq_utils.py,"Class 'seq2seq_utils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kubeflow_examples.github_issue_summarization.notebooks,seq2seq_utils,Multifaceted abstraction,seq2seq_utils,1,/Volumes/BrokeExt/NICHE/kubeflow_examples/github_issue_summarization/notebooks/seq2seq_utils.py,"Class 'seq2seq_utils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kubeflow_examples.github_issue_summarization.pipelines.components.t2t.t2t-app.app.ghsumm.trainer,problem,Multifaceted abstraction,GhProblem,9,/Volumes/BrokeExt/NICHE/kubeflow_examples/github_issue_summarization/pipelines/components/t2t/t2t-app/app/ghsumm/trainer/problem.py,"Class 'GhProblem' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kubeflow_examples.github_issue_summarization.pipelines.components.t2t.t2t-proc.ghsumm.trainer,problem,Multifaceted abstraction,GhProblem,9,/Volumes/BrokeExt/NICHE/kubeflow_examples/github_issue_summarization/pipelines/components/t2t/t2t-proc/ghsumm/trainer/problem.py,"Class 'GhProblem' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kubeflow_examples.github_issue_summarization.pipelines.components.t2t.t2t-train.ghsumm.trainer,problem,Multifaceted abstraction,GhProblem,9,/Volumes/BrokeExt/NICHE/kubeflow_examples/github_issue_summarization/pipelines/components/t2t/t2t-train/ghsumm/trainer/problem.py,"Class 'GhProblem' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kubeflow_examples.github_issue_summarization.testing,tfjob_test,Broken modularization,TFJobTest,39,/Volumes/BrokeExt/NICHE/kubeflow_examples/github_issue_summarization/testing/tfjob_test.py,Class 'TFJobTest' contains only data members without any method implementations.
kubeflow_examples.object_detection.serving_script,standard_fields,Broken modularization,InputDataFields,27,/Volumes/BrokeExt/NICHE/kubeflow_examples/object_detection/serving_script/standard_fields.py,Class 'InputDataFields' contains only data members without any method implementations.
kubeflow_examples.object_detection.serving_script,standard_fields,Broken modularization,DetectionResultFields,95,/Volumes/BrokeExt/NICHE/kubeflow_examples/object_detection/serving_script/standard_fields.py,Class 'DetectionResultFields' contains only data members without any method implementations.
kubeflow_examples.object_detection.serving_script,standard_fields,Broken modularization,BoxListFields,121,/Volumes/BrokeExt/NICHE/kubeflow_examples/object_detection/serving_script/standard_fields.py,Class 'BoxListFields' contains only data members without any method implementations.
kubeflow_examples.object_detection.serving_script,standard_fields,Broken modularization,TfExampleFields,148,/Volumes/BrokeExt/NICHE/kubeflow_examples/object_detection/serving_script/standard_fields.py,Class 'TfExampleFields' contains only data members without any method implementations.
kubeflow_examples.pipelines.azurepipeline.code.register,register,Multifaceted abstraction,register,1,/Volumes/BrokeExt/NICHE/kubeflow_examples/pipelines/azurepipeline/code/register/register.py,"Class 'register' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kubeflow_examples.pytorch_mnist.web-ui.proto,prediction_pb2_grpc,Broken modularization,GenericStub,7,/Volumes/BrokeExt/NICHE/kubeflow_examples/pytorch_mnist/web-ui/proto/prediction_pb2_grpc.py,Class 'GenericStub' contains only data members without any method implementations.
kubeflow_examples.pytorch_mnist.web-ui.proto,prediction_pb2_grpc,Multifaceted abstraction,GenericServicer,47,/Volumes/BrokeExt/NICHE/kubeflow_examples/pytorch_mnist/web-ui/proto/prediction_pb2_grpc.py,"Class 'GenericServicer' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kubeflow_examples.pytorch_mnist.web-ui.proto,prediction_pb2_grpc,Multifaceted abstraction,prediction_pb2_grpc,1,/Volumes/BrokeExt/NICHE/kubeflow_examples/pytorch_mnist/web-ui/proto/prediction_pb2_grpc.py,"Class 'prediction_pb2_grpc' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kubeflow_examples.xgboost_ames_housing.test,conftest,Multifaceted abstraction,conftest,1,/Volumes/BrokeExt/NICHE/kubeflow_examples/xgboost_ames_housing/test/conftest.py,"Class 'conftest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kubeflow_examples.xgboost_synthetic.testing,conftest,Multifaceted abstraction,conftest,1,/Volumes/BrokeExt/NICHE/kubeflow_examples/xgboost_synthetic/testing/conftest.py,"Class 'conftest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
