Package,Module,Smell,Class/Module,Line no,File,Details
Calamari-OCR_calamari.calamari_ocr.ocr,scenario,Multifaceted abstraction,CalamariScenarioBase,25,/Volumes/BrokeExt/NICHE/Calamari-OCR_calamari/calamari_ocr/ocr/scenario.py,"Class 'CalamariScenarioBase' has a high LCOM value of 1, indicating it may have multiple responsibilities."
Calamari-OCR_calamari.calamari_ocr.ocr.augmentation,data_augmenter,Rebellious hierarchy,DefaultDataAugmenterParams,69,/Volumes/BrokeExt/NICHE/Calamari-OCR_calamari/calamari_ocr/ocr/augmentation/data_augmenter.py,Class 'DefaultDataAugmenterParams' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: cls.
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,base,Wide hierarchy,CalamariDataGeneratorParams,0,/Volumes/BrokeExt/NICHE/Calamari-OCR_calamari/calamari_ocr/ocr/dataset/datareader/base.py,Class 'CalamariDataGeneratorParams' has a wide hierarchy with 6 direct subclasses.
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,extended_prediction,Rebellious hierarchy,ExtendedPredictionDataParams,18,/Volumes/BrokeExt/NICHE/Calamari-OCR_calamari/calamari_ocr/ocr/dataset/datareader/extended_prediction.py,Class 'ExtendedPredictionDataParams' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: to_prediction.
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,raw,Multifaceted abstraction,RawDataReader,9,/Volumes/BrokeExt/NICHE/Calamari-OCR_calamari/calamari_ocr/ocr/dataset/datareader/raw.py,"Class 'RawDataReader' has a high LCOM value of 1, indicating it may have multiple responsibilities."
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader.generated_line_dataset,params,Multifaceted abstraction,GeneratedLineDatasetParams,48,/Volumes/BrokeExt/NICHE/Calamari-OCR_calamari/calamari_ocr/ocr/dataset/datareader/generated_line_dataset/params.py,"Class 'GeneratedLineDatasetParams' has a high LCOM value of 1, indicating it may have multiple responsibilities."
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader.generated_line_dataset,params,Rebellious hierarchy,GeneratedLineDatasetParams,48,/Volumes/BrokeExt/NICHE/Calamari-OCR_calamari/calamari_ocr/ocr/dataset/datareader/generated_line_dataset/params.py,Class 'GeneratedLineDatasetParams' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: to_prediction.
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader.pagexml,reader,Insufficient modularization,reader,1,/Volumes/BrokeExt/NICHE/Calamari-OCR_calamari/calamari_ocr/ocr/dataset/datareader/pagexml/reader.py,"Module 'reader' is insufficiently modularized with NOPM: 0, WMC: 111, NOM: 0."
Calamari-OCR_calamari.calamari_ocr.ocr.model.layers,bilstm,Multifaceted abstraction,BiLSTMLayer,25,/Volumes/BrokeExt/NICHE/Calamari-OCR_calamari/calamari_ocr/ocr/model/layers/bilstm.py,"Class 'BiLSTMLayer' has a high LCOM value of 1, indicating it may have multiple responsibilities."
Calamari-OCR_calamari.calamari_ocr.ocr.model.layers,bilstm,Rebellious hierarchy,BiLSTMLayerParams,12,/Volumes/BrokeExt/NICHE/Calamari-OCR_calamari/calamari_ocr/ocr/model/layers/bilstm.py,"Class 'BiLSTMLayerParams' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: name_prefix, cls."
Calamari-OCR_calamari.calamari_ocr.ocr.model.layers,concat,Rebellious hierarchy,ConcatLayerParams,12,/Volumes/BrokeExt/NICHE/Calamari-OCR_calamari/calamari_ocr/ocr/model/layers/concat.py,"Class 'ConcatLayerParams' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: name_prefix, cls."
Calamari-OCR_calamari.calamari_ocr.ocr.model.layers,conv2d,Multifaceted abstraction,Conv2DLayerParams,13,/Volumes/BrokeExt/NICHE/Calamari-OCR_calamari/calamari_ocr/ocr/model/layers/conv2d.py,"Class 'Conv2DLayerParams' has a high LCOM value of 1, indicating it may have multiple responsibilities."
Calamari-OCR_calamari.calamari_ocr.ocr.model.layers,conv2d,Rebellious hierarchy,Conv2DLayerParams,13,/Volumes/BrokeExt/NICHE/Calamari-OCR_calamari/calamari_ocr/ocr/model/layers/conv2d.py,"Class 'Conv2DLayerParams' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: name_prefix, cls."
