Package,Module,Smell,Class/Module,Line no,File,Details
kakao_buffalo.benchmark,models,Broken hierarchy,ImplicitLib,165,/Volumes/BrokeExt/NICHE/kakao_buffalo/benchmark/models.py,Class 'ImplicitLib' and its superclass 'Benchmark' may not share a proper 'IS-A' relationship.
kakao_buffalo.benchmark,models,Broken hierarchy,BuffaloLib,215,/Volumes/BrokeExt/NICHE/kakao_buffalo/benchmark/models.py,Class 'BuffaloLib' and its superclass 'Benchmark' may not share a proper 'IS-A' relationship.
kakao_buffalo.benchmark,models,Broken hierarchy,LightfmLib,310,/Volumes/BrokeExt/NICHE/kakao_buffalo/benchmark/models.py,Class 'LightfmLib' and its superclass 'Benchmark' may not share a proper 'IS-A' relationship.
kakao_buffalo.benchmark,models,Broken hierarchy,QmfLib,365,/Volumes/BrokeExt/NICHE/kakao_buffalo/benchmark/models.py,Class 'QmfLib' and its superclass 'Benchmark' may not share a proper 'IS-A' relationship.
kakao_buffalo.benchmark,models,Broken hierarchy,PysparkLib,478,/Volumes/BrokeExt/NICHE/kakao_buffalo/benchmark/models.py,Class 'PysparkLib' and its superclass 'Benchmark' may not share a proper 'IS-A' relationship.
kakao_buffalo.buffalo.algo,base,Wide hierarchy,Algo,0,/Volumes/BrokeExt/NICHE/kakao_buffalo/buffalo/algo/base.py,Class 'Algo' has a wide hierarchy with 8 direct subclasses.
kakao_buffalo.buffalo.algo,base,Wide hierarchy,Serializable,0,/Volumes/BrokeExt/NICHE/kakao_buffalo/buffalo/algo/base.py,Class 'Serializable' has a wide hierarchy with 7 direct subclasses.
kakao_buffalo.buffalo.algo,options,Multifaceted abstraction,AlgoOption,4,/Volumes/BrokeExt/NICHE/kakao_buffalo/buffalo/algo/options.py,"Class 'AlgoOption' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kakao_buffalo.buffalo.algo,options,Multifaceted abstraction,ALSOption,40,/Volumes/BrokeExt/NICHE/kakao_buffalo/buffalo/algo/options.py,"Class 'ALSOption' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kakao_buffalo.buffalo.algo,options,Multifaceted abstraction,CFROption,135,/Volumes/BrokeExt/NICHE/kakao_buffalo/buffalo/algo/options.py,"Class 'CFROption' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kakao_buffalo.buffalo.algo,options,Wide hierarchy,AlgoOption,0,/Volumes/BrokeExt/NICHE/kakao_buffalo/buffalo/algo/options.py,Class 'AlgoOption' has a wide hierarchy with 7 direct subclasses.
kakao_buffalo.buffalo.data,mm,Multifaceted abstraction,MatrixMarketDataReader,58,/Volumes/BrokeExt/NICHE/kakao_buffalo/buffalo/data/mm.py,"Class 'MatrixMarketDataReader' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kakao_buffalo.buffalo.data,prepro,Multifaceted abstraction,PreProcess,4,/Volumes/BrokeExt/NICHE/kakao_buffalo/buffalo/data/prepro.py,"Class 'PreProcess' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kakao_buffalo.buffalo.data,prepro,Multifaceted abstraction,OneBased,18,/Volumes/BrokeExt/NICHE/kakao_buffalo/buffalo/data/prepro.py,"Class 'OneBased' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kakao_buffalo.buffalo.data,prepro,Multifaceted abstraction,ImplicitALS,61,/Volumes/BrokeExt/NICHE/kakao_buffalo/buffalo/data/prepro.py,"Class 'ImplicitALS' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kakao_buffalo.buffalo.data,prepro,Multifaceted abstraction,SPPMI,75,/Volumes/BrokeExt/NICHE/kakao_buffalo/buffalo/data/prepro.py,"Class 'SPPMI' has a high LCOM value of 1, indicating it may have multiple responsibilities."
kakao_buffalo.buffalo.evaluate,base,Wide hierarchy,Evaluable,0,/Volumes/BrokeExt/NICHE/kakao_buffalo/buffalo/evaluate/base.py,Class 'Evaluable' has a wide hierarchy with 7 direct subclasses.
