Package,Module,Smell,Class/Module,Line no,File,Details
KaiyangZhou_deep-person-reid,setup,Multifaceted abstraction,setup,1,/Volumes/BrokeExt/NICHE/KaiyangZhou_deep-person-reid/setup.py,"Class 'setup' has a high LCOM value of 1, indicating it may have multiple responsibilities."
KaiyangZhou_deep-person-reid.projects.DML,default_config,Multifaceted abstraction,default_config,1,/Volumes/BrokeExt/NICHE/KaiyangZhou_deep-person-reid/projects/DML/default_config.py,"Class 'default_config' has a high LCOM value of 1, indicating it may have multiple responsibilities."
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,default_config,Multifaceted abstraction,default_config,1,/Volumes/BrokeExt/NICHE/KaiyangZhou_deep-person-reid/projects/OSNet_AIN/default_config.py,"Class 'default_config' has a high LCOM value of 1, indicating it may have multiple responsibilities."
KaiyangZhou_deep-person-reid.projects.attribute_recognition,default_parser,Multifaceted abstraction,default_parser,1,/Volumes/BrokeExt/NICHE/KaiyangZhou_deep-person-reid/projects/attribute_recognition/default_parser.py,"Class 'default_parser' has a high LCOM value of 1, indicating it may have multiple responsibilities."
KaiyangZhou_deep-person-reid.projects.attribute_recognition.models,osnet,Broken hierarchy,OSNet,315,/Volumes/BrokeExt/NICHE/KaiyangZhou_deep-person-reid/projects/attribute_recognition/models/osnet.py,Class 'OSNet' and its superclass 'BaseNet' may not share a proper 'IS-A' relationship.
KaiyangZhou_deep-person-reid.projects.attribute_recognition.models,osnet,Multifaceted abstraction,BaseNet,250,/Volumes/BrokeExt/NICHE/KaiyangZhou_deep-person-reid/projects/attribute_recognition/models/osnet.py,"Class 'BaseNet' has a high LCOM value of 1, indicating it may have multiple responsibilities."
KaiyangZhou_deep-person-reid.scripts,default_config,Multifaceted abstraction,default_config,1,/Volumes/BrokeExt/NICHE/KaiyangZhou_deep-person-reid/scripts/default_config.py,"Class 'default_config' has a high LCOM value of 1, indicating it may have multiple responsibilities."
KaiyangZhou_deep-person-reid.torchreid,__init__,Broken modularization,__init__,1,/Volumes/BrokeExt/NICHE/KaiyangZhou_deep-person-reid/torchreid/__init__.py,Module '__init__' contains only data members without any method implementations.
KaiyangZhou_deep-person-reid.torchreid.data,datamanager,Broken modularization,ImageDataManager,89,/Volumes/BrokeExt/NICHE/KaiyangZhou_deep-person-reid/torchreid/data/datamanager.py,Class 'ImageDataManager' contains only data members without any method implementations.
KaiyangZhou_deep-person-reid.torchreid.data,datamanager,Broken modularization,VideoDataManager,350,/Volumes/BrokeExt/NICHE/KaiyangZhou_deep-person-reid/torchreid/data/datamanager.py,Class 'VideoDataManager' contains only data members without any method implementations.
KaiyangZhou_deep-person-reid.torchreid.data,datamanager,Multifaceted abstraction,DataManager,9,/Volumes/BrokeExt/NICHE/KaiyangZhou_deep-person-reid/torchreid/data/datamanager.py,"Class 'DataManager' has a high LCOM value of 1, indicating it may have multiple responsibilities."
KaiyangZhou_deep-person-reid.torchreid.data.datasets,__init__,Multifaceted abstraction,__init__,1,/Volumes/BrokeExt/NICHE/KaiyangZhou_deep-person-reid/torchreid/data/datasets/__init__.py,"Class '__init__' has a high LCOM value of 1, indicating it may have multiple responsibilities."
KaiyangZhou_deep-person-reid.torchreid.data.datasets,dataset,Multifaceted abstraction,ImageDataset,310,/Volumes/BrokeExt/NICHE/KaiyangZhou_deep-person-reid/torchreid/data/datasets/dataset.py,"Class 'ImageDataset' has a high LCOM value of 1, indicating it may have multiple responsibilities."
KaiyangZhou_deep-person-reid.torchreid.data.datasets,dataset,Wide hierarchy,ImageDataset,0,/Volumes/BrokeExt/NICHE/KaiyangZhou_deep-person-reid/torchreid/data/datasets/dataset.py,Class 'ImageDataset' has a wide hierarchy with 13 direct subclasses.
KaiyangZhou_deep-person-reid.torchreid.models,mobilenetv2,Multifaceted abstraction,mobilenetv2,1,/Volumes/BrokeExt/NICHE/KaiyangZhou_deep-person-reid/torchreid/models/mobilenetv2.py,"Class 'mobilenetv2' has a high LCOM value of 1, indicating it may have multiple responsibilities."
KaiyangZhou_deep-person-reid.torchreid.models,senet,Broken modularization,SEBottleneck,143,/Volumes/BrokeExt/NICHE/KaiyangZhou_deep-person-reid/torchreid/models/senet.py,Class 'SEBottleneck' contains only data members without any method implementations.
KaiyangZhou_deep-person-reid.torchreid.models,senet,Broken modularization,SEResNetBottleneck,175,/Volumes/BrokeExt/NICHE/KaiyangZhou_deep-person-reid/torchreid/models/senet.py,Class 'SEResNetBottleneck' contains only data members without any method implementations.
KaiyangZhou_deep-person-reid.torchreid.models,senet,Broken modularization,SEResNeXtBottleneck,208,/Volumes/BrokeExt/NICHE/KaiyangZhou_deep-person-reid/torchreid/models/senet.py,Class 'SEResNeXtBottleneck' contains only data members without any method implementations.
KaiyangZhou_deep-person-reid.torchreid.utils,model_complexity,Insufficient modularization,model_complexity,1,/Volumes/BrokeExt/NICHE/KaiyangZhou_deep-person-reid/torchreid/utils/model_complexity.py,"Module 'model_complexity' is insufficiently modularized with NOPM: 21, WMC: 33, NOM: 23."
KaiyangZhou_deep-person-reid.torchreid.utils,model_complexity,Multifaceted abstraction,model_complexity,1,/Volumes/BrokeExt/NICHE/KaiyangZhou_deep-person-reid/torchreid/utils/model_complexity.py,"Class 'model_complexity' has a high LCOM value of 0.83, indicating it may have multiple responsibilities."
