Package,Module,Smell,Class/Module,Line no,File,Details
milvus-io_bootcamp.applications.image.biological_multifactor_authentication.server.src,app,Multifaceted abstraction,app,1,/Volumes/BrokeExt/NICHE/milvus-io_bootcamp/applications/image/biological_multifactor_authentication/server/src/app.py,"Class 'app' has a high LCOM value of 1, indicating it may have multiple responsibilities."
milvus-io_bootcamp.applications.image.reverse_image_search.server.src,config,Broken modularization,config,1,/Volumes/BrokeExt/NICHE/milvus-io_bootcamp/applications/image/reverse_image_search/server/src/config.py,Module 'config' contains only data members without any method implementations.
milvus-io_bootcamp.applications.image.reverse_image_search.server.src,main,Multifaceted abstraction,main,1,/Volumes/BrokeExt/NICHE/milvus-io_bootcamp/applications/image/reverse_image_search/server/src/main.py,"Class 'main' has a high LCOM value of 1, indicating it may have multiple responsibilities."
milvus-io_bootcamp.applications.nlp.question_answering_system.server.src,config,Broken modularization,config,1,/Volumes/BrokeExt/NICHE/milvus-io_bootcamp/applications/nlp/question_answering_system/server/src/config.py,Module 'config' contains only data members without any method implementations.
milvus-io_bootcamp.applications.nlp.question_answering_system.server.src,main,Multifaceted abstraction,main,1,/Volumes/BrokeExt/NICHE/milvus-io_bootcamp/applications/nlp/question_answering_system/server/src/main.py,"Class 'main' has a high LCOM value of 1, indicating it may have multiple responsibilities."
milvus-io_bootcamp.applications.nlp.question_answering_system.server.src,test_main,Multifaceted abstraction,test_main,1,/Volumes/BrokeExt/NICHE/milvus-io_bootcamp/applications/nlp/question_answering_system/server/src/test_main.py,"Class 'test_main' has a high LCOM value of 1, indicating it may have multiple responsibilities."
milvus-io_bootcamp.bootcamp,milvus_utilities,Multifaceted abstraction,milvus_utilities,1,/Volumes/BrokeExt/NICHE/milvus-io_bootcamp/bootcamp/milvus_utilities.py,"Class 'milvus_utilities' has a high LCOM value of 1, indicating it may have multiple responsibilities."
milvus-io_bootcamp.bootcamp.tutorials.quickstart.apps.cir_with_milvus,cfg,Broken modularization,Config,1,/Volumes/BrokeExt/NICHE/milvus-io_bootcamp/bootcamp/tutorials/quickstart/apps/cir_with_milvus/cfg.py,Class 'Config' contains only data members without any method implementations.
milvus-io_bootcamp.bootcamp.tutorials.quickstart.apps.cir_with_milvus,retrieve,Multifaceted abstraction,retrieve,1,/Volumes/BrokeExt/NICHE/milvus-io_bootcamp/bootcamp/tutorials/quickstart/apps/cir_with_milvus/retrieve.py,"Class 'retrieve' has a high LCOM value of 1, indicating it may have multiple responsibilities."
milvus-io_bootcamp.bootcamp.tutorials.quickstart.apps.image_search_with_milvus,milvus_utils,Multifaceted abstraction,milvus_utils,1,/Volumes/BrokeExt/NICHE/milvus-io_bootcamp/bootcamp/tutorials/quickstart/apps/image_search_with_milvus/milvus_utils.py,"Class 'milvus_utils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
milvus-io_bootcamp.bootcamp.tutorials.quickstart.apps.multimodal_rag_with_milvus,cfg,Broken modularization,Config,1,/Volumes/BrokeExt/NICHE/milvus-io_bootcamp/bootcamp/tutorials/quickstart/apps/multimodal_rag_with_milvus/cfg.py,Class 'Config' contains only data members without any method implementations.
milvus-io_bootcamp.bootcamp.tutorials.quickstart.apps.multimodal_rag_with_milvus,retrieve,Multifaceted abstraction,retrieve,1,/Volumes/BrokeExt/NICHE/milvus-io_bootcamp/bootcamp/tutorials/quickstart/apps/multimodal_rag_with_milvus/retrieve.py,"Class 'retrieve' has a high LCOM value of 1, indicating it may have multiple responsibilities."
milvus-io_bootcamp.bootcamp.tutorials.quickstart.apps.rag_search_with_milvus,milvus_utils,Multifaceted abstraction,milvus_utils,1,/Volumes/BrokeExt/NICHE/milvus-io_bootcamp/bootcamp/tutorials/quickstart/apps/rag_search_with_milvus/milvus_utils.py,"Class 'milvus_utils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
