Package,Module,Class,Smell,Function/Method,Line no,File,Details
DLR-RM_stable-baselines3,setup,,Long statement,,9,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/setup.py,A line with 2209 chars in setup exceeds the maximum length of 120 characters.
DLR-RM_stable-baselines3,setup,,Long statement,,74,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/setup.py,A line with 1811 chars in setup exceeds the maximum length of 120 characters.
DLR-RM_stable-baselines3.docs,conf,,Long statement,,64,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/docs/conf.py,A line with 129 chars in conf exceeds the maximum length of 120 characters.
DLR-RM_stable-baselines3.docs,conf,,Long statement,,171,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/docs/conf.py,A line with 135 chars in conf exceeds the maximum length of 120 characters.
DLR-RM_stable-baselines3.docs,conf,,Long statement,,188,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/docs/conf.py,A line with 170 chars in conf exceeds the maximum length of 120 characters.
DLR-RM_stable-baselines3.stable_baselines3,__init__,,Long statement,HER,19,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/__init__.py,A line with 201 chars in HER exceeds the maximum length of 120 characters.
DLR-RM_stable-baselines3.stable_baselines3.a2c,a2c,A2C,Long method,train,132 - 190,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/a2c/a2c.py,Method 'train' is too long (50 lines).
DLR-RM_stable-baselines3.stable_baselines3.a2c,a2c,A2C,Long parameter list,__init__,66 - 130,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/a2c/a2c.py,"__init__ has 23 parameters, exceeding the max of 5."
DLR-RM_stable-baselines3.stable_baselines3.a2c,a2c,A2C,Long parameter list,learn,192 - 207,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/a2c/a2c.py,"learn has 6 parameters, exceeding the max of 5."
DLR-RM_stable-baselines3.stable_baselines3.a2c,a2c,A2C,Long statement,__init__,92,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/a2c/a2c.py,A line with 578 chars in __init__ exceeds the maximum length of 120 characters.
DLR-RM_stable-baselines3.stable_baselines3.a2c,a2c,A2C,Long statement,train,133,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/a2c/a2c.py,A line with 125 chars in train exceeds the maximum length of 120 characters.
DLR-RM_stable-baselines3.stable_baselines3.a2c,a2c,A2C,Long statement,learn,201,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/a2c/a2c.py,A line with 192 chars in learn exceeds the maximum length of 120 characters.
DLR-RM_stable-baselines3.stable_baselines3.a2c,a2c,A2C,Magic number,__init__,70,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/a2c/a2c.py,Magic number 0.0007 used in __init__.
DLR-RM_stable-baselines3.stable_baselines3.a2c,a2c,A2C,Magic number,__init__,71,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/a2c/a2c.py,Magic number 5 used in __init__.
DLR-RM_stable-baselines3.stable_baselines3.a2c,a2c,A2C,Magic number,__init__,72,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/a2c/a2c.py,Magic number 0.99 used in __init__.
DLR-RM_stable-baselines3.stable_baselines3.a2c,a2c,A2C,Magic number,__init__,75,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/a2c/a2c.py,Magic number 0.5 used in __init__.
DLR-RM_stable-baselines3.stable_baselines3.a2c,a2c,A2C,Magic number,__init__,76,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/a2c/a2c.py,Magic number 0.5 used in __init__.
DLR-RM_stable-baselines3.stable_baselines3.a2c,a2c,A2C,Magic number,__init__,77,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/a2c/a2c.py,Magic number 1e-05 used in __init__.
DLR-RM_stable-baselines3.stable_baselines3.a2c,a2c,A2C,Magic number,__init__,84,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/a2c/a2c.py,Magic number 100 used in __init__.
DLR-RM_stable-baselines3.stable_baselines3.a2c,a2c,A2C,Magic number,train,156,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/a2c/a2c.py,Magic number 1e-08 used in train.
DLR-RM_stable-baselines3.stable_baselines3.a2c,a2c,A2C,Magic number,learn,196,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/a2c/a2c.py,Magic number 100 used in learn.
DLR-RM_stable-baselines3.stable_baselines3.common,atari_wrappers,AtariWrapper,Complex method,__init__,281 - 306,/Volumes/BrokeExt/NICHE/DLR-RM_stable-baselines3/stable_baselines3/common/atari_wrappers.py,"Method '__init__' has a cyclomatic complexity of 7, exceeding the max of 6."
