Package,Module,Smell,Class/Module,Line no,File,Details
ZQPei_deep_sort_pytorch.deep_sort.deep,resnet,Multifaceted abstraction,resnet,1,/Volumes/BrokeExt/NICHE/ZQPei_deep_sort_pytorch/deep_sort/deep/resnet.py,"Class 'resnet' has a high LCOM value of 1, indicating it may have multiple responsibilities."
ZQPei_deep_sort_pytorch.deep_sort.deep.multi_train_utils,train_eval_utils,Multifaceted abstraction,train_eval_utils,1,/Volumes/BrokeExt/NICHE/ZQPei_deep_sort_pytorch/deep_sort/deep/multi_train_utils/train_eval_utils.py,"Class 'train_eval_utils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
ZQPei_deep_sort_pytorch.detector.Mask_RCNN,maskrcnn,Multifaceted abstraction,maskrcnn,1,/Volumes/BrokeExt/NICHE/ZQPei_deep_sort_pytorch/detector/Mask_RCNN/maskrcnn.py,"Class 'maskrcnn' has a high LCOM value of 1, indicating it may have multiple responsibilities."
ZQPei_deep_sort_pytorch.detector.Mask_RCNN.network_files,faster_rcnn_framework,Broken modularization,FasterRCNN,166,/Volumes/BrokeExt/NICHE/ZQPei_deep_sort_pytorch/detector/Mask_RCNN/network_files/faster_rcnn_framework.py,Class 'FasterRCNN' contains only data members without any method implementations.
ZQPei_deep_sort_pytorch.detector.Mask_RCNN.network_files,mask_rcnn,Broken modularization,MaskRCNN,8,/Volumes/BrokeExt/NICHE/ZQPei_deep_sort_pytorch/detector/Mask_RCNN/network_files/mask_rcnn.py,Class 'MaskRCNN' contains only data members without any method implementations.
ZQPei_deep_sort_pytorch.detector.Mask_RCNN.train_utils,coco_utils,Multifaceted abstraction,coco_utils,1,/Volumes/BrokeExt/NICHE/ZQPei_deep_sort_pytorch/detector/Mask_RCNN/train_utils/coco_utils.py,"Class 'coco_utils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
ZQPei_deep_sort_pytorch.detector.YOLOv3,cfg,Multifaceted abstraction,cfg,1,/Volumes/BrokeExt/NICHE/ZQPei_deep_sort_pytorch/detector/YOLOv3/cfg.py,"Class 'cfg' has a high LCOM value of 1, indicating it may have multiple responsibilities."
ZQPei_deep_sort_pytorch.detector.YOLOv3,detect,Multifaceted abstraction,detect,1,/Volumes/BrokeExt/NICHE/ZQPei_deep_sort_pytorch/detector/YOLOv3/detect.py,"Class 'detect' has a high LCOM value of 1, indicating it may have multiple responsibilities."
ZQPei_deep_sort_pytorch.detector.YOLOv3,yolo_utils,Insufficient modularization,yolo_utils,1,/Volumes/BrokeExt/NICHE/ZQPei_deep_sort_pytorch/detector/YOLOv3/yolo_utils.py,"Module 'yolo_utils' is insufficiently modularized with NOPM: 24, WMC: 62, NOM: 24."
ZQPei_deep_sort_pytorch.detector.YOLOv5.models,common,Insufficient modularization,common,1,/Volumes/BrokeExt/NICHE/ZQPei_deep_sort_pytorch/detector/YOLOv5/models/common.py,"Module 'common' is insufficiently modularized with NOPM: 1, WMC: 115, NOM: 1."
ZQPei_deep_sort_pytorch.detector.YOLOv5.utils,datasets,Insufficient modularization,datasets,1,/Volumes/BrokeExt/NICHE/ZQPei_deep_sort_pytorch/detector/YOLOv5/utils/datasets.py,"Module 'datasets' is insufficiently modularized with NOPM: 11, WMC: 168, NOM: 11."
ZQPei_deep_sort_pytorch.detector.YOLOv5.utils,general,Insufficient modularization,general,1,/Volumes/BrokeExt/NICHE/ZQPei_deep_sort_pytorch/detector/YOLOv5/utils/general.py,"Module 'general' is insufficiently modularized with NOPM: 53, WMC: 153, NOM: 53."
ZQPei_deep_sort_pytorch.detector.YOLOv5.utils,plots,Multifaceted abstraction,plots,1,/Volumes/BrokeExt/NICHE/ZQPei_deep_sort_pytorch/detector/YOLOv5/utils/plots.py,"Class 'plots' has a high LCOM value of 0.87, indicating it may have multiple responsibilities."
ZQPei_deep_sort_pytorch.utils,io,Multifaceted abstraction,io,1,/Volumes/BrokeExt/NICHE/ZQPei_deep_sort_pytorch/utils/io.py,"Class 'io' has a high LCOM value of 1, indicating it may have multiple responsibilities."
ZQPei_deep_sort_pytorch.utils,json_logger,Broken hierarchy,Label,44,/Volumes/BrokeExt/NICHE/ZQPei_deep_sort_pytorch/utils/json_logger.py,Class 'Label' and its superclass 'BaseJsonLogger' may not share a proper 'IS-A' relationship.
ZQPei_deep_sort_pytorch.utils,json_logger,Broken hierarchy,Bbox,54,/Volumes/BrokeExt/NICHE/ZQPei_deep_sort_pytorch/utils/json_logger.py,Class 'Bbox' and its superclass 'BaseJsonLogger' may not share a proper 'IS-A' relationship.
ZQPei_deep_sort_pytorch.utils,json_logger,Broken hierarchy,Frame,93,/Volumes/BrokeExt/NICHE/ZQPei_deep_sort_pytorch/utils/json_logger.py,Class 'Frame' and its superclass 'BaseJsonLogger' may not share a proper 'IS-A' relationship.
ZQPei_deep_sort_pytorch.utils,json_logger,Broken hierarchy,BboxToJsonLogger,131,/Volumes/BrokeExt/NICHE/ZQPei_deep_sort_pytorch/utils/json_logger.py,Class 'BboxToJsonLogger' and its superclass 'BaseJsonLogger' may not share a proper 'IS-A' relationship.
ZQPei_deep_sort_pytorch.utils,json_logger,Broken modularization,JsonMeta,11,/Volumes/BrokeExt/NICHE/ZQPei_deep_sort_pytorch/utils/json_logger.py,Class 'JsonMeta' contains only data members without any method implementations.
ZQPei_deep_sort_pytorch.utils,parser,Multifaceted abstraction,YamlParser,5,/Volumes/BrokeExt/NICHE/ZQPei_deep_sort_pytorch/utils/parser.py,"Class 'YamlParser' has a high LCOM value of 1, indicating it may have multiple responsibilities."
ZQPei_deep_sort_pytorch.webserver.config,config,Broken hierarchy,DevelopmentConfig,11,/Volumes/BrokeExt/NICHE/ZQPei_deep_sort_pytorch/webserver/config/config.py,Class 'DevelopmentConfig' and its superclass 'BaseConfig' may not share a proper 'IS-A' relationship.
ZQPei_deep_sort_pytorch.webserver.config,config,Broken hierarchy,TestingConfig,16,/Volumes/BrokeExt/NICHE/ZQPei_deep_sort_pytorch/webserver/config/config.py,Class 'TestingConfig' and its superclass 'BaseConfig' may not share a proper 'IS-A' relationship.
ZQPei_deep_sort_pytorch.webserver.config,config,Broken hierarchy,ProductionConfig,20,/Volumes/BrokeExt/NICHE/ZQPei_deep_sort_pytorch/webserver/config/config.py,Class 'ProductionConfig' and its superclass 'BaseConfig' may not share a proper 'IS-A' relationship.
