Package,Module,Class,Smell,Function/Method,Line no,File,Details
kwotsin_mimicry,setup,,Long statement,,6,/Volumes/BrokeExt/NICHE/kwotsin_mimicry/setup.py,A line with 220 chars in setup exceeds the maximum length of 120 characters.
kwotsin_mimicry,setup,,Long statement,,30,/Volumes/BrokeExt/NICHE/kwotsin_mimicry/setup.py,A line with 929 chars in setup exceeds the maximum length of 120 characters.
kwotsin_mimicry,setup,,Long statement,,42,/Volumes/BrokeExt/NICHE/kwotsin_mimicry/setup.py,A line with 542 chars in setup exceeds the maximum length of 120 characters.
kwotsin_mimicry.docs.source,conf,,Long statement,,6,/Volumes/BrokeExt/NICHE/kwotsin_mimicry/docs/source/conf.py,A line with 177 chars in conf exceeds the maximum length of 120 characters.
kwotsin_mimicry.examples,eval_pretrained,,Long statement,,26,/Volumes/BrokeExt/NICHE/kwotsin_mimicry/examples/eval_pretrained.py,A line with 140 chars in eval_pretrained exceeds the maximum length of 120 characters.
kwotsin_mimicry.examples,eval_pretrained,,Long statement,,50,/Volumes/BrokeExt/NICHE/kwotsin_mimicry/examples/eval_pretrained.py,A line with 180 chars in eval_pretrained exceeds the maximum length of 120 characters.
kwotsin_mimicry.examples,eval_pretrained,,Long statement,,72,/Volumes/BrokeExt/NICHE/kwotsin_mimicry/examples/eval_pretrained.py,A line with 196 chars in eval_pretrained exceeds the maximum length of 120 characters.
kwotsin_mimicry.examples,eval_pretrained,,Long statement,,81,/Volumes/BrokeExt/NICHE/kwotsin_mimicry/examples/eval_pretrained.py,A line with 167 chars in eval_pretrained exceeds the maximum length of 120 characters.
kwotsin_mimicry.examples,eval_pretrained,,Long statement,,91,/Volumes/BrokeExt/NICHE/kwotsin_mimicry/examples/eval_pretrained.py,A line with 235 chars in eval_pretrained exceeds the maximum length of 120 characters.
kwotsin_mimicry.examples,sngan_example,,Long statement,,26,/Volumes/BrokeExt/NICHE/kwotsin_mimicry/examples/sngan_example.py,A line with 179 chars in sngan_example exceeds the maximum length of 120 characters.
kwotsin_mimicry.examples,sngan_example,,Long statement,,39,/Volumes/BrokeExt/NICHE/kwotsin_mimicry/examples/sngan_example.py,A line with 170 chars in sngan_example exceeds the maximum length of 120 characters.
kwotsin_mimicry.examples,sngan_example,,Long statement,,49,/Volumes/BrokeExt/NICHE/kwotsin_mimicry/examples/sngan_example.py,A line with 141 chars in sngan_example exceeds the maximum length of 120 characters.
kwotsin_mimicry.examples,sngan_example,,Long statement,,58,/Volumes/BrokeExt/NICHE/kwotsin_mimicry/examples/sngan_example.py,A line with 134 chars in sngan_example exceeds the maximum length of 120 characters.
kwotsin_mimicry.examples,ssgan_tutorial,SSGANGenerator,Long parameter list,train_step,62 - 99,/Volumes/BrokeExt/NICHE/kwotsin_mimicry/examples/ssgan_tutorial.py,"train_step has 6 parameters, exceeding the max of 5."
