Package,Module,Smell,Class/Module,Line no,File,Details
OpenNMT_OpenNMT-tf.opennmt,runner,Multifaceted abstraction,runner,1,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/runner.py,"Class 'runner' has a high LCOM value of 1, indicating it may have multiple responsibilities."
OpenNMT_OpenNMT-tf.opennmt,training,Insufficient modularization,training,1,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/training.py,"Module 'training' is insufficiently modularized with NOPM: 0, WMC: 105, NOM: 1."
OpenNMT_OpenNMT-tf.opennmt.encoders,encoder,Wide hierarchy,Encoder,0,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/encoders/encoder.py,Class 'Encoder' has a wide hierarchy with 7 direct subclasses.
OpenNMT_OpenNMT-tf.opennmt.inputters,inputter,Insufficient modularization,inputter,1,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/inputters/inputter.py,"Module 'inputter' is insufficiently modularized with NOPM: 0, WMC: 136, NOM: 2."
OpenNMT_OpenNMT-tf.opennmt.inputters,record_inputter,Rebellious hierarchy,SequenceRecordInputter,10,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/inputters/record_inputter.py,"Class 'SequenceRecordInputter' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: make_dataset, input_signature."
OpenNMT_OpenNMT-tf.opennmt.inputters,text_inputter,Multifaceted abstraction,text_inputter,1,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/inputters/text_inputter.py,"Class 'text_inputter' has a high LCOM value of 1, indicating it may have multiple responsibilities."
OpenNMT_OpenNMT-tf.opennmt.inputters,text_inputter,Rebellious hierarchy,TextInputter,238,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/inputters/text_inputter.py,Class 'TextInputter' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: make_dataset.
OpenNMT_OpenNMT-tf.opennmt.layers,bridge,Rebellious hierarchy,ZeroBridge,66,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/layers/bridge.py,Class 'ZeroBridge' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: call.
OpenNMT_OpenNMT-tf.opennmt.layers,reducer,Rebellious hierarchy,MultiplyReducer,159,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/layers/reducer.py,Class 'MultiplyReducer' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: reduce.
OpenNMT_OpenNMT-tf.opennmt.layers,reducer,Rebellious hierarchy,ConcatReducer,172,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/layers/reducer.py,Class 'ConcatReducer' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: reduce.
OpenNMT_OpenNMT-tf.opennmt.layers,reducer,Rebellious hierarchy,JoinReducer,221,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/layers/reducer.py,Class 'JoinReducer' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: reduce_sequence.
OpenNMT_OpenNMT-tf.opennmt.models,catalog,Broken hierarchy,LuongAttention,120,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/models/catalog.py,Class 'LuongAttention' and its superclass '_RNNBase' may not share a proper 'IS-A' relationship.
OpenNMT_OpenNMT-tf.opennmt.models,catalog,Broken hierarchy,NMTBigV1,147,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/models/catalog.py,Class 'NMTBigV1' and its superclass '_RNNBase' may not share a proper 'IS-A' relationship.
OpenNMT_OpenNMT-tf.opennmt.models,catalog,Broken hierarchy,NMTMediumV1,181,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/models/catalog.py,Class 'NMTMediumV1' and its superclass '_RNNBase' may not share a proper 'IS-A' relationship.
OpenNMT_OpenNMT-tf.opennmt.models,catalog,Broken hierarchy,NMTSmallV1,215,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/models/catalog.py,Class 'NMTSmallV1' and its superclass '_RNNBase' may not share a proper 'IS-A' relationship.
OpenNMT_OpenNMT-tf.opennmt.models,model,Insufficient modularization,Model,12,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/models/model.py,"Class 'Model' is insufficiently modularized with NOPM: 34, WMC: 72, NOM: 39."
