Package,Module,Smell,Class/Module,Line no,File,Details
BindsNET_bindsnet.bindsnet,utils,Multifaceted abstraction,utils,1,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/utils.py,"Class 'utils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
BindsNET_bindsnet.bindsnet.analysis,plotting,Multifaceted abstraction,plotting,1,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/analysis/plotting.py,"Class 'plotting' has a high LCOM value of 1, indicating it may have multiple responsibilities."
BindsNET_bindsnet.bindsnet.analysis,visualization,Multifaceted abstraction,visualization,1,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/analysis/visualization.py,"Class 'visualization' has a high LCOM value of 1, indicating it may have multiple responsibilities."
BindsNET_bindsnet.bindsnet.datasets,__init__,Broken modularization,__init__,1,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/datasets/__init__.py,Module '__init__' contains only data members without any method implementations.
BindsNET_bindsnet.bindsnet.encoding,encoders,Wide hierarchy,Encoder,0,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/encoding/encoders.py,Class 'Encoder' has a wide hierarchy with 6 direct subclasses.
BindsNET_bindsnet.bindsnet.encoding,encodings,Multifaceted abstraction,encodings,1,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/encoding/encodings.py,"Class 'encodings' has a high LCOM value of 1, indicating it may have multiple responsibilities."
BindsNET_bindsnet.bindsnet.encoding,loaders,Multifaceted abstraction,loaders,1,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/encoding/loaders.py,"Class 'loaders' has a high LCOM value of 1, indicating it may have multiple responsibilities."
BindsNET_bindsnet.bindsnet.evaluation,evaluation,Multifaceted abstraction,evaluation,1,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/evaluation/evaluation.py,"Class 'evaluation' has a high LCOM value of 1, indicating it may have multiple responsibilities."
BindsNET_bindsnet.bindsnet.learning,MCC_learning,Multifaceted abstraction,NoOp,116,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/learning/MCC_learning.py,"Class 'NoOp' has a high LCOM value of 1, indicating it may have multiple responsibilities."
BindsNET_bindsnet.bindsnet.learning,MCC_learning,Rebellious hierarchy,PostPre,144,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/learning/MCC_learning.py,Class 'PostPre' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: reset_state_variables.
BindsNET_bindsnet.bindsnet.learning,MCC_learning,Rebellious hierarchy,MSTDP,377,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/learning/MCC_learning.py,Class 'MSTDP' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: reset_state_variables.
BindsNET_bindsnet.bindsnet.learning,learning,Insufficient modularization,learning,1,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/learning/learning.py,"Module 'learning' is insufficiently modularized with NOPM: 0, WMC: 179, NOM: 0."
BindsNET_bindsnet.bindsnet.learning,learning,Wide hierarchy,LearningRule,0,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/learning/learning.py,Class 'LearningRule' has a wide hierarchy with 7 direct subclasses.
BindsNET_bindsnet.bindsnet.models,models,Broken modularization,DiehlAndCook2015,87,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/models/models.py,Class 'DiehlAndCook2015' contains only data members without any method implementations.
BindsNET_bindsnet.bindsnet.models,models,Broken modularization,DiehlAndCook2015v2,205,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/models/models.py,Class 'DiehlAndCook2015v2' contains only data members without any method implementations.
BindsNET_bindsnet.bindsnet.models,models,Broken modularization,IncreasingInhibitionNetwork,307,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/models/models.py,Class 'IncreasingInhibitionNetwork' contains only data members without any method implementations.
BindsNET_bindsnet.bindsnet.models,models,Broken modularization,LocallyConnectedNetwork,415,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/models/models.py,Class 'LocallyConnectedNetwork' contains only data members without any method implementations.
BindsNET_bindsnet.bindsnet.network,monitors,Broken hierarchy,NetworkMonitor,124,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/network/monitors.py,Class 'NetworkMonitor' and its superclass 'AbstractMonitor' may not share a proper 'IS-A' relationship.
BindsNET_bindsnet.bindsnet.network,nodes,Insufficient modularization,nodes,1,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/network/nodes.py,"Module 'nodes' is insufficiently modularized with NOPM: 0, WMC: 102, NOM: 0."
BindsNET_bindsnet.bindsnet.network,nodes,Multifaceted abstraction,Input,172,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/network/nodes.py,"Class 'Input' has a high LCOM value of 1, indicating it may have multiple responsibilities."
BindsNET_bindsnet.bindsnet.network,nodes,Wide hierarchy,Nodes,0,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/network/nodes.py,Class 'Nodes' has a wide hierarchy with 11 direct subclasses.
BindsNET_bindsnet.bindsnet.network,topology,Insufficient modularization,topology,1,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/network/topology.py,"Module 'topology' is insufficiently modularized with NOPM: 0, WMC: 188, NOM: 0."
BindsNET_bindsnet.bindsnet.network,topology,Multifaceted abstraction,SparseConnection,1950,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/network/topology.py,"Class 'SparseConnection' has a high LCOM value of 1, indicating it may have multiple responsibilities."
BindsNET_bindsnet.bindsnet.network,topology,Wide hierarchy,AbstractConnection,0,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/network/topology.py,Class 'AbstractConnection' has a wide hierarchy with 13 direct subclasses.
BindsNET_bindsnet.bindsnet.network,topology_features,Multifaceted abstraction,Probability,310,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/network/topology_features.py,"Class 'Probability' has a high LCOM value of 1, indicating it may have multiple responsibilities."
BindsNET_bindsnet.bindsnet.network,topology_features,Multifaceted abstraction,Bias,585,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/network/topology_features.py,"Class 'Bias' has a high LCOM value of 1, indicating it may have multiple responsibilities."
BindsNET_bindsnet.bindsnet.network,topology_features,Multifaceted abstraction,Intensity,626,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/network/topology_features.py,"Class 'Intensity' has a high LCOM value of 1, indicating it may have multiple responsibilities."
BindsNET_bindsnet.bindsnet.network,topology_features,Rebellious hierarchy,Probability,310,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/network/topology_features.py,"Class 'Probability' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: compute, reset_state_variables."
BindsNET_bindsnet.bindsnet.network,topology_features,Rebellious hierarchy,Mask,393,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/network/topology_features.py,"Class 'Mask' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: compute, reset_state_variables."
BindsNET_bindsnet.bindsnet.network,topology_features,Rebellious hierarchy,MeanField,472,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/network/topology_features.py,"Class 'MeanField' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: reset_state_variables, compute."
BindsNET_bindsnet.bindsnet.network,topology_features,Rebellious hierarchy,Weight,495,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/network/topology_features.py,Class 'Weight' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: reset_state_variables.
BindsNET_bindsnet.bindsnet.network,topology_features,Rebellious hierarchy,Bias,585,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/network/topology_features.py,"Class 'Bias' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: reset_state_variables, compute."
BindsNET_bindsnet.bindsnet.network,topology_features,Rebellious hierarchy,Intensity,626,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/network/topology_features.py,"Class 'Intensity' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: reset_state_variables, compute."
BindsNET_bindsnet.bindsnet.network,topology_features,Rebellious hierarchy,Degradation,662,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/network/topology_features.py,"Class 'Degradation' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: reset_state_variables, compute."
BindsNET_bindsnet.bindsnet.network,topology_features,Wide hierarchy,AbstractFeature,0,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/network/topology_features.py,Class 'AbstractFeature' has a wide hierarchy with 9 direct subclasses.
BindsNET_bindsnet.bindsnet.pipeline,action,Multifaceted abstraction,action,1,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/bindsnet/pipeline/action.py,"Class 'action' has a high LCOM value of 1, indicating it may have multiple responsibilities."
BindsNET_bindsnet.examples.benchmark,annarchy,Multifaceted abstraction,annarchy,1,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/examples/benchmark/annarchy.py,"Class 'annarchy' has a high LCOM value of 1, indicating it may have multiple responsibilities."
BindsNET_bindsnet.examples.benchmark,benchmark,Multifaceted abstraction,benchmark,1,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/examples/benchmark/benchmark.py,"Class 'benchmark' has a high LCOM value of 1, indicating it may have multiple responsibilities."
BindsNET_bindsnet.test.network,test_learning,Multifaceted abstraction,TestLearningRules,16,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/test/network/test_learning.py,"Class 'TestLearningRules' has a high LCOM value of 1, indicating it may have multiple responsibilities."
BindsNET_bindsnet.test.network,test_monitors,Broken modularization,TestMonitor,9,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/test/network/test_monitors.py,Class 'TestMonitor' contains only data members without any method implementations.
BindsNET_bindsnet.test.network,test_monitors,Broken modularization,TestNetworkMonitor,48,/Volumes/BrokeExt/NICHE/BindsNET_bindsnet/test/network/test_monitors.py,Class 'TestNetworkMonitor' contains only data members without any method implementations.
