Package,Module,Smell,Class/Module,Line no,File,Details
jim-schwoebel_voicebook.chapter_1_fundamentals,google_transcribe,Multifaceted abstraction,google_transcribe,1,/Volumes/BrokeExt/NICHE/jim-schwoebel_voicebook/chapter_1_fundamentals/google_transcribe.py,"Class 'google_transcribe' has a high LCOM value of 1, indicating it may have multiple responsibilities."
jim-schwoebel_voicebook.chapter_1_fundamentals,sphinx_transcibe,Multifaceted abstraction,sphinx_transcibe,1,/Volumes/BrokeExt/NICHE/jim-schwoebel_voicebook/chapter_1_fundamentals/sphinx_transcibe.py,"Class 'sphinx_transcibe' has a high LCOM value of 1, indicating it may have multiple responsibilities."
jim-schwoebel_voicebook.chapter_2_collection,as_record,Multifaceted abstraction,as_record,1,/Volumes/BrokeExt/NICHE/jim-schwoebel_voicebook/chapter_2_collection/as_record.py,"Class 'as_record' has a high LCOM value of 1, indicating it may have multiple responsibilities."
jim-schwoebel_voicebook.chapter_2_collection,change_channels,Multifaceted abstraction,change_channels,1,/Volumes/BrokeExt/NICHE/jim-schwoebel_voicebook/chapter_2_collection/change_channels.py,"Class 'change_channels' has a high LCOM value of 1, indicating it may have multiple responsibilities."
jim-schwoebel_voicebook.chapter_2_collection,diarize,Multifaceted abstraction,diarize,1,/Volumes/BrokeExt/NICHE/jim-schwoebel_voicebook/chapter_2_collection/diarize.py,"Class 'diarize' has a high LCOM value of 1, indicating it may have multiple responsibilities."
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,audioAnalysis,Insufficient modularization,audioAnalysis,1,/Volumes/BrokeExt/NICHE/jim-schwoebel_voicebook/chapter_2_collection/pyAudioAnalysis3/audioAnalysis.py,"Module 'audioAnalysis' is insufficiently modularized with NOPM: 25, WMC: 63, NOM: 25."
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,audioAnalysis,Multifaceted abstraction,audioAnalysis,1,/Volumes/BrokeExt/NICHE/jim-schwoebel_voicebook/chapter_2_collection/pyAudioAnalysis3/audioAnalysis.py,"Class 'audioAnalysis' has a high LCOM value of 0.88, indicating it may have multiple responsibilities."
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,audioBasicIO,Multifaceted abstraction,audioBasicIO,1,/Volumes/BrokeExt/NICHE/jim-schwoebel_voicebook/chapter_2_collection/pyAudioAnalysis3/audioBasicIO.py,"Class 'audioBasicIO' has a high LCOM value of 1, indicating it may have multiple responsibilities."
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,audioFeatureExtraction,Insufficient modularization,audioFeatureExtraction,1,/Volumes/BrokeExt/NICHE/jim-schwoebel_voicebook/chapter_2_collection/pyAudioAnalysis3/audioFeatureExtraction.py,"Module 'audioFeatureExtraction' is insufficiently modularized with NOPM: 24, WMC: 87, NOM: 24."
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,audioSegmentation,Insufficient modularization,audioSegmentation,1,/Volumes/BrokeExt/NICHE/jim-schwoebel_voicebook/chapter_2_collection/pyAudioAnalysis3/audioSegmentation.py,"Module 'audioSegmentation' is insufficiently modularized with NOPM: 18, WMC: 127, NOM: 18."
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,audioTrainTest,Insufficient modularization,audioTrainTest,1,/Volumes/BrokeExt/NICHE/jim-schwoebel_voicebook/chapter_2_collection/pyAudioAnalysis3/audioTrainTest.py,"Module 'audioTrainTest' is insufficiently modularized with NOPM: 32, WMC: 154, NOM: 32."
jim-schwoebel_voicebook.chapter_3_featurization,audioset_features,Multifaceted abstraction,audioset_features,1,/Volumes/BrokeExt/NICHE/jim-schwoebel_voicebook/chapter_3_featurization/audioset_features.py,"Class 'audioset_features' has a high LCOM value of 1, indicating it may have multiple responsibilities."
jim-schwoebel_voicebook.chapter_4_modeling,load_textclassify,Multifaceted abstraction,load_textclassify,1,/Volumes/BrokeExt/NICHE/jim-schwoebel_voicebook/chapter_4_modeling/load_textclassify.py,"Class 'load_textclassify' has a high LCOM value of 1, indicating it may have multiple responsibilities."
jim-schwoebel_voicebook.chapter_4_modeling,train_textclassify,Multifaceted abstraction,train_textclassify,1,/Volumes/BrokeExt/NICHE/jim-schwoebel_voicebook/chapter_4_modeling/train_textclassify.py,"Class 'train_textclassify' has a high LCOM value of 1, indicating it may have multiple responsibilities."
jim-schwoebel_voicebook.chapter_4_modeling,train_w2vclassify,Multifaceted abstraction,train_w2vclassify,1,/Volumes/BrokeExt/NICHE/jim-schwoebel_voicebook/chapter_4_modeling/train_w2vclassify.py,"Class 'train_w2vclassify' has a high LCOM value of 1, indicating it may have multiple responsibilities."
jim-schwoebel_voicebook.chapter_5_generation,make_vchatbot,Multifaceted abstraction,make_vchatbot,1,/Volumes/BrokeExt/NICHE/jim-schwoebel_voicebook/chapter_5_generation/make_vchatbot.py,"Class 'make_vchatbot' has a high LCOM value of 1, indicating it may have multiple responsibilities."
jim-schwoebel_voicebook.chapter_6_visualization,meta_multi,Multifaceted abstraction,meta_multi,1,/Volumes/BrokeExt/NICHE/jim-schwoebel_voicebook/chapter_6_visualization/meta_multi.py,"Class 'meta_multi' has a high LCOM value of 1, indicating it may have multiple responsibilities."
jim-schwoebel_voicebook.chapter_6_visualization,meta_stream,Multifaceted abstraction,meta_stream,1,/Volumes/BrokeExt/NICHE/jim-schwoebel_voicebook/chapter_6_visualization/meta_stream.py,"Class 'meta_stream' has a high LCOM value of 1, indicating it may have multiple responsibilities."
jim-schwoebel_voicebook.chapter_6_visualization,meta_streamall,Multifaceted abstraction,meta_streamall,1,/Volumes/BrokeExt/NICHE/jim-schwoebel_voicebook/chapter_6_visualization/meta_streamall.py,"Class 'meta_streamall' has a high LCOM value of 1, indicating it may have multiple responsibilities."
jim-schwoebel_voicebook.chapter_6_visualization,mixed_path,Multifaceted abstraction,mixed_path,1,/Volumes/BrokeExt/NICHE/jim-schwoebel_voicebook/chapter_6_visualization/mixed_path.py,"Class 'mixed_path' has a high LCOM value of 1, indicating it may have multiple responsibilities."
jim-schwoebel_voicebook.chapter_6_visualization,mixed_stream,Multifaceted abstraction,mixed_stream,1,/Volumes/BrokeExt/NICHE/jim-schwoebel_voicebook/chapter_6_visualization/mixed_stream.py,"Class 'mixed_stream' has a high LCOM value of 1, indicating it may have multiple responsibilities."
jim-schwoebel_voicebook.chapter_6_visualization,text_path,Multifaceted abstraction,text_path,1,/Volumes/BrokeExt/NICHE/jim-schwoebel_voicebook/chapter_6_visualization/text_path.py,"Class 'text_path' has a high LCOM value of 1, indicating it may have multiple responsibilities."
jim-schwoebel_voicebook.chapter_7_design,bluetooth,Multifaceted abstraction,bluetooth,1,/Volumes/BrokeExt/NICHE/jim-schwoebel_voicebook/chapter_7_design/bluetooth.py,"Class 'bluetooth' has a high LCOM value of 1, indicating it may have multiple responsibilities."
jim-schwoebel_voicebook.chapter_7_design.snowboy,demo4,Multifaceted abstraction,demo4,1,/Volumes/BrokeExt/NICHE/jim-schwoebel_voicebook/chapter_7_design/snowboy/demo4.py,"Class 'demo4' has a high LCOM value of 1, indicating it may have multiple responsibilities."
