Package,Module,Smell,Class/Module,Line no,File,Details
learnables_learn2learn.learn2learn.gym.envs,meta_env,Wide hierarchy,MetaEnv,0,/Volumes/BrokeExt/NICHE/learnables_learn2learn/learn2learn/gym/envs/meta_env.py,Class 'MetaEnv' has a wide hierarchy with 7 direct subclasses.
learnables_learn2learn.tests.integration,maml_miniimagenet_test_notravis,Multifaceted abstraction,MAMLMiniImagenetIntegrationTests,183,/Volumes/BrokeExt/NICHE/learnables_learn2learn/tests/integration/maml_miniimagenet_test_notravis.py,"Class 'MAMLMiniImagenetIntegrationTests' has a high LCOM value of 1, indicating it may have multiple responsibilities."
learnables_learn2learn.tests.integration,maml_omniglot_test,Multifaceted abstraction,MAMLOmniglotIntegrationTests,200,/Volumes/BrokeExt/NICHE/learnables_learn2learn/tests/integration/maml_omniglot_test.py,"Class 'MAMLOmniglotIntegrationTests' has a high LCOM value of 1, indicating it may have multiple responsibilities."
learnables_learn2learn.tests.integration,protonets_miniimagenet_test_notravis,Multifaceted abstraction,ProtoNetMiniImageNetIntegrationTests,241,/Volumes/BrokeExt/NICHE/learnables_learn2learn/tests/integration/protonets_miniimagenet_test_notravis.py,"Class 'ProtoNetMiniImageNetIntegrationTests' has a high LCOM value of 1, indicating it may have multiple responsibilities."
learnables_learn2learn.tests.unit.data,metadataset_test,Multifaceted abstraction,TestMetaDataset,14,/Volumes/BrokeExt/NICHE/learnables_learn2learn/tests/unit/data/metadataset_test.py,"Class 'TestMetaDataset' has a high LCOM value of 1, indicating it may have multiple responsibilities."
learnables_learn2learn.tests.unit.data,utils_test,Multifaceted abstraction,DataUtilsTests,14,/Volumes/BrokeExt/NICHE/learnables_learn2learn/tests/unit/data/utils_test.py,"Class 'DataUtilsTests' has a high LCOM value of 1, indicating it may have multiple responsibilities."
learnables_learn2learn.tests.unit.nn,metaoptnet_test_notravis,Multifaceted abstraction,SVClassifierTests,15,/Volumes/BrokeExt/NICHE/learnables_learn2learn/tests/unit/nn/metaoptnet_test_notravis.py,"Class 'SVClassifierTests' has a high LCOM value of 1, indicating it may have multiple responsibilities."
learnables_learn2learn.tests.unit.nn,protonet_test,Multifaceted abstraction,PrototypicalClassifierTests,15,/Volumes/BrokeExt/NICHE/learnables_learn2learn/tests/unit/nn/protonet_test.py,"Class 'PrototypicalClassifierTests' has a high LCOM value of 1, indicating it may have multiple responsibilities."
learnables_learn2learn.tests.unit.vision,benchmarks_test_notravis,Multifaceted abstraction,UtilTests,11,/Volumes/BrokeExt/NICHE/learnables_learn2learn/tests/unit/vision/benchmarks_test_notravis.py,"Class 'UtilTests' has a high LCOM value of 1, indicating it may have multiple responsibilities."
learnables_learn2learn.tests.unit.vision,cifarfs_test_notravis,Multifaceted abstraction,CIFARFSTests,8,/Volumes/BrokeExt/NICHE/learnables_learn2learn/tests/unit/vision/cifarfs_test_notravis.py,"Class 'CIFARFSTests' has a high LCOM value of 1, indicating it may have multiple responsibilities."
learnables_learn2learn.tests.unit.vision,cu_birds200_test_notravis,Multifaceted abstraction,BirdsTests,8,/Volumes/BrokeExt/NICHE/learnables_learn2learn/tests/unit/vision/cu_birds200_test_notravis.py,"Class 'BirdsTests' has a high LCOM value of 1, indicating it may have multiple responsibilities."
learnables_learn2learn.tests.unit.vision,describable_textures_test_notravis,Multifaceted abstraction,DTDTests,8,/Volumes/BrokeExt/NICHE/learnables_learn2learn/tests/unit/vision/describable_textures_test_notravis.py,"Class 'DTDTests' has a high LCOM value of 1, indicating it may have multiple responsibilities."
learnables_learn2learn.tests.unit.vision,fc100_test_notravis,Multifaceted abstraction,FC100Tests,8,/Volumes/BrokeExt/NICHE/learnables_learn2learn/tests/unit/vision/fc100_test_notravis.py,"Class 'FC100Tests' has a high LCOM value of 1, indicating it may have multiple responsibilities."
learnables_learn2learn.tests.unit.vision,fgvc_aircraft_test_notravis,Multifaceted abstraction,AircraftTests,8,/Volumes/BrokeExt/NICHE/learnables_learn2learn/tests/unit/vision/fgvc_aircraft_test_notravis.py,"Class 'AircraftTests' has a high LCOM value of 1, indicating it may have multiple responsibilities."
learnables_learn2learn.tests.unit.vision,pretrained_backbones_notravis,Multifaceted abstraction,PretrainedBackboneTests,9,/Volumes/BrokeExt/NICHE/learnables_learn2learn/tests/unit/vision/pretrained_backbones_notravis.py,"Class 'PretrainedBackboneTests' has a high LCOM value of 1, indicating it may have multiple responsibilities."
learnables_learn2learn.tests.unit.vision,quickdraw_test_no,Multifaceted abstraction,QuickdrawTests,8,/Volumes/BrokeExt/NICHE/learnables_learn2learn/tests/unit/vision/quickdraw_test_no.py,"Class 'QuickdrawTests' has a high LCOM value of 1, indicating it may have multiple responsibilities."
learnables_learn2learn.tests.unit.vision,tiered_imagenet_test_notravis,Multifaceted abstraction,TieredImagenetTests,8,/Volumes/BrokeExt/NICHE/learnables_learn2learn/tests/unit/vision/tiered_imagenet_test_notravis.py,"Class 'TieredImagenetTests' has a high LCOM value of 1, indicating it may have multiple responsibilities."
learnables_learn2learn.tests.unit.vision,transform_test_notravis,Multifaceted abstraction,RandomRotateTest,34,/Volumes/BrokeExt/NICHE/learnables_learn2learn/tests/unit/vision/transform_test_notravis.py,"Class 'RandomRotateTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
learnables_learn2learn.tests.unit.vision,vgg_flowers_test_notravis,Multifaceted abstraction,FlowersTests,8,/Volumes/BrokeExt/NICHE/learnables_learn2learn/tests/unit/vision/vgg_flowers_test_notravis.py,"Class 'FlowersTests' has a high LCOM value of 1, indicating it may have multiple responsibilities."
