Package,Module,Smell,Class/Module,Line no,File,Details
MAIF_melusine.docs.docs_src.Configurations,tutorial001,Multifaceted abstraction,tutorial001,1,/Volumes/BrokeExt/NICHE/MAIF_melusine/docs/docs_src/Configurations/tutorial001.py,"Class 'tutorial001' has a high LCOM value of 1, indicating it may have multiple responsibilities."
MAIF_melusine.docs.docs_src.MelusineDetectors,tutorial001,Multifaceted abstraction,MyCustomDetector,9,/Volumes/BrokeExt/NICHE/MAIF_melusine/docs/docs_src/MelusineDetectors/tutorial001.py,"Class 'MyCustomDetector' has a high LCOM value of 1, indicating it may have multiple responsibilities."
MAIF_melusine.docs.docs_src.MelusineDetectors,tutorial001,Rebellious hierarchy,MyCustomDetector,9,/Volumes/BrokeExt/NICHE/MAIF_melusine/docs/docs_src/MelusineDetectors/tutorial001.py,Class 'MyCustomDetector' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: transform_methods.
MAIF_melusine.docs.docs_src.MelusineDetectors,tutorial004,Multifaceted abstraction,MyCustomDetector,9,/Volumes/BrokeExt/NICHE/MAIF_melusine/docs/docs_src/MelusineDetectors/tutorial004.py,"Class 'MyCustomDetector' has a high LCOM value of 1, indicating it may have multiple responsibilities."
MAIF_melusine.docs.docs_src.MelusineDetectors,tutorial004,Rebellious hierarchy,MyCustomDetector,9,/Volumes/BrokeExt/NICHE/MAIF_melusine/docs/docs_src/MelusineDetectors/tutorial004.py,Class 'MyCustomDetector' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: transform_methods.
MAIF_melusine.melusine,base,Broken hierarchy,MelusineTransformer,48,/Volumes/BrokeExt/NICHE/MAIF_melusine/melusine/base.py,Class 'MelusineTransformer' and its superclass 'IoMixin' may not share a proper 'IS-A' relationship.
MAIF_melusine.melusine,base,Wide hierarchy,MelusineTransformer,0,/Volumes/BrokeExt/NICHE/MAIF_melusine/melusine/base.py,Class 'MelusineTransformer' has a wide hierarchy with 13 direct subclasses.
MAIF_melusine.melusine,base,Wide hierarchy,MelusineDetector,0,/Volumes/BrokeExt/NICHE/MAIF_melusine/melusine/base.py,Class 'MelusineDetector' has a wide hierarchy with 8 direct subclasses.
MAIF_melusine.melusine,base,Wide hierarchy,MelusineRegex,0,/Volumes/BrokeExt/NICHE/MAIF_melusine/melusine/base.py,Class 'MelusineRegex' has a wide hierarchy with 7 direct subclasses.
MAIF_melusine.melusine,processors,Insufficient modularization,processors,1,/Volumes/BrokeExt/NICHE/MAIF_melusine/melusine/processors.py,"Module 'processors' is insufficiently modularized with NOPM: 0, WMC: 133, NOM: 0."
