Package,Module,Smell,Class/Module,Line no,File,Details
facebookresearch_EGG.egg.core,baselines,Multifaceted abstraction,NoBaseline,28,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/baselines.py,"Class 'NoBaseline' has a high LCOM value of 1, indicating it may have multiple responsibilities."
facebookresearch_EGG.egg.core,baselines,Multifaceted abstraction,BuiltInBaseline,67,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/baselines.py,"Class 'BuiltInBaseline' has a high LCOM value of 1, indicating it may have multiple responsibilities."
facebookresearch_EGG.egg.core,baselines,Rebellious hierarchy,NoBaseline,28,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/baselines.py,"Class 'NoBaseline' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: update, predict."
facebookresearch_EGG.egg.core,baselines,Rebellious hierarchy,BuiltInBaseline,67,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/baselines.py,Class 'BuiltInBaseline' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: update.
facebookresearch_EGG.egg.core,callbacks,Multifaceted abstraction,Callback,33,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/callbacks.py,"Class 'Callback' has a high LCOM value of 1, indicating it may have multiple responsibilities."
facebookresearch_EGG.egg.core,callbacks,Wide hierarchy,Callback,0,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/callbacks.py,Class 'Callback' has a wide hierarchy with 18 direct subclasses.
facebookresearch_EGG.egg.core,interaction,Multifaceted abstraction,LoggingStrategy,16,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/interaction.py,"Class 'LoggingStrategy' has a high LCOM value of 1, indicating it may have multiple responsibilities."
facebookresearch_EGG.egg.zoo.compo_vs_generalization,data,Multifaceted abstraction,data,1,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/zoo/compo_vs_generalization/data.py,"Class 'data' has a high LCOM value of 1, indicating it may have multiple responsibilities."
facebookresearch_EGG.egg.zoo.dsprites_bvae,train,Multifaceted abstraction,train,1,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/zoo/dsprites_bvae/train.py,"Class 'train' has a high LCOM value of 1, indicating it may have multiple responsibilities."
facebookresearch_EGG.egg.zoo.emcom_as_ssl,game_callbacks,Multifaceted abstraction,DistributedSamplerEpochSetter,122,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/zoo/emcom_as_ssl/game_callbacks.py,"Class 'DistributedSamplerEpochSetter' has a high LCOM value of 1, indicating it may have multiple responsibilities."
facebookresearch_EGG.egg.zoo.emcom_as_ssl.scripts,utils,Multifaceted abstraction,utils,1,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/zoo/emcom_as_ssl/scripts/utils.py,"Class 'utils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
facebookresearch_EGG.egg.zoo.external_game,game,Multifaceted abstraction,game,1,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/zoo/external_game/game.py,"Class 'game' has a high LCOM value of 1, indicating it may have multiple responsibilities."
facebookresearch_EGG.egg.zoo.signal_game,train,Multifaceted abstraction,train,1,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/zoo/signal_game/train.py,"Class 'train' has a high LCOM value of 1, indicating it may have multiple responsibilities."
facebookresearch_EGG.tests,test_agent_wrappers,Multifaceted abstraction,test_agent_wrappers,1,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/tests/test_agent_wrappers.py,"Class 'test_agent_wrappers' has a high LCOM value of 1, indicating it may have multiple responsibilities."
facebookresearch_EGG.tests,test_trainer,Multifaceted abstraction,test_trainer,1,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/tests/test_trainer.py,"Class 'test_trainer' has a high LCOM value of 1, indicating it may have multiple responsibilities."
