Package,Module,Smell,Class/Module,Line no,File,Details
DSE-MSU_DeepRobust.deeprobust.graph,utils,Insufficient modularization,utils,1,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/deeprobust/graph/utils.py,"Module 'utils' is insufficiently modularized with NOPM: 39, WMC: 66, NOM: 39."
DSE-MSU_DeepRobust.deeprobust.graph.data,pyg_dataset,Broken modularization,Pyg2Dpr,105,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/deeprobust/graph/data/pyg_dataset.py,Class 'Pyg2Dpr' contains only data members without any method implementations.
DSE-MSU_DeepRobust.deeprobust.graph.defense,gcn_preprocess,Multifaceted abstraction,gcn_preprocess,1,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/deeprobust/graph/defense/gcn_preprocess.py,"Class 'gcn_preprocess' has a high LCOM value of 1, indicating it may have multiple responsibilities."
DSE-MSU_DeepRobust.deeprobust.graph.defense_pyg,base_model,Wide hierarchy,BaseModel,0,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/deeprobust/graph/defense_pyg/base_model.py,Class 'BaseModel' has a wide hierarchy with 6 direct subclasses.
DSE-MSU_DeepRobust.deeprobust.graph.global_attack,base_attack,Multifaceted abstraction,BaseAttack,11,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/deeprobust/graph/global_attack/base_attack.py,"Class 'BaseAttack' has a high LCOM value of 1, indicating it may have multiple responsibilities."
DSE-MSU_DeepRobust.deeprobust.graph.global_attack,base_attack,Wide hierarchy,BaseAttack,0,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/deeprobust/graph/global_attack/base_attack.py,Class 'BaseAttack' has a wide hierarchy with 19 direct subclasses.
DSE-MSU_DeepRobust.deeprobust.graph.global_attack,prbcd,Multifaceted abstraction,prbcd,1,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/deeprobust/graph/global_attack/prbcd.py,"Class 'prbcd' has a high LCOM value of 1, indicating it may have multiple responsibilities."
DSE-MSU_DeepRobust.deeprobust.graph.targeted_attack,base_attack,Multifaceted abstraction,BaseAttack,7,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/deeprobust/graph/targeted_attack/base_attack.py,"Class 'BaseAttack' has a high LCOM value of 1, indicating it may have multiple responsibilities."
DSE-MSU_DeepRobust.deeprobust.image,evaluation_attack,Multifaceted abstraction,evaluation_attack,1,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/deeprobust/image/evaluation_attack.py,"Class 'evaluation_attack' has a high LCOM value of 1, indicating it may have multiple responsibilities."
DSE-MSU_DeepRobust.deeprobust.image.netmodels,densenet,Multifaceted abstraction,densenet,1,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/deeprobust/image/netmodels/densenet.py,"Class 'densenet' has a high LCOM value of 1, indicating it may have multiple responsibilities."
DSE-MSU_DeepRobust.deeprobust.image.netmodels,resnet,Multifaceted abstraction,resnet,1,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/deeprobust/image/netmodels/resnet.py,"Class 'resnet' has a high LCOM value of 1, indicating it may have multiple responsibilities."
