Package,Module,Smell,Class/Module,Line no,File,Details
PacktPublishing_Deep-Reinforcement-Learning-Hands-On.Chapter06.lib,wrappers,Multifaceted abstraction,FireResetEnv,8,/Volumes/BrokeExt/NICHE/PacktPublishing_Deep-Reinforcement-Learning-Hands-On/Chapter06/lib/wrappers.py,"Class 'FireResetEnv' has a high LCOM value of 1, indicating it may have multiple responsibilities."
PacktPublishing_Deep-Reinforcement-Learning-Hands-On.Chapter06.lib,wrappers,Multifaceted abstraction,ProcessFrame84,57,/Volumes/BrokeExt/NICHE/PacktPublishing_Deep-Reinforcement-Learning-Hands-On/Chapter06/lib/wrappers.py,"Class 'ProcessFrame84' has a high LCOM value of 1, indicating it may have multiple responsibilities."
PacktPublishing_Deep-Reinforcement-Learning-Hands-On.Chapter08.tests,test_data,Multifaceted abstraction,TestMisc,6,/Volumes/BrokeExt/NICHE/PacktPublishing_Deep-Reinforcement-Learning-Hands-On/Chapter08/tests/test_data.py,"Class 'TestMisc' has a high LCOM value of 1, indicating it may have multiple responsibilities."
PacktPublishing_Deep-Reinforcement-Learning-Hands-On.Chapter08.tests,test_environ,Multifaceted abstraction,TestStates,16,/Volumes/BrokeExt/NICHE/PacktPublishing_Deep-Reinforcement-Learning-Hands-On/Chapter08/tests/test_environ.py,"Class 'TestStates' has a high LCOM value of 1, indicating it may have multiple responsibilities."
PacktPublishing_Deep-Reinforcement-Learning-Hands-On.Chapter13.lib,wob_vnc,Multifaceted abstraction,wob_vnc,1,/Volumes/BrokeExt/NICHE/PacktPublishing_Deep-Reinforcement-Learning-Hands-On/Chapter13/lib/wob_vnc.py,"Class 'wob_vnc' has a high LCOM value of 1, indicating it may have multiple responsibilities."
PacktPublishing_Deep-Reinforcement-Learning-Hands-On.Chapter13.lib.ksy,fbs,Broken modularization,Fbs,15,/Volumes/BrokeExt/NICHE/PacktPublishing_Deep-Reinforcement-Learning-Hands-On/Chapter13/lib/ksy/fbs.py,Class 'Fbs' contains only data members without any method implementations.
PacktPublishing_Deep-Reinforcement-Learning-Hands-On.Chapter13.lib.ksy,rfp_client,Broken modularization,RfpClient,15,/Volumes/BrokeExt/NICHE/PacktPublishing_Deep-Reinforcement-Learning-Hands-On/Chapter13/lib/ksy/rfp_client.py,Class 'RfpClient' contains only data members without any method implementations.
PacktPublishing_Deep-Reinforcement-Learning-Hands-On.Chapter13.lib.ksy,rfp_server,Broken modularization,RfpServer,15,/Volumes/BrokeExt/NICHE/PacktPublishing_Deep-Reinforcement-Learning-Hands-On/Chapter13/lib/ksy/rfp_server.py,Class 'RfpServer' contains only data members without any method implementations.
PacktPublishing_Deep-Reinforcement-Learning-Hands-On.Chapter15,03_train_trpo,Multifaceted abstraction,03_train_trpo,1,/Volumes/BrokeExt/NICHE/PacktPublishing_Deep-Reinforcement-Learning-Hands-On/Chapter15/03_train_trpo.py,"Class '03_train_trpo' has a high LCOM value of 1, indicating it may have multiple responsibilities."
PacktPublishing_Deep-Reinforcement-Learning-Hands-On.Chapter15,04_train_ppo,Multifaceted abstraction,04_train_ppo,1,/Volumes/BrokeExt/NICHE/PacktPublishing_Deep-Reinforcement-Learning-Hands-On/Chapter15/04_train_ppo.py,"Class '04_train_ppo' has a high LCOM value of 1, indicating it may have multiple responsibilities."
PacktPublishing_Deep-Reinforcement-Learning-Hands-On.Chapter16,05_cheetah_ga_batch,Multifaceted abstraction,MultiNoiseLinear,27,/Volumes/BrokeExt/NICHE/PacktPublishing_Deep-Reinforcement-Learning-Hands-On/Chapter16/05_cheetah_ga_batch.py,"Class 'MultiNoiseLinear' has a high LCOM value of 1, indicating it may have multiple responsibilities."
PacktPublishing_Deep-Reinforcement-Learning-Hands-On.Chapter18.tests,test_game,Multifaceted abstraction,TestMoveFunctions,40,/Volumes/BrokeExt/NICHE/PacktPublishing_Deep-Reinforcement-Learning-Hands-On/Chapter18/tests/test_game.py,"Class 'TestMoveFunctions' has a high LCOM value of 1, indicating it may have multiple responsibilities."
