Package,Module,Smell,Class/Module,Line no,File,Details
keiohta_tf2rl.examples,run_apex_ddpg,Multifaceted abstraction,run_apex_ddpg,1,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/examples/run_apex_ddpg.py,"Class 'run_apex_ddpg' has a high LCOM value of 1, indicating it may have multiple responsibilities."
keiohta_tf2rl.tests.algos,common,Broken hierarchy,CommonOnPolActorCritic,144,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/tests/algos/common.py,Class 'CommonOnPolActorCritic' and its superclass 'CommonAlgos' may not share a proper 'IS-A' relationship.
keiohta_tf2rl.tests.algos,common,Multifaceted abstraction,CommonOffPolAlgos,30,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/tests/algos/common.py,"Class 'CommonOffPolAlgos' has a high LCOM value of 1, indicating it may have multiple responsibilities."
keiohta_tf2rl.tests.algos,common,Multifaceted abstraction,CommonIRLAlgos,218,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/tests/algos/common.py,"Class 'CommonIRLAlgos' has a high LCOM value of 1, indicating it may have multiple responsibilities."
keiohta_tf2rl.tests.algos,common,Wide hierarchy,CommonOffPolContinuousAlgos,0,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/tests/algos/common.py,Class 'CommonOffPolContinuousAlgos' has a wide hierarchy with 7 direct subclasses.
keiohta_tf2rl.tests.algos,common,Wide hierarchy,CommonOffPolDiscreteAlgos,0,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/tests/algos/common.py,Class 'CommonOffPolDiscreteAlgos' has a wide hierarchy with 7 direct subclasses.
keiohta_tf2rl.tests.algos,test_apex,Multifaceted abstraction,TestApeX,10,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/tests/algos/test_apex.py,"Class 'TestApeX' has a high LCOM value of 1, indicating it may have multiple responsibilities."
keiohta_tf2rl.tests.algos,test_apex,Multifaceted abstraction,test_apex,1,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/tests/algos/test_apex.py,"Class 'test_apex' has a high LCOM value of 1, indicating it may have multiple responsibilities."
keiohta_tf2rl.tests.algos,test_dqn,Multifaceted abstraction,TestNoisyDQN,35,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/tests/algos/test_dqn.py,"Class 'TestNoisyDQN' has a high LCOM value of 1, indicating it may have multiple responsibilities."
keiohta_tf2rl.tests.envs,test_multi_thread_env,Multifaceted abstraction,TestMultiThreadEnv,8,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/tests/envs/test_multi_thread_env.py,"Class 'TestMultiThreadEnv' has a high LCOM value of 1, indicating it may have multiple responsibilities."
