Package,Module,Smell,Class/Module,Line no,File,Details
pytorch_examples.distributed.FSDP.model_checkpointing,checkpoint_handler,Multifaceted abstraction,checkpoint_handler,1,/Volumes/BrokeExt/NICHE/pytorch_examples/distributed/FSDP/model_checkpointing/checkpoint_handler.py,"Class 'checkpoint_handler' has a high LCOM value of 1, indicating it may have multiple responsibilities."
pytorch_examples.distributed.FSDP.utils,train_utils,Multifaceted abstraction,train_utils,1,/Volumes/BrokeExt/NICHE/pytorch_examples/distributed/FSDP/utils/train_utils.py,"Class 'train_utils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
pytorch_examples.distributed.rpc.rl,main,Multifaceted abstraction,main,1,/Volumes/BrokeExt/NICHE/pytorch_examples/distributed/rpc/rl/main.py,"Class 'main' has a high LCOM value of 1, indicating it may have multiple responsibilities."
pytorch_examples.distributed.rpc.rnn,rnn,Multifaceted abstraction,rnn,1,/Volumes/BrokeExt/NICHE/pytorch_examples/distributed/rpc/rnn/rnn.py,"Class 'rnn' has a high LCOM value of 1, indicating it may have multiple responsibilities."
pytorch_examples.distributed.tensor_parallelism,log_utils,Multifaceted abstraction,log_utils,1,/Volumes/BrokeExt/NICHE/pytorch_examples/distributed/tensor_parallelism/log_utils.py,"Class 'log_utils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
pytorch_examples.fast_neural_style.neural_style,utils,Multifaceted abstraction,utils,1,/Volumes/BrokeExt/NICHE/pytorch_examples/fast_neural_style/neural_style/utils.py,"Class 'utils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
pytorch_examples.fx,invert,Multifaceted abstraction,invert,1,/Volumes/BrokeExt/NICHE/pytorch_examples/fx/invert.py,"Class 'invert' has a high LCOM value of 1, indicating it may have multiple responsibilities."
pytorch_examples.fx,primitive_library,Multifaceted abstraction,primitive_library,1,/Volumes/BrokeExt/NICHE/pytorch_examples/fx/primitive_library.py,"Class 'primitive_library' has a high LCOM value of 1, indicating it may have multiple responsibilities."
pytorch_examples.legacy.snli,model,Broken hierarchy,Linear,15,/Volumes/BrokeExt/NICHE/pytorch_examples/legacy/snli/model.py,Class 'Linear' and its superclass 'Bottle' may not share a proper 'IS-A' relationship.
pytorch_examples.super_resolution,main,Multifaceted abstraction,main,1,/Volumes/BrokeExt/NICHE/pytorch_examples/super_resolution/main.py,"Class 'main' has a high LCOM value of 1, indicating it may have multiple responsibilities."
