Package,Module,Class,Function,LOC,CC,PC
LiberAI_NSpM.gsoc.anand..pipeline_2,decision_tree,,decision_tree,69,10,6
LiberAI_NSpM.gsoc.anand..pipeline_2,decision_tree,,orignal_decision_tree,69,10,6
LiberAI_NSpM.gsoc.anand..pipeline_2,final_formatting,,final_formatting,74,17,7
LiberAI_NSpM.gsoc.anand..pipeline_2,get_properties,,get_properties,28,5,3
LiberAI_NSpM.gsoc.anand..pipeline_2,integrate,,integrate,64,7,6
LiberAI_NSpM.gsoc.anand..pipeline_2,sparql_generator,,sparql_generator,46,6,6
LiberAI_NSpM.gsoc.anand.pipeline_1.pipeline_1_composite,composite_template,,composite_template,60,10,7
LiberAI_NSpM.gsoc.anand.pipeline_1.pipeline_1_composite,decision_tree,,decision_tree,65,7,6
LiberAI_NSpM.gsoc.anand.pipeline_1.pipeline_1_composite,final_formatting,,final_formatting,74,17,7
LiberAI_NSpM.gsoc.anand.pipeline_1.pipeline_1_composite,get_properties,,get_properties,28,5,3
LiberAI_NSpM.gsoc.anand.pipeline_1.pipeline_1_composite,integrate,,integrate,64,7,6
LiberAI_NSpM.gsoc.anand.pipeline_1.pipeline_1_composite,range_place,,range_place,59,21,6
LiberAI_NSpM.gsoc.anand.pipeline_1.pipeline_1_composite,sparql_generator,,sparql_generator,46,6,6
LiberAI_NSpM.gsoc.anand.pipeline_1.pipeline_1_simple,decision_tree,,decision_tree,66,7,6
LiberAI_NSpM.gsoc.anand.pipeline_1.pipeline_1_simple,final_formatting,,final_formatting,74,17,7
LiberAI_NSpM.gsoc.anand.pipeline_1.pipeline_1_simple,get_properties,,get_properties,28,5,3
LiberAI_NSpM.gsoc.anand.pipeline_1.pipeline_1_simple,integrate,,integrate,64,7,6
LiberAI_NSpM.gsoc.anand.pipeline_1.pipeline_1_simple,sparql_generator,,sparql_generator,46,6,6
LiberAI_NSpM.gsoc.anand.pipeline_3..pipeline_3,eliminator,,eliminator,11,3,3
LiberAI_NSpM.gsoc.anand.pipeline_3..pipeline_3,fetch_ranks_sub,,fetch_ranks,7,2,1
LiberAI_NSpM.gsoc.anand.pipeline_3..pipeline_3,generate_templates,,generate_templates,23,3,4
LiberAI_NSpM.gsoc.anand.pipeline_3..pipeline_3,generate_url,,get_url,5,1,1
LiberAI_NSpM.gsoc.anand.pipeline_3..pipeline_3,generate_url,,generate_url,29,9,1
LiberAI_NSpM.gsoc.anand.pipeline_3..pipeline_3,generate_url,,generate_url_spec,37,14,1
LiberAI_NSpM.gsoc.anand.pipeline_3..pipeline_3,get_properties,,get_properties,29,5,3
LiberAI_NSpM.gsoc.anand.pipeline_3..pipeline_3,sentence_and_template_generator,,rank_check,33,8,4
LiberAI_NSpM.gsoc.anand.pipeline_3..pipeline_3,sentence_and_template_generator,,check_query,17,2,2
LiberAI_NSpM.gsoc.anand.pipeline_3..pipeline_3,sentence_and_template_generator,,sentence_and_template_generator,66,21,11
LiberAI_NSpM.gsoc.anand.pipeline_3.pipeline_3_with_controlled_test_set,eliminator,,eliminator,16,4,0
LiberAI_NSpM.gsoc.anand.pipeline_3.pipeline_3_with_controlled_test_set,fetch_ranks,,fetch_ranks,9,2,1
LiberAI_NSpM.gsoc.anand.pipeline_3.pipeline_3_with_controlled_test_set,fetch_ranks_sub,,fetch_ranks,9,2,1
LiberAI_NSpM.gsoc.anand.pipeline_3.pipeline_3_with_controlled_test_set,generate_templates,,generate_templates,28,4,4
LiberAI_NSpM.gsoc.anand.pipeline_3.pipeline_3_with_controlled_test_set,generate_url,,get_url,5,1,1
LiberAI_NSpM.gsoc.anand.pipeline_3.pipeline_3_with_controlled_test_set,generate_url,,generate_url,29,9,1
LiberAI_NSpM.gsoc.anand.pipeline_3.pipeline_3_with_controlled_test_set,generate_url,,generate_url_spec,37,14,1
LiberAI_NSpM.gsoc.anand.pipeline_3.pipeline_3_with_controlled_test_set,get_properties,,get_properties,29,5,3
LiberAI_NSpM.gsoc.anand.pipeline_3.pipeline_3_with_controlled_test_set,question_generator,,question_generator,2,1,1
LiberAI_NSpM.gsoc.anand.pipeline_3.pipeline_3_with_controlled_test_set,sentence_and_template_generator,,rank_check,33,8,4
LiberAI_NSpM.gsoc.anand.pipeline_3.pipeline_3_with_controlled_test_set,sentence_and_template_generator,,check_query,18,2,2
LiberAI_NSpM.gsoc.anand.pipeline_3.pipeline_3_with_controlled_test_set,sentence_and_template_generator,,sentence_and_template_generator,72,23,13
LiberAI_NSpM.gsoc.anand.pipeline_3.utility.qald_json,interpreter,,interpreter,7,1,1
LiberAI_NSpM.gsoc.anand.pipeline_3.utility.vocab_extractor_from_model,embedding_extractor,,restore_session,3,1,1
LiberAI_NSpM.gsoc.anand.pipeline_3.utility.vocab_extractor_from_model,embedding_extractor,,test_word2vec,7,1,0
LiberAI_NSpM.gsoc.zheyuan.pipeline,basic_sentence_and_template_generator,,rank_check,36,9,4
LiberAI_NSpM.gsoc.zheyuan.pipeline,basic_sentence_and_template_generator,,check_query,22,3,2
LiberAI_NSpM.gsoc.zheyuan.pipeline,basic_sentence_and_template_generator,,basic_sentence_and_template_generator,113,30,18
