Package,Module,Class,Smell,Function/Method,Line no,File,Details
facebookresearch_EGG,setup,,Long statement,,11,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/setup.py,A line with 291 chars in setup exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,__init__,,Long statement,,63,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/__init__.py,A line with 1055 chars in __init__ exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,batch,Batch,Long statement,__getitem__,28,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/batch.py,A line with 390 chars in __getitem__ exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,batch,Batch,Long statement,__iter__,55,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/batch.py,A line with 428 chars in __iter__ exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,batch,Batch,Long statement,to,73,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/batch.py,A line with 184 chars in to exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,batch,Batch,Magic number,__getitem__,47,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/batch.py,Magic number 2 used in __getitem__.
facebookresearch_EGG.egg.core,batch,Batch,Magic number,__getitem__,49,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/batch.py,Magic number 3 used in __getitem__.
facebookresearch_EGG.egg.core,callbacks,ProgressBarLogger,Long method,__init__,412 - 464,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/callbacks.py,Method '__init__' is too long (41 lines).
facebookresearch_EGG.egg.core,callbacks,TemperatureUpdater,Long statement,__init__,166,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/callbacks.py,A line with 130 chars in __init__ exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,callbacks,CheckpointSaver,Long statement,__init__,195,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/callbacks.py,A line with 395 chars in __init__ exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,callbacks,CheckpointSaver,Long statement,save_checkpoint,219,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/callbacks.py,A line with 128 chars in save_checkpoint exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,callbacks,CheckpointSaver,Long statement,get_checkpoint,238,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/callbacks.py,A line with 199 chars in get_checkpoint exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,callbacks,CheckpointSaver,Long statement,natural_sort,253,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/callbacks.py,A line with 123 chars in natural_sort exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,callbacks,CustomProgress,Long statement,update_info_table,372,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/callbacks.py,A line with 136 chars in update_info_table exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,callbacks,ProgressBarLogger,Long statement,__init__,419,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/callbacks.py,A line with 307 chars in __init__ exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,callbacks,ProgressBarLogger,Long statement,__init__,431,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/callbacks.py,A line with 368 chars in __init__ exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,callbacks,ProgressBarLogger,Long statement,__init__,448,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/callbacks.py,A line with 159 chars in __init__ exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,callbacks,ProgressBarLogger,Long statement,__init__,457,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/callbacks.py,A line with 156 chars in __init__ exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,callbacks,ProgressBarLogger,Long statement,on_epoch_begin,478,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/callbacks.py,A line with 151 chars in on_epoch_begin exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,callbacks,ProgressBarLogger,Long statement,on_epoch_end,498,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/callbacks.py,A line with 151 chars in on_epoch_end exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,callbacks,ProgressBarLogger,Long statement,on_validation_begin,513,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/callbacks.py,A line with 148 chars in on_validation_begin exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,callbacks,ProgressBarLogger,Long statement,on_validation_end,534,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/callbacks.py,A line with 148 chars in on_validation_end exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,callbacks,TemperatureUpdater,Magic number,__init__,161,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/callbacks.py,Magic number 0.9 used in __init__.
facebookresearch_EGG.egg.core,callbacks,TemperatureUpdater,Magic number,__init__,161,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/callbacks.py,Magic number 0.1 used in __init__.
facebookresearch_EGG.egg.core,continuous_communication,SenderReceiverContinuousCommunication,Long identifier,,68,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/continuous_communication.py,Identifier'SenderReceiverContinuousCommunication' exceeds the maximum length of 30 characters.
facebookresearch_EGG.egg.core,continuous_communication,SenderReceiverContinuousCommunication,Long statement,__init__,77,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/continuous_communication.py,A line with 818 chars in __init__ exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,continuous_communication,SenderReceiverContinuousCommunication,Long statement,forward,118,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/continuous_communication.py,A line with 265 chars in forward exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,continuous_communication,ContinuousLinearSender,Magic number,__init__,20,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/continuous_communication.py,Magic number 64 used in __init__.
facebookresearch_EGG.egg.core,datasets,AttributesValuesWithDistractorsDataset,Long identifier,,114,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/datasets.py,Identifier'AttributesValuesWithDistractorsDataset' exceeds the maximum length of 30 characters.
facebookresearch_EGG.egg.core,datasets,AttributesValuesWithDistractorsIterator,Long identifier,,152,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/datasets.py,Identifier'AttributesValuesWithDistractorsIterator' exceeds the maximum length of 30 characters.
facebookresearch_EGG.egg.core,datasets,AttributesValuesWithDistractorsDataset,Long parameter list,__init__,128 - 140,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/datasets.py,"__init__ has 6 parameters, exceeding the max of 5."
facebookresearch_EGG.egg.core,datasets,AttributesValuesWithDistractorsDataset,Long statement,__iter__,143,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/datasets.py,A line with 132 chars in __iter__ exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,datasets,AttributesValuesWithDistractorsDataset,Magic number,__init__,135,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/datasets.py,Magic number 111 used in __init__.
facebookresearch_EGG.egg.core,distributed,,Long method,maybe_init_distributed,27 - 94,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/distributed.py,Method 'maybe_init_distributed' is too long (63 lines).
facebookresearch_EGG.egg.core,distributed,,Long statement,maybe_init_distributed,51,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/distributed.py,A line with 121 chars in maybe_init_distributed exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,early_stopping,EarlyStopperAccuracy,Long statement,__init__,50,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/early_stopping.py,A line with 461 chars in __init__ exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,gs_wrappers,SenderReceiverRnnGS,Long method,forward,492 - 556,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/gs_wrappers.py,Method 'forward' is too long (56 lines).
facebookresearch_EGG.egg.core,gs_wrappers,RnnSenderGS,Long parameter list,__init__,283 - 328,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/gs_wrappers.py,"__init__ has 9 parameters, exceeding the max of 5."
facebookresearch_EGG.egg.core,gs_wrappers,SenderReceiverRnnGS,Long parameter list,__init__,450 - 489,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/gs_wrappers.py,"__init__ has 6 parameters, exceeding the max of 5."
facebookresearch_EGG.egg.core,gs_wrappers,GumbelSoftmaxWrapper,Long statement,__init__,92,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/gs_wrappers.py,A line with 404 chars in __init__ exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,gs_wrappers,SymbolGameGS,Long statement,__init__,150,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/gs_wrappers.py,A line with 824 chars in __init__ exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,gs_wrappers,SymbolGameGS,Long statement,forward,189,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/gs_wrappers.py,A line with 271 chars in forward exceeds the maximum length of 120 characters.
facebookresearch_EGG.egg.core,gs_wrappers,RelaxedEmbedding,Long statement,forward,233,/Volumes/BrokeExt/NICHE/facebookresearch_EGG/egg/core/gs_wrappers.py,A line with 121 chars in forward exceeds the maximum length of 120 characters.
