Package,Module,Smell,Class/Module,Line no,File,Details
Tiiiger_QPyTorch.examples.IBM8,train,Multifaceted abstraction,train,1,/Volumes/BrokeExt/NICHE/Tiiiger_QPyTorch/examples/IBM8/train.py,"Class 'train' has a high LCOM value of 1, indicating it may have multiple responsibilities."
Tiiiger_QPyTorch.examples.IBM8,utils,Multifaceted abstraction,utils,1,/Volumes/BrokeExt/NICHE/Tiiiger_QPyTorch/examples/IBM8/utils.py,"Class 'utils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
Tiiiger_QPyTorch.examples.IBM8.models,preresnet,Broken modularization,PreResNet110,154,/Volumes/BrokeExt/NICHE/Tiiiger_QPyTorch/examples/IBM8/models/preresnet.py,Class 'PreResNet110' contains only data members without any method implementations.
Tiiiger_QPyTorch.examples.IBM8.models,preresnet,Broken modularization,PreResNet20,174,/Volumes/BrokeExt/NICHE/Tiiiger_QPyTorch/examples/IBM8/models/preresnet.py,Class 'PreResNet20' contains only data members without any method implementations.
Tiiiger_QPyTorch.examples.IBM8.models,vgg,Broken hierarchy,VGG16,124,/Volumes/BrokeExt/NICHE/Tiiiger_QPyTorch/examples/IBM8/models/vgg.py,Class 'VGG16' and its superclass 'Base' may not share a proper 'IS-A' relationship.
Tiiiger_QPyTorch.examples.IBM8.models,vgg,Broken hierarchy,VGG16BN,128,/Volumes/BrokeExt/NICHE/Tiiiger_QPyTorch/examples/IBM8/models/vgg.py,Class 'VGG16BN' and its superclass 'Base' may not share a proper 'IS-A' relationship.
Tiiiger_QPyTorch.examples.IBM8.models,vgg,Broken hierarchy,VGG19,132,/Volumes/BrokeExt/NICHE/Tiiiger_QPyTorch/examples/IBM8/models/vgg.py,Class 'VGG19' and its superclass 'Base' may not share a proper 'IS-A' relationship.
Tiiiger_QPyTorch.examples.IBM8.models,vgg,Broken hierarchy,VGG19BN,136,/Volumes/BrokeExt/NICHE/Tiiiger_QPyTorch/examples/IBM8/models/vgg.py,Class 'VGG19BN' and its superclass 'Base' may not share a proper 'IS-A' relationship.
Tiiiger_QPyTorch.examples.IBM8.models,vgg,Broken modularization,Base,103,/Volumes/BrokeExt/NICHE/Tiiiger_QPyTorch/examples/IBM8/models/vgg.py,Class 'Base' contains only data members without any method implementations.
Tiiiger_QPyTorch.examples.IBM8.models,vgg_low,Broken hierarchy,VGG16LP,138,/Volumes/BrokeExt/NICHE/Tiiiger_QPyTorch/examples/IBM8/models/vgg_low.py,Class 'VGG16LP' and its superclass 'Base' may not share a proper 'IS-A' relationship.
Tiiiger_QPyTorch.examples.IBM8.models,vgg_low,Broken hierarchy,VGG16BNLP,142,/Volumes/BrokeExt/NICHE/Tiiiger_QPyTorch/examples/IBM8/models/vgg_low.py,Class 'VGG16BNLP' and its superclass 'Base' may not share a proper 'IS-A' relationship.
Tiiiger_QPyTorch.examples.IBM8.models,vgg_low,Broken hierarchy,VGG19LP,146,/Volumes/BrokeExt/NICHE/Tiiiger_QPyTorch/examples/IBM8/models/vgg_low.py,Class 'VGG19LP' and its superclass 'Base' may not share a proper 'IS-A' relationship.
Tiiiger_QPyTorch.examples.IBM8.models,vgg_low,Broken hierarchy,VGG19BNLP,150,/Volumes/BrokeExt/NICHE/Tiiiger_QPyTorch/examples/IBM8/models/vgg_low.py,Class 'VGG19BNLP' and its superclass 'Base' may not share a proper 'IS-A' relationship.
Tiiiger_QPyTorch.examples.IBM8.models,vgg_low,Broken modularization,Base,117,/Volumes/BrokeExt/NICHE/Tiiiger_QPyTorch/examples/IBM8/models/vgg_low.py,Class 'Base' contains only data members without any method implementations.
Tiiiger_QPyTorch.examples.SWALP,utils,Multifaceted abstraction,utils,1,/Volumes/BrokeExt/NICHE/Tiiiger_QPyTorch/examples/SWALP/utils.py,"Class 'utils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
Tiiiger_QPyTorch.examples.SWALP,vgg,Broken hierarchy,VGG16,138,/Volumes/BrokeExt/NICHE/Tiiiger_QPyTorch/examples/SWALP/vgg.py,Class 'VGG16' and its superclass 'Base' may not share a proper 'IS-A' relationship.
Tiiiger_QPyTorch.examples.SWALP,vgg,Broken hierarchy,VGG16BN,142,/Volumes/BrokeExt/NICHE/Tiiiger_QPyTorch/examples/SWALP/vgg.py,Class 'VGG16BN' and its superclass 'Base' may not share a proper 'IS-A' relationship.
Tiiiger_QPyTorch.examples.SWALP,vgg,Broken hierarchy,VGG19,146,/Volumes/BrokeExt/NICHE/Tiiiger_QPyTorch/examples/SWALP/vgg.py,Class 'VGG19' and its superclass 'Base' may not share a proper 'IS-A' relationship.
