Package,Module,Smell,Class/Module,Line no,File,Details
onnx_onnx-tensorflow.onnx_tf,pb_wrapper,Broken modularization,OnnxNode,187,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/pb_wrapper.py,Class 'OnnxNode' contains only data members without any method implementations.
onnx_onnx-tensorflow.onnx_tf,pb_wrapper,Insufficient modularization,OnnxGraph,206,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/pb_wrapper.py,"Class 'OnnxGraph' is insufficiently modularized with NOPM: 25, WMC: 45, NOM: 30."
onnx_onnx-tensorflow.onnx_tf.common,__init__,Multifaceted abstraction,__init__,1,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/common/__init__.py,"Class '__init__' has a high LCOM value of 1, indicating it may have multiple responsibilities."
onnx_onnx-tensorflow.onnx_tf.common,attr_translator,Multifaceted abstraction,attr_translator,1,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/common/attr_translator.py,"Class 'attr_translator' has a high LCOM value of 1, indicating it may have multiple responsibilities."
onnx_onnx-tensorflow.onnx_tf.common,exception,Broken modularization,exception,1,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/common/exception.py,Module 'exception' contains only data members without any method implementations.
onnx_onnx-tensorflow.onnx_tf.handlers,backend_handler,Wide hierarchy,BackendHandler,0,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/handlers/backend_handler.py,Class 'BackendHandler' has a wide hierarchy with 166 direct subclasses.
onnx_onnx-tensorflow.onnx_tf.handlers,handler,Broken modularization,handler,1,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/handlers/handler.py,Module 'handler' contains only data members without any method implementations.
onnx_onnx-tensorflow.onnx_tf.handlers,handler,Multifaceted abstraction,Handler,13,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/handlers/handler.py,"Class 'Handler' has a high LCOM value of 1, indicating it may have multiple responsibilities."
onnx_onnx-tensorflow.onnx_tf.handlers.backend,abs,Broken hierarchy,Abs,11,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/handlers/backend/abs.py,Class 'Abs' and its superclass 'BasicMathMixin' may not share a proper 'IS-A' relationship.
onnx_onnx-tensorflow.onnx_tf.handlers.backend,abs,Broken hierarchy,Abs,11,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/handlers/backend/abs.py,Class 'Abs' and its superclass 'BackendHandler' may not share a proper 'IS-A' relationship.
onnx_onnx-tensorflow.onnx_tf.handlers.backend,abs,Multifaceted abstraction,Abs,11,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/handlers/backend/abs.py,"Class 'Abs' has a high LCOM value of 1, indicating it may have multiple responsibilities."
onnx_onnx-tensorflow.onnx_tf.handlers.backend,acos,Broken hierarchy,Acos,11,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/handlers/backend/acos.py,Class 'Acos' and its superclass 'BasicMathMixin' may not share a proper 'IS-A' relationship.
onnx_onnx-tensorflow.onnx_tf.handlers.backend,acos,Broken hierarchy,Acos,11,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/handlers/backend/acos.py,Class 'Acos' and its superclass 'BackendHandler' may not share a proper 'IS-A' relationship.
onnx_onnx-tensorflow.onnx_tf.handlers.backend,acosh,Broken hierarchy,Acosh,11,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/handlers/backend/acosh.py,Class 'Acosh' and its superclass 'BasicMathMixin' may not share a proper 'IS-A' relationship.
onnx_onnx-tensorflow.onnx_tf.handlers.backend,acosh,Broken hierarchy,Acosh,11,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/handlers/backend/acosh.py,Class 'Acosh' and its superclass 'BackendHandler' may not share a proper 'IS-A' relationship.
onnx_onnx-tensorflow.onnx_tf.handlers.backend,add,Broken hierarchy,Add,11,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/handlers/backend/add.py,Class 'Add' and its superclass 'ArithmeticMixin' may not share a proper 'IS-A' relationship.
onnx_onnx-tensorflow.onnx_tf.handlers.backend,add,Broken hierarchy,Add,11,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/handlers/backend/add.py,Class 'Add' and its superclass 'BackendHandler' may not share a proper 'IS-A' relationship.
onnx_onnx-tensorflow.onnx_tf.handlers.backend,add,Multifaceted abstraction,Add,11,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/handlers/backend/add.py,"Class 'Add' has a high LCOM value of 1, indicating it may have multiple responsibilities."
onnx_onnx-tensorflow.onnx_tf.handlers.backend,and,Broken hierarchy,Add,11,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/handlers/backend/and.py,Class 'Add' and its superclass 'LogicalMixin' may not share a proper 'IS-A' relationship.
onnx_onnx-tensorflow.onnx_tf.handlers.backend,and,Broken hierarchy,Add,11,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/handlers/backend/and.py,Class 'Add' and its superclass 'BackendHandler' may not share a proper 'IS-A' relationship.
onnx_onnx-tensorflow.onnx_tf.handlers.backend,arg_max,Multifaceted abstraction,ArgMax,11,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/handlers/backend/arg_max.py,"Class 'ArgMax' has a high LCOM value of 1, indicating it may have multiple responsibilities."
onnx_onnx-tensorflow.onnx_tf.handlers.backend,arg_min,Multifaceted abstraction,ArgMin,11,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/handlers/backend/arg_min.py,"Class 'ArgMin' has a high LCOM value of 1, indicating it may have multiple responsibilities."
onnx_onnx-tensorflow.onnx_tf.handlers.backend,asin,Broken hierarchy,Asin,11,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/handlers/backend/asin.py,Class 'Asin' and its superclass 'BasicMathMixin' may not share a proper 'IS-A' relationship.
onnx_onnx-tensorflow.onnx_tf.handlers.backend,asin,Broken hierarchy,Asin,11,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/handlers/backend/asin.py,Class 'Asin' and its superclass 'BackendHandler' may not share a proper 'IS-A' relationship.
onnx_onnx-tensorflow.onnx_tf.handlers.backend,asinh,Broken hierarchy,Asinh,11,/Volumes/BrokeExt/NICHE/onnx_onnx-tensorflow/onnx_tf/handlers/backend/asinh.py,Class 'Asinh' and its superclass 'BasicMathMixin' may not share a proper 'IS-A' relationship.
