Package,Module,Smell,Class/Module,Line no,File,Details
google_nucleus.nucleus.examples,validate_vcf_test,Multifaceted abstraction,ValidateVcfTest,30,/Volumes/BrokeExt/NICHE/google_nucleus/nucleus/examples/validate_vcf_test.py,"Class 'ValidateVcfTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
google_nucleus.nucleus.io,clif_postproc,Wide hierarchy,WrappedCppIterable,0,/Volumes/BrokeExt/NICHE/google_nucleus/nucleus/io/clif_postproc.py,Class 'WrappedCppIterable' has a wide hierarchy with 7 direct subclasses.
google_nucleus.nucleus.io,converter,Multifaceted abstraction,NullWriter,92,/Volumes/BrokeExt/NICHE/google_nucleus/nucleus/io/converter.py,"Class 'NullWriter' has a high LCOM value of 1, indicating it may have multiple responsibilities."
google_nucleus.nucleus.io,fasta_test,Multifaceted abstraction,IndexedFastaReaderTests,46,/Volumes/BrokeExt/NICHE/google_nucleus/nucleus/io/fasta_test.py,"Class 'IndexedFastaReaderTests' has a high LCOM value of 1, indicating it may have multiple responsibilities."
google_nucleus.nucleus.io,genomics_reader,Rebellious hierarchy,DispatchingGenomicsReader,184,/Volumes/BrokeExt/NICHE/google_nucleus/nucleus/io/genomics_reader.py,"Class 'DispatchingGenomicsReader' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: iterate, query."
google_nucleus.nucleus.io,genomics_reader_test,Multifaceted abstraction,TFRecordReaderTests,61,/Volumes/BrokeExt/NICHE/google_nucleus/nucleus/io/genomics_reader_test.py,"Class 'TFRecordReaderTests' has a high LCOM value of 1, indicating it may have multiple responsibilities."
google_nucleus.nucleus.io,gfile,Multifaceted abstraction,gfile,1,/Volumes/BrokeExt/NICHE/google_nucleus/nucleus/io/gfile.py,"Class 'gfile' has a high LCOM value of 1, indicating it may have multiple responsibilities."
google_nucleus.nucleus.io,gfile_test,Multifaceted abstraction,GfileTest,27,/Volumes/BrokeExt/NICHE/google_nucleus/nucleus/io/gfile_test.py,"Class 'GfileTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
google_nucleus.nucleus.io,sharded_file_utils_test,Multifaceted abstraction,IOTest,28,/Volumes/BrokeExt/NICHE/google_nucleus/nucleus/io/sharded_file_utils_test.py,"Class 'IOTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
google_nucleus.nucleus.io,sharded_file_utils_test,Multifaceted abstraction,ShardsTest,120,/Volumes/BrokeExt/NICHE/google_nucleus/nucleus/io/sharded_file_utils_test.py,"Class 'ShardsTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
google_nucleus.nucleus.io,vcf,Multifaceted abstraction,VcfReader,201,/Volumes/BrokeExt/NICHE/google_nucleus/nucleus/io/vcf.py,"Class 'VcfReader' has a high LCOM value of 1, indicating it may have multiple responsibilities."
google_nucleus.nucleus.util,cigar_test,Multifaceted abstraction,CigarTests,69,/Volumes/BrokeExt/NICHE/google_nucleus/nucleus/util/cigar_test.py,"Class 'CigarTests' has a high LCOM value of 1, indicating it may have multiple responsibilities."
google_nucleus.nucleus.util,errors_test,Multifaceted abstraction,ErrorsTest,31,/Volumes/BrokeExt/NICHE/google_nucleus/nucleus/util/errors_test.py,"Class 'ErrorsTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
google_nucleus.nucleus.util,ranges_test,Insufficient modularization,RangesTests,45,/Volumes/BrokeExt/NICHE/google_nucleus/nucleus/util/ranges_test.py,"Class 'RangesTests' is insufficiently modularized with NOPM: 45, WMC: 56, NOM: 45."
google_nucleus.nucleus.util,ranges_test,Multifaceted abstraction,RangesTests,45,/Volumes/BrokeExt/NICHE/google_nucleus/nucleus/util/ranges_test.py,"Class 'RangesTests' has a high LCOM value of 1, indicating it may have multiple responsibilities."
google_nucleus.nucleus.util,sequence_utils_test,Multifaceted abstraction,SequenceUtilsTests,28,/Volumes/BrokeExt/NICHE/google_nucleus/nucleus/util/sequence_utils_test.py,"Class 'SequenceUtilsTests' has a high LCOM value of 1, indicating it may have multiple responsibilities."
google_nucleus.nucleus.util,struct_utils_test,Multifaceted abstraction,StructUtilsTest,55,/Volumes/BrokeExt/NICHE/google_nucleus/nucleus/util/struct_utils_test.py,"Class 'StructUtilsTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
google_nucleus.nucleus.util,utils_test,Multifaceted abstraction,UtilsTest,33,/Volumes/BrokeExt/NICHE/google_nucleus/nucleus/util/utils_test.py,"Class 'UtilsTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
google_nucleus.nucleus.util,variant_utils,Broken modularization,GenotypeType,107,/Volumes/BrokeExt/NICHE/google_nucleus/nucleus/util/variant_utils.py,Class 'GenotypeType' contains only data members without any method implementations.
google_nucleus.nucleus.util,variant_utils,Insufficient modularization,variant_utils,1,/Volumes/BrokeExt/NICHE/google_nucleus/nucleus/util/variant_utils.py,"Module 'variant_utils' is insufficiently modularized with NOPM: 46, WMC: 100, NOM: 48."
