Package,Module,Class,Smell,Function/Method,Line no,File,Details
onnx_onnxmltools,setup,,Long statement,,34,/Volumes/BrokeExt/NICHE/onnx_onnxmltools/setup.py,A line with 819 chars in setup exceeds the maximum length of 120 characters.
onnx_onnxmltools.docs,conf,,Long statement,,21,/Volumes/BrokeExt/NICHE/onnx_onnxmltools/docs/conf.py,A line with 207 chars in conf exceeds the maximum length of 120 characters.
onnx_onnxmltools.docs.examples,plot_convert_h2o,,Long statement,,3,/Volumes/BrokeExt/NICHE/onnx_onnxmltools/docs/examples/plot_convert_h2o.py,A line with 285 chars in plot_convert_h2o exceeds the maximum length of 120 characters.
onnx_onnxmltools.docs.examples,plot_convert_h2o,,Long statement,,81,/Volumes/BrokeExt/NICHE/onnx_onnxmltools/docs/examples/plot_convert_h2o.py,A line with 171 chars in plot_convert_h2o exceeds the maximum length of 120 characters.
onnx_onnxmltools.docs.examples,plot_convert_keras,,Long statement,,3,/Volumes/BrokeExt/NICHE/onnx_onnxmltools/docs/examples/plot_convert_keras.py,A line with 251 chars in plot_convert_keras exceeds the maximum length of 120 characters.
onnx_onnxmltools.docs.examples,plot_convert_keras,,Long statement,,78,/Volumes/BrokeExt/NICHE/onnx_onnxmltools/docs/examples/plot_convert_keras.py,A line with 171 chars in plot_convert_keras exceeds the maximum length of 120 characters.
onnx_onnxmltools.docs.examples,plot_convert_libsvm,,Long statement,,3,/Volumes/BrokeExt/NICHE/onnx_onnxmltools/docs/examples/plot_convert_libsvm.py,A line with 280 chars in plot_convert_libsvm exceeds the maximum length of 120 characters.
onnx_onnxmltools.docs.examples,plot_convert_libsvm,,Long statement,,76,/Volumes/BrokeExt/NICHE/onnx_onnxmltools/docs/examples/plot_convert_libsvm.py,A line with 171 chars in plot_convert_libsvm exceeds the maximum length of 120 characters.
onnx_onnxmltools.docs.examples,plot_convert_lightgbm,,Long statement,,3,/Volumes/BrokeExt/NICHE/onnx_onnxmltools/docs/examples/plot_convert_lightgbm.py,A line with 288 chars in plot_convert_lightgbm exceeds the maximum length of 120 characters.
onnx_onnxmltools.docs.examples,plot_convert_lightgbm,,Long statement,,89,/Volumes/BrokeExt/NICHE/onnx_onnxmltools/docs/examples/plot_convert_lightgbm.py,A line with 171 chars in plot_convert_lightgbm exceeds the maximum length of 120 characters.
onnx_onnxmltools.docs.examples,plot_convert_sklearn,,Long statement,,3,/Volumes/BrokeExt/NICHE/onnx_onnxmltools/docs/examples/plot_convert_sklearn.py,A line with 739 chars in plot_convert_sklearn exceeds the maximum length of 120 characters.
onnx_onnxmltools.docs.examples,plot_convert_sklearn,,Long statement,,99,/Volumes/BrokeExt/NICHE/onnx_onnxmltools/docs/examples/plot_convert_sklearn.py,A line with 171 chars in plot_convert_sklearn exceeds the maximum length of 120 characters.
onnx_onnxmltools.docs.examples,plot_convert_sparkml,,Long statement,,3,/Volumes/BrokeExt/NICHE/onnx_onnxmltools/docs/examples/plot_convert_sparkml.py,A line with 259 chars in plot_convert_sparkml exceeds the maximum length of 120 characters.
onnx_onnxmltools.docs.examples,plot_convert_sparkml,,Long statement,,119,/Volumes/BrokeExt/NICHE/onnx_onnxmltools/docs/examples/plot_convert_sparkml.py,A line with 171 chars in plot_convert_sparkml exceeds the maximum length of 120 characters.
onnx_onnxmltools.docs.examples,plot_convert_xgboost,,Long statement,,3,/Volumes/BrokeExt/NICHE/onnx_onnxmltools/docs/examples/plot_convert_xgboost.py,A line with 293 chars in plot_convert_xgboost exceeds the maximum length of 120 characters.
onnx_onnxmltools.docs.examples,plot_convert_xgboost,,Long statement,,90,/Volumes/BrokeExt/NICHE/onnx_onnxmltools/docs/examples/plot_convert_xgboost.py,A line with 171 chars in plot_convert_xgboost exceeds the maximum length of 120 characters.
onnx_onnxmltools.onnxmltools,__init__,,Long statement,,3,/Volumes/BrokeExt/NICHE/onnx_onnxmltools/onnxmltools/__init__.py,A line with 173 chars in __init__ exceeds the maximum length of 120 characters.
onnx_onnxmltools.onnxmltools.convert,main,,Complex method,convert_keras,42 - 149,/Volumes/BrokeExt/NICHE/onnx_onnxmltools/onnxmltools/convert/main.py,"Method 'convert_keras' has a cyclomatic complexity of 16, exceeding the max of 6."
onnx_onnxmltools.onnxmltools.convert,main,,Long method,convert_keras,42 - 149,/Volumes/BrokeExt/NICHE/onnx_onnxmltools/onnxmltools/convert/main.py,Method 'convert_keras' is too long (94 lines).
onnx_onnxmltools.onnxmltools.convert,main,,Long parameter list,convert_coreml,9 - 38,/Volumes/BrokeExt/NICHE/onnx_onnxmltools/onnxmltools/convert/main.py,"convert_coreml has 8 parameters, exceeding the max of 5."
onnx_onnxmltools.onnxmltools.convert,main,,Long parameter list,convert_keras,42 - 149,/Volumes/BrokeExt/NICHE/onnx_onnxmltools/onnxmltools/convert/main.py,"convert_keras has 10 parameters, exceeding the max of 5."
onnx_onnxmltools.onnxmltools.convert,main,,Long parameter list,convert_libsvm,152 - 181,/Volumes/BrokeExt/NICHE/onnx_onnxmltools/onnxmltools/convert/main.py,"convert_libsvm has 8 parameters, exceeding the max of 5."
onnx_onnxmltools.onnxmltools.convert,main,,Long parameter list,convert_lightgbm,204 - 239,/Volumes/BrokeExt/NICHE/onnx_onnxmltools/onnxmltools/convert/main.py,"convert_lightgbm has 11 parameters, exceeding the max of 5."
