Package,Module,Class,Smell,Function/Method,Line no,File,Details
google-research_text-to-text-transfer-transformer,setup,,Long statement,,30,/Volumes/BrokeExt/NICHE/google-research_text-to-text-transfer-transformer/setup.py,A line with 1498 chars in setup exceeds the maximum length of 120 characters.
google-research_text-to-text-transfer-transformer.t5,version,,Long statement,,15,/Volumes/BrokeExt/NICHE/google-research_text-to-text-transfer-transformer/t5/version.py,A line with 185 chars in version exceeds the maximum length of 120 characters.
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers,FunctionTask,Complex method,__init__,49 - 121,/Volumes/BrokeExt/NICHE/google-research_text-to-text-transfer-transformer/t5/data/dataset_providers.py,"Method '__init__' has a cyclomatic complexity of 22, exceeding the max of 6."
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers,FunctionTask,Long method,__init__,49 - 121,/Volumes/BrokeExt/NICHE/google-research_text-to-text-transfer-transformer/t5/data/dataset_providers.py,Method '__init__' is too long (54 lines).
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers,FunctionTask,Long parameter list,__init__,49 - 121,/Volumes/BrokeExt/NICHE/google-research_text-to-text-transfer-transformer/t5/data/dataset_providers.py,"__init__ has 12 parameters, exceeding the max of 5."
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers,TfdsTask,Long parameter list,__init__,134 - 172,/Volumes/BrokeExt/NICHE/google-research_text-to-text-transfer-transformer/t5/data/dataset_providers.py,"__init__ has 6 parameters, exceeding the max of 5."
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers,TFExampleTask,Long parameter list,__init__,238 - 277,/Volumes/BrokeExt/NICHE/google-research_text-to-text-transfer-transformer/t5/data/dataset_providers.py,"__init__ has 6 parameters, exceeding the max of 5."
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers,FunctionTask,Long statement,__init__,71,/Volumes/BrokeExt/NICHE/google-research_text-to-text-transfer-transformer/t5/data/dataset_providers.py,A line with 122 chars in __init__ exceeds the maximum length of 120 characters.
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers,FunctionTask,Long statement,__init__,114,/Volumes/BrokeExt/NICHE/google-research_text-to-text-transfer-transformer/t5/data/dataset_providers.py,A line with 199 chars in __init__ exceeds the maximum length of 120 characters.
google-research_text-to-text-transfer-transformer.t5.data,dataset_providers,TfdsTask,Long statement,__init__,142,/Volumes/BrokeExt/NICHE/google-research_text-to-text-transfer-transformer/t5/data/dataset_providers.py,A line with 1190 chars in __init__ exceeds the maximum length of 120 characters.
