Package,Module,Class,Smell,Function/Method,Line no,File,Details
as-ideas_TransformerTTS,create_training_data,,Long statement,,29,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/create_training_data.py,A line with 144 chars in create_training_data exceeds the maximum length of 120 characters.
as-ideas_TransformerTTS,create_training_data,,Long statement,,98,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/create_training_data.py,A line with 134 chars in create_training_data exceeds the maximum length of 120 characters.
as-ideas_TransformerTTS,create_training_data,,Long statement,,137,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/create_training_data.py,A line with 177 chars in create_training_data exceeds the maximum length of 120 characters.
as-ideas_TransformerTTS,create_training_data,,Long statement,,175,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/create_training_data.py,A line with 234 chars in create_training_data exceeds the maximum length of 120 characters.
as-ideas_TransformerTTS,create_training_data,,Long statement,,177,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/create_training_data.py,A line with 179 chars in create_training_data exceeds the maximum length of 120 characters.
as-ideas_TransformerTTS,extract_durations,,Long statement,,24,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/extract_durations.py,A line with 123 chars in extract_durations exceeds the maximum length of 120 characters.
as-ideas_TransformerTTS,extract_durations,,Long statement,,26,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/extract_durations.py,A line with 126 chars in extract_durations exceeds the maximum length of 120 characters.
as-ideas_TransformerTTS,extract_durations,,Long statement,,53,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/extract_durations.py,A line with 167 chars in extract_durations exceeds the maximum length of 120 characters.
as-ideas_TransformerTTS,extract_durations,,Long statement,,61,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/extract_durations.py,A line with 156 chars in extract_durations exceeds the maximum length of 120 characters.
as-ideas_TransformerTTS,extract_durations,,Long statement,,78,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/extract_durations.py,A line with 170 chars in extract_durations exceeds the maximum length of 120 characters.
as-ideas_TransformerTTS,extract_durations,,Long statement,,87,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/extract_durations.py,A line with 134 chars in extract_durations exceeds the maximum length of 120 characters.
as-ideas_TransformerTTS,extract_durations,,Long statement,,89,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/extract_durations.py,A line with 134 chars in extract_durations exceeds the maximum length of 120 characters.
as-ideas_TransformerTTS,extract_durations,,Long statement,,91,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/extract_durations.py,A line with 139 chars in extract_durations exceeds the maximum length of 120 characters.
as-ideas_TransformerTTS,extract_durations,,Long statement,,96,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/extract_durations.py,A line with 127 chars in extract_durations exceeds the maximum length of 120 characters.
as-ideas_TransformerTTS,train_aligner,,Long statement,validate,61,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/train_aligner.py,A line with 166 chars in validate exceeds the maximum length of 120 characters.
as-ideas_TransformerTTS,train_aligner,,Long statement,validate,74,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/train_aligner.py,A line with 160 chars in validate exceeds the maximum length of 120 characters.
as-ideas_TransformerTTS,train_aligner,,Long statement,,82,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/train_aligner.py,A line with 121 chars in train_aligner exceeds the maximum length of 120 characters.
as-ideas_TransformerTTS,train_aligner,,Long statement,,100,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/train_aligner.py,A line with 156 chars in train_aligner exceeds the maximum length of 120 characters.
as-ideas_TransformerTTS,train_aligner,,Long statement,,103,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/train_aligner.py,A line with 181 chars in train_aligner exceeds the maximum length of 120 characters.
as-ideas_TransformerTTS,train_aligner,,Long statement,,113,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/train_aligner.py,A line with 190 chars in train_aligner exceeds the maximum length of 120 characters.
as-ideas_TransformerTTS,train_aligner,,Long statement,,116,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/train_aligner.py,A line with 144 chars in train_aligner exceeds the maximum length of 120 characters.
as-ideas_TransformerTTS,train_aligner,,Long statement,,151,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/train_aligner.py,A line with 177 chars in train_aligner exceeds the maximum length of 120 characters.
as-ideas_TransformerTTS,train_aligner,,Long statement,,177,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/train_aligner.py,A line with 139 chars in train_aligner exceeds the maximum length of 120 characters.
as-ideas_TransformerTTS,train_aligner,,Long statement,,185,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/train_aligner.py,A line with 133 chars in train_aligner exceeds the maximum length of 120 characters.
as-ideas_TransformerTTS,train_aligner,,Long statement,,187,/Volumes/BrokeExt/NICHE/as-ideas_TransformerTTS/train_aligner.py,A line with 134 chars in train_aligner exceeds the maximum length of 120 characters.
