Package,Module,Smell,Class/Module,Line no,File,Details
eleurent_rl-agents.rl_agents,configuration,Wide hierarchy,Configurable,0,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/configuration.py,Class 'Configurable' has a wide hierarchy with 11 direct subclasses.
eleurent_rl-agents.rl_agents,utils,Insufficient modularization,utils,1,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/utils.py,"Module 'utils' is insufficiently modularized with NOPM: 21, WMC: 64, NOM: 21."
eleurent_rl-agents.rl_agents.agents.common,abstract,Wide hierarchy,AbstractAgent,0,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/agents/common/abstract.py,Class 'AbstractAgent' has a wide hierarchy with 10 direct subclasses.
eleurent_rl-agents.rl_agents.agents.common,models,Multifaceted abstraction,models,1,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/agents/common/models.py,"Class 'models' has a high LCOM value of 1, indicating it may have multiple responsibilities."
eleurent_rl-agents.rl_agents.agents.common,models,Wide hierarchy,BaseModule,0,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/agents/common/models.py,Class 'BaseModule' has a wide hierarchy with 7 direct subclasses.
eleurent_rl-agents.rl_agents.agents.control,linear_feedback,Rebellious hierarchy,LinearFeedbackAgent,5,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/agents/control/linear_feedback.py,"Class 'LinearFeedbackAgent' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: reset, seed, save, load, record."
eleurent_rl-agents.rl_agents.agents.cross_entropy_method,cem,Rebellious hierarchy,CEMAgent,8,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/agents/cross_entropy_method/cem.py,"Class 'CEMAgent' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: record, act, reset, seed, save, load."
eleurent_rl-agents.rl_agents.agents.deep_q_network,pytorch,Rebellious hierarchy,DQNAgent,14,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/agents/deep_q_network/pytorch.py,Class 'DQNAgent' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: get_batch_state_action_values.
eleurent_rl-agents.rl_agents.agents.dynamic_programming,value_iteration,Rebellious hierarchy,ValueIterationAgent,9,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/agents/dynamic_programming/value_iteration.py,"Class 'ValueIterationAgent' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: record, reset, seed, save, load."
eleurent_rl-agents.rl_agents.agents.fitted_q,pytorch,Deep hierarchy,FTQAgent,12,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/agents/fitted_q/pytorch.py,Class 'FTQAgent' exceeds max depth with a depth of 5.
eleurent_rl-agents.rl_agents.agents.robust,robust,Broken hierarchy,DiscreteRobustPlannerAgent,53,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/agents/robust/robust.py,Class 'DiscreteRobustPlannerAgent' and its superclass 'DeterministicPlannerAgent' may not share a proper 'IS-A' relationship.
eleurent_rl-agents.rl_agents.agents.robust,robust,Multifaceted abstraction,RobustNode,42,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/agents/robust/robust.py,"Class 'RobustNode' has a high LCOM value of 1, indicating it may have multiple responsibilities."
eleurent_rl-agents.rl_agents.agents.robust,robust,Rebellious hierarchy,IntervalRobustPlannerAgent,74,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/agents/robust/robust.py,"Class 'IntervalRobustPlannerAgent' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: act, reset, seed, save, load, record."
eleurent_rl-agents.rl_agents.agents.robust,robust_epc,Rebellious hierarchy,RobustEPCAgent,8,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/agents/robust/robust_epc.py,"Class 'RobustEPCAgent' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: act, seed, save, load."
eleurent_rl-agents.rl_agents.agents.robust.graphics,contrained_epc_graphics,Multifaceted abstraction,ConstrainedEPCGraphics,12,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/agents/robust/graphics/contrained_epc_graphics.py,"Class 'ConstrainedEPCGraphics' has a high LCOM value of 1, indicating it may have multiple responsibilities."
eleurent_rl-agents.rl_agents.agents.simple,open_loop,Rebellious hierarchy,OpenLoopAgent,4,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/agents/simple/open_loop.py,"Class 'OpenLoopAgent' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: act, seed, record, save, load."
eleurent_rl-agents.rl_agents.agents.simple,random,Rebellious hierarchy,RandomUniformAgent,4,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/agents/simple/random.py,"Class 'RandomUniformAgent' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: act, record, reset, save, load."
eleurent_rl-agents.rl_agents.agents.tree_search,abstract,Rebellious hierarchy,AbstractTreeSearchAgent,15,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/agents/tree_search/abstract.py,"Class 'AbstractTreeSearchAgent' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: seed, record, act, save, load."
eleurent_rl-agents.rl_agents.agents.tree_search,abstract,Wide hierarchy,AbstractTreeSearchAgent,0,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/agents/tree_search/abstract.py,Class 'AbstractTreeSearchAgent' has a wide hierarchy with 7 direct subclasses.
eleurent_rl-agents.rl_agents.agents.tree_search,abstract,Wide hierarchy,AbstractPlanner,0,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/agents/tree_search/abstract.py,Class 'AbstractPlanner' has a wide hierarchy with 6 direct subclasses.
