Package,Module,Class,Smell,Function/Method,Line no,File,Details
CorentinJ_Real-Time-Voice-Cloning,demo_cli,,Long statement,,22,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/demo_cli.py,A line with 132 chars in demo_cli exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,demo_cli,,Long statement,,25,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/demo_cli.py,A line with 140 chars in demo_cli exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,demo_cli,,Long statement,,28,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/demo_cli.py,A line with 132 chars in demo_cli exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,demo_cli,,Long statement,,31,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/demo_cli.py,A line with 123 chars in demo_cli exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,demo_cli,,Long statement,,35,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/demo_cli.py,A line with 126 chars in demo_cli exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,demo_cli,,Long statement,,51,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/demo_cli.py,A line with 261 chars in demo_cli exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,demo_cli,,Long statement,,115,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/demo_cli.py,A line with 217 chars in demo_cli exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,demo_toolbox,,Long statement,,11,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/demo_toolbox.py,A line with 121 chars in demo_toolbox exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,demo_toolbox,,Long statement,,16,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/demo_toolbox.py,A line with 183 chars in demo_toolbox exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,demo_toolbox,,Long statement,,19,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/demo_toolbox.py,A line with 122 chars in demo_toolbox exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,demo_toolbox,,Long statement,,23,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/demo_toolbox.py,A line with 126 chars in demo_toolbox exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,encoder_preprocess,,Long statement,,11,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/encoder_preprocess.py,A line with 565 chars in encoder_preprocess exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,encoder_preprocess,,Long statement,,27,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/encoder_preprocess.py,A line with 132 chars in encoder_preprocess exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,encoder_preprocess,,Long statement,,29,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/encoder_preprocess.py,A line with 210 chars in encoder_preprocess exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,encoder_preprocess,,Long statement,,32,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/encoder_preprocess.py,A line with 287 chars in encoder_preprocess exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,encoder_preprocess,,Long statement,,37,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/encoder_preprocess.py,A line with 170 chars in encoder_preprocess exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,encoder_preprocess,,Long statement,,40,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/encoder_preprocess.py,A line with 123 chars in encoder_preprocess exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,encoder_preprocess,,Long statement,,46,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/encoder_preprocess.py,A line with 250 chars in encoder_preprocess exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,encoder_train,,Long statement,,8,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/encoder_train.py,A line with 178 chars in encoder_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,encoder_train,,Long statement,,13,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/encoder_train.py,A line with 297 chars in encoder_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,encoder_train,,Long statement,,17,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/encoder_train.py,A line with 219 chars in encoder_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,encoder_train,,Long statement,,20,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/encoder_train.py,A line with 306 chars in encoder_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,encoder_train,,Long statement,,24,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/encoder_train.py,A line with 129 chars in encoder_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,encoder_train,,Long statement,,26,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/encoder_train.py,A line with 170 chars in encoder_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,encoder_train,,Long statement,,29,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/encoder_train.py,A line with 164 chars in encoder_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,encoder_train,,Long statement,,32,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/encoder_train.py,A line with 166 chars in encoder_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,synthesizer_preprocess_audio,,Long statement,,9,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/synthesizer_preprocess_audio.py,A line with 274 chars in synthesizer_preprocess_audio exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,synthesizer_preprocess_audio,,Long statement,,17,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/synthesizer_preprocess_audio.py,A line with 228 chars in synthesizer_preprocess_audio exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,synthesizer_preprocess_audio,,Long statement,,22,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/synthesizer_preprocess_audio.py,A line with 174 chars in synthesizer_preprocess_audio exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,synthesizer_preprocess_audio,,Long statement,,25,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/synthesizer_preprocess_audio.py,A line with 133 chars in synthesizer_preprocess_audio exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,synthesizer_preprocess_audio,,Long statement,,27,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/synthesizer_preprocess_audio.py,A line with 195 chars in synthesizer_preprocess_audio exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,synthesizer_preprocess_audio,,Long statement,,30,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/synthesizer_preprocess_audio.py,A line with 121 chars in synthesizer_preprocess_audio exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,synthesizer_preprocess_audio,,Long statement,,32,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/synthesizer_preprocess_audio.py,A line with 172 chars in synthesizer_preprocess_audio exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,synthesizer_preprocess_embeds,,Long statement,,8,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/synthesizer_preprocess_embeds.py,A line with 175 chars in synthesizer_preprocess_embeds exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,synthesizer_preprocess_embeds,,Long statement,,12,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/synthesizer_preprocess_embeds.py,A line with 229 chars in synthesizer_preprocess_embeds exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,synthesizer_preprocess_embeds,,Long statement,,15,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/synthesizer_preprocess_embeds.py,A line with 145 chars in synthesizer_preprocess_embeds exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,synthesizer_preprocess_embeds,,Long statement,,18,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/synthesizer_preprocess_embeds.py,A line with 226 chars in synthesizer_preprocess_embeds exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,synthesizer_train,,Long statement,,11,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/synthesizer_train.py,A line with 297 chars in synthesizer_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,synthesizer_train,,Long statement,,15,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/synthesizer_train.py,A line with 157 chars in synthesizer_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,synthesizer_train,,Long statement,,18,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/synthesizer_train.py,A line with 169 chars in synthesizer_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,synthesizer_train,,Long statement,,20,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/synthesizer_train.py,A line with 165 chars in synthesizer_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,synthesizer_train,,Long statement,,23,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/synthesizer_train.py,A line with 167 chars in synthesizer_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,synthesizer_train,,Long statement,,26,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/synthesizer_train.py,A line with 127 chars in synthesizer_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,synthesizer_train,,Long statement,,28,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/synthesizer_train.py,A line with 123 chars in synthesizer_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,vocoder_preprocess,,Long statement,,15,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/vocoder_preprocess.py,A line with 142 chars in vocoder_preprocess exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,vocoder_preprocess,,Long statement,,19,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/vocoder_preprocess.py,A line with 184 chars in vocoder_preprocess exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,vocoder_preprocess,,Long statement,,22,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/vocoder_preprocess.py,A line with 140 chars in vocoder_preprocess exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,vocoder_preprocess,,Long statement,,25,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/vocoder_preprocess.py,A line with 228 chars in vocoder_preprocess exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,vocoder_preprocess,,Long statement,,28,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/vocoder_preprocess.py,A line with 227 chars in vocoder_preprocess exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,vocoder_preprocess,,Long statement,,31,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/vocoder_preprocess.py,A line with 123 chars in vocoder_preprocess exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,vocoder_preprocess,,Long statement,,33,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/vocoder_preprocess.py,A line with 123 chars in vocoder_preprocess exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,vocoder_train,,Long statement,,9,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/vocoder_train.py,A line with 202 chars in vocoder_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,vocoder_train,,Long statement,,15,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/vocoder_train.py,A line with 297 chars in vocoder_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,vocoder_train,,Long statement,,19,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/vocoder_train.py,A line with 184 chars in vocoder_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,vocoder_train,,Long statement,,22,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/vocoder_train.py,A line with 235 chars in vocoder_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,vocoder_train,,Long statement,,25,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/vocoder_train.py,A line with 241 chars in vocoder_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,vocoder_train,,Long statement,,28,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/vocoder_train.py,A line with 221 chars in vocoder_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,vocoder_train,,Long statement,,31,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/vocoder_train.py,A line with 150 chars in vocoder_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,vocoder_train,,Long statement,,33,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/vocoder_train.py,A line with 165 chars in vocoder_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,vocoder_train,,Long statement,,36,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/vocoder_train.py,A line with 167 chars in vocoder_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning,vocoder_train,,Long statement,,39,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/vocoder_train.py,A line with 127 chars in vocoder_train exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning.encoder,audio,,Complex conditional,normalize_volume,115,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/encoder/audio.py,"A conditional in normalize_volume has 4 conditions, more than the recommended maximum 3 conditions."
CorentinJ_Real-Time-Voice-Cloning.encoder,audio,,Complex method,preprocess_wav,19 - 50,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/encoder/audio.py,"Method 'preprocess_wav' has a cyclomatic complexity of 8, exceeding the max of 6."
CorentinJ_Real-Time-Voice-Cloning.encoder,audio,,Long statement,preprocess_wav,23,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/encoder/audio.py,A line with 688 chars in preprocess_wav exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning.encoder,audio,,Long statement,wav_to_mel_spectrogram,54,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/encoder/audio.py,A line with 150 chars in wav_to_mel_spectrogram exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning.encoder,audio,,Long statement,wav_to_mel_spectrogram,58,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/encoder/audio.py,A line with 199 chars in wav_to_mel_spectrogram exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning.encoder,audio,,Long statement,trim_long_silences,69,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/encoder/audio.py,A line with 307 chars in trim_long_silences exceeds the maximum length of 120 characters.
CorentinJ_Real-Time-Voice-Cloning.encoder,audio,,Long statement,,10,/Volumes/BrokeExt/NICHE/CorentinJ_Real-Time-Voice-Cloning/encoder/audio.py,A line with 151 chars in audio exceeds the maximum length of 120 characters.
