Package,Module,Smell,Class/Module,Line no,File,Details
deepmind_dm-haiku.docs.ext,coverage_check,Multifaceted abstraction,HaikuCoverageCheck,45,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/docs/ext/coverage_check.py,"Class 'HaikuCoverageCheck' has a high LCOM value of 1, indicating it may have multiple responsibilities."
deepmind_dm-haiku.examples.rnn,dataset,Multifaceted abstraction,dataset,1,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/examples/rnn/dataset.py,"Class 'dataset' has a high LCOM value of 1, indicating it may have multiple responsibilities."
deepmind_dm-haiku.haiku._src,attention_test,Multifaceted abstraction,MultiHeadAttentionTest,29,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/attention_test.py,"Class 'MultiHeadAttentionTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
deepmind_dm-haiku.haiku._src,base,Insufficient modularization,base,1,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/base.py,"Module 'base' is insufficiently modularized with NOPM: 42, WMC: 141, NOM: 44."
deepmind_dm-haiku.haiku._src,base_test,Insufficient modularization,BaseTest,107,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/base_test.py,"Class 'BaseTest' is insufficiently modularized with NOPM: 66, WMC: 78, NOM: 66."
deepmind_dm-haiku.haiku._src,basic_test,Multifaceted abstraction,LinearTest,223,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/basic_test.py,"Class 'LinearTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
deepmind_dm-haiku.haiku._src,batch_norm,Broken modularization,hk,31,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/batch_norm.py,Class 'hk' contains only data members without any method implementations.
deepmind_dm-haiku.haiku._src,batch_norm_test,Multifaceted abstraction,BatchNormTest,28,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/batch_norm_test.py,"Class 'BatchNormTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
deepmind_dm-haiku.haiku._src,conv,Broken modularization,hk,32,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/conv.py,Class 'hk' contains only data members without any method implementations.
deepmind_dm-haiku.haiku._src,data_structures_test,Insufficient modularization,FlatMappingTest,154,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/data_structures_test.py,"Class 'FlatMappingTest' is insufficiently modularized with NOPM: 29, WMC: 30, NOM: 30."
deepmind_dm-haiku.haiku._src,data_structures_test,Multifaceted abstraction,DataStructuresTest,397,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/data_structures_test.py,"Class 'DataStructuresTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
deepmind_dm-haiku.haiku._src,deferred_test,Multifaceted abstraction,DeferredTest,25,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/deferred_test.py,"Class 'DeferredTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
deepmind_dm-haiku.haiku._src,dot_test,Multifaceted abstraction,DotTest,26,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/dot_test.py,"Class 'DotTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
deepmind_dm-haiku.haiku._src,embed_test,Multifaceted abstraction,EmbedTest,41,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/embed_test.py,"Class 'EmbedTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
deepmind_dm-haiku.haiku._src,eval_shape,Multifaceted abstraction,eval_shape,1,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/eval_shape.py,"Class 'eval_shape' has a high LCOM value of 1, indicating it may have multiple responsibilities."
deepmind_dm-haiku.haiku._src,eval_shape_test,Multifaceted abstraction,EvalShapeTest,28,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/eval_shape_test.py,"Class 'EvalShapeTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
deepmind_dm-haiku.haiku._src,filtering_test,Multifaceted abstraction,FilteringTest,102,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/filtering_test.py,"Class 'FilteringTest' has a high LCOM value of 0.88, indicating it may have multiple responsibilities."
deepmind_dm-haiku.haiku._src,filtering_test,Multifaceted abstraction,filtering_test,1,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/filtering_test.py,"Class 'filtering_test' has a high LCOM value of 1, indicating it may have multiple responsibilities."
deepmind_dm-haiku.haiku._src,group_norm_test,Insufficient modularization,GroupNormTest,30,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/group_norm_test.py,"Class 'GroupNormTest' is insufficiently modularized with NOPM: 21, WMC: 26, NOM: 21."
deepmind_dm-haiku.haiku._src,layer_norm_test,Multifaceted abstraction,LayerNormTest,43,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/layer_norm_test.py,"Class 'LayerNormTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
deepmind_dm-haiku.haiku._src,lift,Broken modularization,hk,30,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/lift.py,Class 'hk' contains only data members without any method implementations.
deepmind_dm-haiku.haiku._src,lift_test,Insufficient modularization,LiftTest,85,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/lift_test.py,"Class 'LiftTest' is insufficiently modularized with NOPM: 25, WMC: 9, NOM: 25."
deepmind_dm-haiku.haiku._src,lift_test,Multifaceted abstraction,lift_test,1,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/lift_test.py,"Class 'lift_test' has a high LCOM value of 1, indicating it may have multiple responsibilities."
deepmind_dm-haiku.haiku._src,module,Multifaceted abstraction,ModuleMetaclass,62,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/module.py,"Class 'ModuleMetaclass' has a high LCOM value of 1, indicating it may have multiple responsibilities."
deepmind_dm-haiku.haiku._src,module_test,Insufficient modularization,ModuleTest,38,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/module_test.py,"Class 'ModuleTest' is insufficiently modularized with NOPM: 67, WMC: 79, NOM: 67."
deepmind_dm-haiku.haiku._src,module_test,Insufficient modularization,module_test,1,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/module_test.py,"Module 'module_test' is insufficiently modularized with NOPM: 1, WMC: 119, NOM: 1."
deepmind_dm-haiku.haiku._src,module_test,Multifaceted abstraction,ModuleWithCustomName,987,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/module_test.py,"Class 'ModuleWithCustomName' has a high LCOM value of 1, indicating it may have multiple responsibilities."
deepmind_dm-haiku.haiku._src,module_test,Multifaceted abstraction,ModuleWithCustomNameOnCall,1008,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/module_test.py,"Class 'ModuleWithCustomNameOnCall' has a high LCOM value of 1, indicating it may have multiple responsibilities."
deepmind_dm-haiku.haiku._src,module_test,Rebellious hierarchy,ConcreteProtocolModule,978,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/module_test.py,Class 'ConcreteProtocolModule' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: bar.
deepmind_dm-haiku.haiku._src,moving_averages,Broken modularization,hk,30,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/moving_averages.py,Class 'hk' contains only data members without any method implementations.
deepmind_dm-haiku.haiku._src,moving_averages_test,Multifaceted abstraction,MovingAveragesTest,31,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/moving_averages_test.py,"Class 'MovingAveragesTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
deepmind_dm-haiku.haiku._src,moving_averages_test,Multifaceted abstraction,EMAParamsTreeTest,131,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/moving_averages_test.py,"Class 'EMAParamsTreeTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
deepmind_dm-haiku.haiku._src,multi_transform,Broken modularization,hk,33,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/multi_transform.py,Class 'hk' contains only data members without any method implementations.
deepmind_dm-haiku.haiku._src,pad,Multifaceted abstraction,pad,1,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/pad.py,"Class 'pad' has a high LCOM value of 1, indicating it may have multiple responsibilities."
deepmind_dm-haiku.haiku._src,pad_test,Multifaceted abstraction,PadTest,22,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/pad_test.py,"Class 'PadTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
deepmind_dm-haiku.haiku._src,pool_test,Multifaceted abstraction,MaxPoolTest,28,/Volumes/BrokeExt/NICHE/deepmind_dm-haiku/haiku/_src/pool_test.py,"Class 'MaxPoolTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
