Package,Module,Smell,Class/Module,Line no,File,Details
aiqm_torchani.docs,conf,Broken modularization,conf,1,/Volumes/BrokeExt/NICHE/aiqm_torchani/docs/conf.py,Module 'conf' contains only data members without any method implementations.
aiqm_torchani.tests,test_aev_benzene_md,Broken hierarchy,TestAEVBenzeneMD,11,/Volumes/BrokeExt/NICHE/aiqm_torchani/tests/test_aev_benzene_md.py,Class 'TestAEVBenzeneMD' and its superclass '_TestAEVBase' may not share a proper 'IS-A' relationship.
aiqm_torchani.tests,test_aev_nist,Broken hierarchy,TestAEVNIST,10,/Volumes/BrokeExt/NICHE/aiqm_torchani/tests/test_aev_nist.py,Class 'TestAEVNIST' and its superclass '_TestAEVBase' may not share a proper 'IS-A' relationship.
aiqm_torchani.tests,test_aev_tripeptide_md,Broken hierarchy,TestAEVTripeptideMD,10,/Volumes/BrokeExt/NICHE/aiqm_torchani/tests/test_aev_tripeptide_md.py,Class 'TestAEVTripeptideMD' and its superclass '_TestAEVBase' may not share a proper 'IS-A' relationship.
aiqm_torchani.tests,test_al,Broken hierarchy,TestALQBC,53,/Volumes/BrokeExt/NICHE/aiqm_torchani/tests/test_al.py,Class 'TestALQBC' and its superclass 'TestALAtomic' may not share a proper 'IS-A' relationship.
aiqm_torchani.tests,test_cuaev,Multifaceted abstraction,TestCUAEVNoGPU,17,/Volumes/BrokeExt/NICHE/aiqm_torchani/tests/test_cuaev.py,"Class 'TestCUAEVNoGPU' has a high LCOM value of 1, indicating it may have multiple responsibilities."
aiqm_torchani.tests,test_padding,Multifaceted abstraction,TestPaddings,10,/Volumes/BrokeExt/NICHE/aiqm_torchani/tests/test_padding.py,"Class 'TestPaddings' has a high LCOM value of 1, indicating it may have multiple responsibilities."
aiqm_torchani.tools.generate-unit-test-expect.nist-dataset,nist,Broken modularization,nist,1,/Volumes/BrokeExt/NICHE/aiqm_torchani/tools/generate-unit-test-expect/nist-dataset/nist.py,Module 'nist' contains only data members without any method implementations.
aiqm_torchani.torchani,models,Multifaceted abstraction,models,1,/Volumes/BrokeExt/NICHE/aiqm_torchani/torchani/models.py,"Class 'models' has a high LCOM value of 1, indicating it may have multiple responsibilities."
aiqm_torchani.torchani,units,Multifaceted abstraction,units,1,/Volumes/BrokeExt/NICHE/aiqm_torchani/torchani/units.py,"Class 'units' has a high LCOM value of 1, indicating it may have multiple responsibilities."
aiqm_torchani.torchani.neurochem,__init__,Multifaceted abstraction,Constants,23,/Volumes/BrokeExt/NICHE/aiqm_torchani/torchani/neurochem/__init__.py,"Class 'Constants' has a high LCOM value of 1, indicating it may have multiple responsibilities."
