Package,Module,Class,Function,LOC,CC,PC
bureaucratic-labs_dostoevsky,setup,,get_long_description,3,1,0
bureaucratic-labs_dostoevsky,setup,,get_requirements,3,1,0
bureaucratic-labs_dostoevsky.dostoevsky,corpora,BaseCorpus,get_data,2,1,0
bureaucratic-labs_dostoevsky.dostoevsky,corpora,RusentimentCorpus,__init__,2,1,1
bureaucratic-labs_dostoevsky.dostoevsky,corpora,RusentimentCorpus,get_data,13,4,0
bureaucratic-labs_dostoevsky.dostoevsky,models,BaseModel,__init__,6,1,4
bureaucratic-labs_dostoevsky.dostoevsky,models,BaseModel,get_compiled_model,2,1,0
bureaucratic-labs_dostoevsky.dostoevsky,models,BaseModel,preprocess_input,2,1,1
bureaucratic-labs_dostoevsky.dostoevsky,models,BaseModel,predict,2,1,1
bureaucratic-labs_dostoevsky.dostoevsky,models,BaseModel,get_raw_model,2,1,0
bureaucratic-labs_dostoevsky.dostoevsky,models,FastTextSocialNetworkModel,__init__,4,1,2
bureaucratic-labs_dostoevsky.dostoevsky,models,FastTextSocialNetworkModel,get_compiled_model,2,1,0
bureaucratic-labs_dostoevsky.dostoevsky,models,FastTextSocialNetworkModel,preprocess_input,5,1,1
bureaucratic-labs_dostoevsky.dostoevsky,models,FastTextSocialNetworkModel,predict,5,1,1
bureaucratic-labs_dostoevsky.dostoevsky,tokenization,BaseTokenizer,split,4,1,2
bureaucratic-labs_dostoevsky.dostoevsky,tokenization,RegexTokenizer,split,2,1,2
bureaucratic-labs_dostoevsky.dostoevsky.data,__init__,DataDownloader,download,18,3,2
bureaucratic-labs_dostoevsky.dostoevsky.data,__init__,DataDownloader,_ssl_context,5,1,0
bureaucratic-labs_dostoevsky.tests,conftest,,regex_tokenizer,2,1,0
bureaucratic-labs_dostoevsky.tests,conftest,,data_downloader,2,1,0
bureaucratic-labs_dostoevsky.tests,conftest,,embeddings_path,10,1,1
bureaucratic-labs_dostoevsky.tests,conftest,,rusentiment_corpus_data,10,1,1
bureaucratic-labs_dostoevsky.tests,conftest,,rusentiment_corpus_path,2,1,1
bureaucratic-labs_dostoevsky.tests,conftest,,rusentiment_test_corpus_path,2,1,1
bureaucratic-labs_dostoevsky.tests,conftest,,rusentiment_corpus,4,1,1
bureaucratic-labs_dostoevsky.tests,conftest,,rusentiment_test_corpus,4,1,1
bureaucratic-labs_dostoevsky.tests,test_corpora,,test_rusentiment_corpus_get_data,11,3,1
bureaucratic-labs_dostoevsky.tests,test_tokenization,,test_regex_tokenizer_base_case,9,1,1
bureaucratic-labs_dostoevsky.tests,test_tokenization,,test_regex_tokenizer_lower_case,9,1,1
