Package,Module,Smell,Class/Module,Line no,File,Details
alfredfrancis_ai-chatbot-framework,config,Broken hierarchy,DevelopmentConfig,20,/Volumes/BrokeExt/NICHE/alfredfrancis_ai-chatbot-framework/config.py,Class 'DevelopmentConfig' and its superclass 'BaseConfig' may not share a proper 'IS-A' relationship.
alfredfrancis_ai-chatbot-framework,config,Broken hierarchy,TestingConfig,25,/Volumes/BrokeExt/NICHE/alfredfrancis_ai-chatbot-framework/config.py,Class 'TestingConfig' and its superclass 'BaseConfig' may not share a proper 'IS-A' relationship.
alfredfrancis_ai-chatbot-framework,config,Broken hierarchy,ProductionConfig,29,/Volumes/BrokeExt/NICHE/alfredfrancis_ai-chatbot-framework/config.py,Class 'ProductionConfig' and its superclass 'BaseConfig' may not share a proper 'IS-A' relationship.
alfredfrancis_ai-chatbot-framework.app,dependencies,Multifaceted abstraction,dependencies,1,/Volumes/BrokeExt/NICHE/alfredfrancis_ai-chatbot-framework/app/dependencies.py,"Class 'dependencies' has a high LCOM value of 1, indicating it may have multiple responsibilities."
alfredfrancis_ai-chatbot-framework.app,main,Multifaceted abstraction,main,1,/Volumes/BrokeExt/NICHE/alfredfrancis_ai-chatbot-framework/app/main.py,"Class 'main' has a high LCOM value of 1, indicating it may have multiple responsibilities."
alfredfrancis_ai-chatbot-framework.app.admin.bots,routes,Multifaceted abstraction,routes,1,/Volumes/BrokeExt/NICHE/alfredfrancis_ai-chatbot-framework/app/admin/bots/routes.py,"Class 'routes' has a high LCOM value of 1, indicating it may have multiple responsibilities."
alfredfrancis_ai-chatbot-framework.app.admin.entities,routes,Multifaceted abstraction,routes,1,/Volumes/BrokeExt/NICHE/alfredfrancis_ai-chatbot-framework/app/admin/entities/routes.py,"Class 'routes' has a high LCOM value of 1, indicating it may have multiple responsibilities."
alfredfrancis_ai-chatbot-framework.app.admin.intents,routes,Multifaceted abstraction,routes,1,/Volumes/BrokeExt/NICHE/alfredfrancis_ai-chatbot-framework/app/admin/intents/routes.py,"Class 'routes' has a high LCOM value of 1, indicating it may have multiple responsibilities."
alfredfrancis_ai-chatbot-framework.app.admin.train,routes,Multifaceted abstraction,routes,1,/Volumes/BrokeExt/NICHE/alfredfrancis_ai-chatbot-framework/app/admin/train/routes.py,"Class 'routes' has a high LCOM value of 1, indicating it may have multiple responsibilities."
alfredfrancis_ai-chatbot-framework.app.bot.nlu.entity_extractors,__init__,Rebellious hierarchy,EntityExtractor,4,/Volumes/BrokeExt/NICHE/alfredfrancis_ai-chatbot-framework/app/bot/nlu/entity_extractors/__init__.py,Class 'EntityExtractor' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: load.
alfredfrancis_ai-chatbot-framework.app.bot.nlu.intent_classifiers,__init__,Rebellious hierarchy,IntentClassifier,4,/Volumes/BrokeExt/NICHE/alfredfrancis_ai-chatbot-framework/app/bot/nlu/intent_classifiers/__init__.py,Class 'IntentClassifier' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: load.
