Package,Module,Class,Smell,Function/Method,Line no,File,Details
tianzhi0549_FCOS,setup,,Long statement,get_extensions,44,/Volumes/BrokeExt/NICHE/tianzhi0549_FCOS/setup.py,A line with 149 chars in get_extensions exceeds the maximum length of 120 characters.
tianzhi0549_FCOS,setup,,Long statement,get_extensions,53,/Volumes/BrokeExt/NICHE/tianzhi0549_FCOS/setup.py,A line with 145 chars in get_extensions exceeds the maximum length of 120 characters.
tianzhi0549_FCOS,setup,,Long statement,,66,/Volumes/BrokeExt/NICHE/tianzhi0549_FCOS/setup.py,A line with 379 chars in setup exceeds the maximum length of 120 characters.
tianzhi0549_FCOS.demo,fcos_demo,,Long method,main,11 - 106,/Volumes/BrokeExt/NICHE/tianzhi0549_FCOS/demo/fcos_demo.py,Method 'main' is too long (84 lines).
tianzhi0549_FCOS.demo,fcos_demo,,Long statement,main,13,/Volumes/BrokeExt/NICHE/tianzhi0549_FCOS/demo/fcos_demo.py,A line with 132 chars in main exceeds the maximum length of 120 characters.
tianzhi0549_FCOS.demo,fcos_demo,,Long statement,main,31,/Volumes/BrokeExt/NICHE/tianzhi0549_FCOS/demo/fcos_demo.py,A line with 172 chars in main exceeds the maximum length of 120 characters.
tianzhi0549_FCOS.demo,fcos_demo,,Long statement,main,38,/Volumes/BrokeExt/NICHE/tianzhi0549_FCOS/demo/fcos_demo.py,A line with 126 chars in main exceeds the maximum length of 120 characters.
tianzhi0549_FCOS.demo,fcos_demo,,Long statement,main,57,/Volumes/BrokeExt/NICHE/tianzhi0549_FCOS/demo/fcos_demo.py,A line with 1634 chars in main exceeds the maximum length of 120 characters.
tianzhi0549_FCOS.demo,fcos_demo,,Magic number,main,58,/Volumes/BrokeExt/NICHE/tianzhi0549_FCOS/demo/fcos_demo.py,Magic number 0.4923645853996277 used in main.
tianzhi0549_FCOS.demo,fcos_demo,,Magic number,main,58,/Volumes/BrokeExt/NICHE/tianzhi0549_FCOS/demo/fcos_demo.py,Magic number 0.4928510785102844 used in main.
tianzhi0549_FCOS.demo,fcos_demo,,Magic number,main,58,/Volumes/BrokeExt/NICHE/tianzhi0549_FCOS/demo/fcos_demo.py,Magic number 0.5040897727012634 used in main.
tianzhi0549_FCOS.demo,fcos_demo,,Magic number,main,59,/Volumes/BrokeExt/NICHE/tianzhi0549_FCOS/demo/fcos_demo.py,Magic number 0.4912887513637543 used in main.
tianzhi0549_FCOS.demo,fcos_demo,,Magic number,main,59,/Volumes/BrokeExt/NICHE/tianzhi0549_FCOS/demo/fcos_demo.py,Magic number 0.5016880631446838 used in main.
tianzhi0549_FCOS.demo,fcos_demo,,Magic number,main,59,/Volumes/BrokeExt/NICHE/tianzhi0549_FCOS/demo/fcos_demo.py,Magic number 0.5278812646865845 used in main.
tianzhi0549_FCOS.demo,fcos_demo,,Magic number,main,60,/Volumes/BrokeExt/NICHE/tianzhi0549_FCOS/demo/fcos_demo.py,Magic number 0.5351834893226624 used in main.
tianzhi0549_FCOS.demo,fcos_demo,,Magic number,main,60,/Volumes/BrokeExt/NICHE/tianzhi0549_FCOS/demo/fcos_demo.py,Magic number 0.5003424882888794 used in main.
